case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_direct_square_booth_abc_g_aig,unsigned_square_x_times_x,direct_square+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/verilog/ex273_square_direct_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex273/aigs/ex273_square_direct_square_booth_abc_g_aig.aig,1,1,1,1355,63,85365,15078,5.661560,0,0,0.878,semantic_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=direct_square; flow=booth_abc_g_aig
ex274,ex274_square_direct_square_wide_booth_abc_g_aig,unsigned_square_x_times_x,direct_square_wide+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_direct_square_wide.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_direct_square_wide_booth_abc_g_aig.aig,1,1,1,2014,70,140980,21630,6.517799,0,0,3.738,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=direct_square_wide; flow=booth_abc_g_aig
ex274,ex274_square_direct_square_wide_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,direct_square_wide+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_direct_square_wide.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_direct_square_wide_booth_wreduce_abc_g_aig.aig,1,1,1,1811,72,130392,21630,6.028294,0,0,3.594,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=direct_square_wide; flow=booth_wreduce_abc_g_aig
ex274,ex274_square_low_high_split_booth_abc_g_aig,unsigned_square_x_times_x,low_high_split+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_low_high_split.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_low_high_split_booth_abc_g_aig.aig,1,1,1,1424,66,93984,21630,4.345076,0,0,3.540,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low_high_split; flow=booth_abc_g_aig
ex274,ex274_square_low_high_split_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,low_high_split+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_low_high_split.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_low_high_split_booth_wreduce_abc_g_aig.aig,1,1,1,1431,67,95877,21630,4.432594,0,0,3.532,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low_high_split; flow=booth_wreduce_abc_g_aig
ex274,ex274_square_low_high_split_hcla_booth_abc_g_aig,unsigned_square_x_times_x,low_high_split_hcla+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_low_high_split_hcla.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_low_high_split_hcla_booth_abc_g_aig.aig,1,1,1,1531,52,79612,21630,3.680629,0,0,4.132,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low_high_split_hcla; flow=booth_abc_g_aig
ex274,ex274_square_low_high_split_hcla_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,low_high_split_hcla+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_low_high_split_hcla.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_low_high_split_hcla_booth_wreduce_abc_g_aig.aig,1,1,1,1532,52,79664,21630,3.683033,0,0,4.121,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=low_high_split_hcla; flow=booth_wreduce_abc_g_aig
ex274,ex274_square_karatsuba_square_booth_abc_g_aig,unsigned_square_x_times_x,karatsuba_square+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_karatsuba_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_karatsuba_square_booth_abc_g_aig.aig,1,1,1,1739,73,126947,21630,5.869025,0,0,4.213,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=karatsuba_square; flow=booth_abc_g_aig
ex274,ex274_square_karatsuba_square_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,karatsuba_square+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_karatsuba_square.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_karatsuba_square_booth_wreduce_abc_g_aig.aig,1,1,1,1739,73,126947,21630,5.869025,0,0,4.735,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=karatsuba_square; flow=booth_wreduce_abc_g_aig
ex274,ex274_square_block4_decomp_csel6_booth_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+booth_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_block4_decomp_csel6_booth_abc_g_aig.aig,1,1,1,1422,62,88164,21630,4.076006,0,0,4.442,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=booth_abc_g_aig
ex274,ex274_square_block4_decomp_csel6_booth_wreduce_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+booth_wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_yosys_boothflow_20260609_1350/ex274/aigs/ex274_square_block4_decomp_csel6_booth_wreduce_abc_g_aig.aig,1,1,1,1418,61,86498,21630,3.998983,0,0,3.776,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=booth_wreduce_abc_g_aig
