case,candidate_id,hypothesis,variant,method_signature,verilog_path,aig_path,verified_truth,equivalent,official_status,area,delay,adp,reference_adp,runtime_sec,evaluate_log,notes,agent_id,domain,high_level_description,representation,sharing_strategy,synth_flow,yosys_log,current_frontend_adp,beats_current_frontend,beats_reference,status,evidence_path,failure_reason,log_path,method_notes
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|rot5_low11_default_xor_correction_dag|rotated_state_default_word_plus_sparse_correction|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_two_level_decision_graph,,,,,,,,,,,,"official evaluate.py OK, but ADP 61272 does not beat current frontend target 20190; rotate=5; low_key_bits=11; outer_bits=2; default_rows=2048; correction_rows=4096",ex286-struct-r1,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r1/ex286/logs/ex286_r1_rot5_low11_default_xor_correction_abc_g_aig.evaluate.py.log,,,
ex286,,hamming_weight_preserving_lossy_routing_normalizer,,ex286|hamming_weight_preserving_lossy_routing_normalizer|output_linear_global_parity_skip0_bdd|shared_transformed_output_roots_plus_global_parity_reconstruction|yosys_abc_g_aig|abc_xf_official_evaluate|output_linear_image_descriptor,,,,,,,,,,,,"official evaluate.py OK, but ADP 40770 does not beat current frontend target 20190; output_linear_basis=global_parity_skip0; order=0:12:9:11:8:10:1:3:2:6:7:4:5; bdd_nodes=782",ex286-struct-r2,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r2/ex286/logs/ex286_r2_output_linear_global_parity_skip0.evaluate.py.log,,,
ex286,,two_hot_collision_lift,,ex286|two_hot_collision_lift|pair_vote_all_plus_exact_residual_screen|shared_pair_collision_predicates|no_synth|blocked_before_verilog|full_word_residual,,,,,,,,,,,,pair-vote base mismatches=8100; residual_nonzero=8100; avg_residual_bits=6.475; residual_bdd_nodes=1106; no Verilog emitted because residual is larger than the r2 full image-cluster BDD and is not a compact higher-order correction,ex286-struct-r3,unknown,,,,,,,,,BLOCKED_NO_COMPACT_RESIDUAL,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/diagnostics/hypotheses.csv,,,
ex286,,two_hot_collision_lift,,ex286|two_hot_collision_lift|pair_vote_majority_plus_exact_residual_screen|shared_pair_collision_predicates|no_synth|blocked_before_verilog|full_word_residual,,,,,,,,,,,,pair-vote base mismatches=8082; residual_nonzero=8082; avg_residual_bits=6.373; residual_bdd_nodes=1655; no Verilog emitted because residual is larger than the r2 full image-cluster BDD and is not a compact higher-order correction,ex286-struct-r3,unknown,,,,,,,,,BLOCKED_NO_COMPACT_RESIDUAL,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/diagnostics/hypotheses.csv,,,
ex286,,two_hot_collision_lift,,ex286|two_hot_collision_lift|pair_vote_odd_plus_exact_residual_screen|shared_pair_collision_predicates|no_synth|blocked_before_verilog|full_word_residual,,,,,,,,,,,,pair-vote base mismatches=7967; residual_nonzero=7967; avg_residual_bits=5.920; residual_bdd_nodes=2583; no Verilog emitted because residual is larger than the r2 full image-cluster BDD and is not a compact higher-order correction,ex286-struct-r3,unknown,,,,,,,,,BLOCKED_NO_COMPACT_RESIDUAL,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/diagnostics/hypotheses.csv,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip12|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 43860 does not beat current frontend 20190; skip_bit=12; keep_bits=0:1:2:3:4:5:6:7:8:9:10:11; bdd_nodes=754; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip12.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip12|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig_d14|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 43860 does not beat current frontend 20190; skip_bit=12; keep_bits=0:1:2:3:4:5:6:7:8:9:10:11; bdd_nodes=754; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip12_abc_g_aig_d14.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip4|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 40149 does not beat current frontend 20190; skip_bit=4; keep_bits=0:1:2:3:5:6:7:8:9:10:11:12; bdd_nodes=759; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip4.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip4|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig_d14|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 40149 does not beat current frontend 20190; skip_bit=4; keep_bits=0:1:2:3:5:6:7:8:9:10:11:12; bdd_nodes=759; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip4_abc_g_aig_d14.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip8|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 40311 does not beat current frontend 20190; skip_bit=8; keep_bits=0:1:2:3:4:5:6:7:9:10:11:12; bdd_nodes=767; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip8.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|popcount_recover_skip8|shared_kept_output_bdd_plus_hamming_weight_recover|yosys_abc_g_aig_d14|abc_xf_official_evaluate|output_image_fields,,,,,,,,,,,,"official evaluate.py OK, but ADP 40311 does not beat current frontend 20190; skip_bit=8; keep_bits=0:1:2:3:4:5:6:7:9:10:11:12; bdd_nodes=767; order=0:12:9:11:8:10:1:3:2:6:7:4:5",ex286-struct-r3,unknown,,,,,,,,,EQUIVALENT_NO_IMPROVEMENT,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/logs/ex286_r3_image_popcount_skip8_abc_g_aig_d14.evaluate.py.log,,,
ex286,,image_field_reconstruction,,ex286|image_field_reconstruction|output_linear_coordinate_basis_hillclimb|local_xor_row_basis_search|no_synth|blocked_before_verilog|output_image_fields,,,,,,,,,,,,identity output basis stayed at 863 shared BDD nodes and no tested row-XOR coordinate basis improved it; no Verilog emitted to avoid repeating r2 full image-cluster BDD,ex286-struct-r3,unknown,,,,,,,,,BLOCKED_NO_REDUCTION,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex286-struct-r3/ex286/diagnostics/hypotheses.csv,,,
ex287,ex287_struct_r2_collision_home_order_shared_bdd,PPT family transform,,ex287|hamming_weight_preserving_lossy_routing_normalizer|collision_home_order_shared_bdd|onehot_home_collision_order_single_node_pool|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_bdd_roots,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/verilog/ex287_struct_r2_collision_home_order_shared_bdd.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/aigs/ex287_struct_r2_collision_home_order_shared_bdd.aig,,,,13135,22,288970,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_collision_home_order_shared_bdd.evaluate.py.log,order=8:9:11:10:3:12:4:5:6:7:2:13:0:1; bdd_nodes=8900; differs from raw outside-in and image-id dictionaries,ex287-struct-r2,unknown,,shared BDD over collision/home ordered input variables,,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_collision_home_order_shared_bdd.yosys.log,
ex287,ex287_struct_r2_outside_in_shared_bdd_d16,non-PPT structural hypothesis,,ex287|non_PPT_structural_hypothesis|outside_in_shared_bdd_lowdelay|single_node_pool_with_yosys_abc_d16|yosys_abc_g_aig_d16|abc_xf_official_evaluate|full_word_bdd_roots,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/verilog/ex287_struct_r2_outside_in_shared_bdd_d16.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/aigs/ex287_struct_r2_outside_in_shared_bdd_d16.aig,,,,1812,21,38052,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_outside_in_shared_bdd_d16.evaluate.py.log,order_name=outside_in; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1088; bounded low-delay direct BDD replay,ex287-struct-r2,unknown,,raw shared BDD over outside_in variable order with Yosys internal ABC D16,,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_outside_in_shared_bdd_d16.yosys.log,
ex287,ex287_struct_r2_pairlate_shared_bdd_d16,non-PPT structural hypothesis,,ex287|non_PPT_structural_hypothesis|pairlate_shared_bdd_lowdelay|single_node_pool_with_yosys_abc_d16|yosys_abc_g_aig_d16|abc_xf_official_evaluate|full_word_bdd_roots,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/verilog/ex287_struct_r2_pairlate_shared_bdd_d16.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/aigs/ex287_struct_r2_pairlate_shared_bdd_d16.aig,,,,2117,19,40223,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_pairlate_shared_bdd_d16.evaluate.py.log,order_name=pairlate; order=0:1:2:3:10:11:12:13:4:5:6:7:8:9; bdd_nodes=1215; bounded low-delay direct BDD replay,ex287-struct-r2,unknown,,raw shared BDD over pairlate variable order with Yosys internal ABC D16,,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_pairlate_shared_bdd_d16.yosys.log,
ex287,ex287_struct_r2_rand1240_shared_bdd_d16,non-PPT structural hypothesis,,ex287|non_PPT_structural_hypothesis|rand1240_shared_bdd_lowdelay|single_node_pool_with_yosys_abc_d16|yosys_abc_g_aig_d16|abc_xf_official_evaluate|full_word_bdd_roots,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/verilog/ex287_struct_r2_rand1240_shared_bdd_d16.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/aigs/ex287_struct_r2_rand1240_shared_bdd_d16.aig,,,,2014,20,40280,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_rand1240_shared_bdd_d16.evaluate.py.log,order_name=rand1240; order=3:13:12:10:11:1:0:2:8:5:9:7:4:6; bdd_nodes=1240; bounded low-delay direct BDD replay,ex287-struct-r2,unknown,,raw shared BDD over rand1240 variable order with Yosys internal ABC D16,,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_rand1240_shared_bdd_d16.yosys.log,
ex287,ex287_struct_r2_priority_spill_residual_bdd,non-PPT structural hypothesis,,ex287|hamming_weight_preserving_lossy_routing_normalizer|priority_spill_collision_residual_bdd|shared_home_bucket_priority_state_plus_exact_residual_roots|yosys_abc_g_aig|abc_xf_official_evaluate|priority_base_xor_residual,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/verilog/ex287_struct_r2_priority_spill_residual_bdd.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/aigs/ex287_struct_r2_priority_spill_residual_bdd.aig,,,,16053,41,658173,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_priority_spill_residual_bdd.evaluate.py.log,base_exact_rows=73/16384; residual_bdd_nodes=10676; spill_order=8:9:11:10:3:12:4:5:6:7:2:13:0:1,ex287-struct-r2,unknown,,priority-spill routing base XOR shared residual BDD,,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r2/ex287/logs/ex287_struct_r2_priority_spill_residual_bdd.yosys.log,
ex287,ex287_struct_r3_pairorient_omitp6_outside_in,output image constraint reconstruction,,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_pair_orientation_weight_reconstruction|omit_pair_count_from_popcount_6|yosys_abc_g_aig|abc_xf_official_evaluate|adjacent_pair_fields,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/verilog/ex287_struct_r3_pairorient_omitp6_outside_in.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/aigs/ex287_struct_r3_pairorient_omitp6_outside_in.aig,,,,1262,31,39122,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in.evaluate.py.log,omit_pair=6; order=outside_in; bdd_nodes=767; orientation_conflicts=0; abc_delay=,ex287-struct-r3,unknown,,"BDD fields for orientation and six adjacent pair counts, with the omitted pair count reconstructed from popcount",,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in.yosys.log,
ex287,ex287_struct_r3_pairorient_omitp0_outside_in,output image constraint reconstruction,,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_pair_orientation_weight_reconstruction|omit_pair_count_from_popcount_0|yosys_abc_g_aig|abc_xf_official_evaluate|adjacent_pair_fields,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/verilog/ex287_struct_r3_pairorient_omitp0_outside_in.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/aigs/ex287_struct_r3_pairorient_omitp0_outside_in.aig,,,,1273,32,40736,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp0_outside_in.evaluate.py.log,omit_pair=0; order=outside_in; bdd_nodes=770; orientation_conflicts=0; abc_delay=,ex287-struct-r3,unknown,,"BDD fields for orientation and six adjacent pair counts, with the omitted pair count reconstructed from popcount",,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp0_outside_in.yosys.log,
ex287,ex287_struct_r3_pairorient_omitp6_outside_in_d16,output image constraint reconstruction,,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_pair_orientation_weight_reconstruction|omit_pair_count_from_popcount_6|yosys_abc_g_aig_d16|abc_xf_official_evaluate|adjacent_pair_fields,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/verilog/ex287_struct_r3_pairorient_omitp6_outside_in_d16.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/aigs/ex287_struct_r3_pairorient_omitp6_outside_in_d16.aig,,,,1262,31,39122,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in_d16.evaluate.py.log,omit_pair=6; order=outside_in; bdd_nodes=767; orientation_conflicts=0; abc_delay=16,ex287-struct-r3,unknown,,"BDD fields for orientation and six adjacent pair counts, with the omitted pair count reconstructed from popcount",,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in_d16.yosys.log,
ex287,ex287_struct_r3_pairorient_omitp6_outside_in_d20,output image constraint reconstruction,,ex287|hamming_weight_preserving_lossy_routing_normalizer|output_pair_orientation_weight_reconstruction|omit_pair_count_from_popcount_6|yosys_abc_g_aig_d20|abc_xf_official_evaluate|adjacent_pair_fields,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/verilog/ex287_struct_r3_pairorient_omitp6_outside_in_d20.v,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/aigs/ex287_struct_r3_pairorient_omitp6_outside_in_d20.aig,,,,1262,31,39122,,,student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in_d20.evaluate.py.log,omit_pair=6; order=outside_in; bdd_nodes=767; orientation_conflicts=0; abc_delay=20,ex287-struct-r3,unknown,,"BDD fields for orientation and six adjacent pair counts, with the omitted pair count reconstructed from popcount",,,,,,,EQUIVALENT_NO_IMPROVEMENT,,"official evaluate.py OK, but ADP did not beat current frontend target 26880",student/work/ex286_ex287_frontend_structural_decomp_20260614_2320/ex287-struct-r3/ex287/logs/ex287_struct_r3_pairorient_omitp6_outside_in_d20.yosys.log,
