case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_csel6_abc_g_aig.aig,1,1,1,747,40,29880,15078,1.981695,0,0,0.788,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_rev_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_rev_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel6_synth_preset_d20.aig,1,1,1,743,45,33435,15078,2.217469,0,0,0.940,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_rev_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel8_abc_g_aig.aig,1,1,1,747,42,31374,15078,2.080780,0,0,0.777,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_rev_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_rev_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel8_wreduce_abc_g_aig.aig,1,1,1,752,41,30832,15078,2.044834,0,0,0.784,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_rev_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_rev_csel8+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel8_synth_preset.aig,1,1,1,744,43,31992,15078,2.121767,0,0,0.955,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_rev_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_rev_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_rev_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_rev_csel8_synth_preset_d20.aig,1,1,1,744,43,31992,15078,2.121767,0,0,0.953,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_rev_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_center_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_center_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel6_abc_g_aig.aig,1,1,1,732,49,35868,15078,2.378830,0,0,0.772,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_center_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_center_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel6_wreduce_abc_g_aig.aig,1,1,1,734,49,35966,15078,2.385330,0,0,0.788,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_center_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_center_csel6+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel6_synth_preset.aig,1,1,1,732,49,35868,15078,2.378830,0,0,0.942,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_center_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_center_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel6_synth_preset_d20.aig,1,1,1,732,49,35868,15078,2.378830,0,0,0.936,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_center_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_center_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel8_abc_g_aig.aig,1,1,1,743,45,33435,15078,2.217469,0,0,0.753,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_center_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_center_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel8_wreduce_abc_g_aig.aig,1,1,1,739,46,33994,15078,2.254543,0,0,0.787,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_center_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_center_csel8+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel8_synth_preset.aig,1,1,1,735,45,33075,15078,2.193593,0,0,0.963,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_center_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_center_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_center_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_center_csel8_synth_preset_d20.aig,1,1,1,735,45,33075,15078,2.193593,0,0,0.963,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_center_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_evenodd_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_evenodd_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel6_abc_g_aig.aig,1,1,1,737,40,29480,15078,1.955166,0,0,0.765,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_evenodd_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_evenodd_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel6_wreduce_abc_g_aig.aig,1,1,1,737,40,29480,15078,1.955166,0,0,0.779,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_evenodd_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_evenodd_csel6+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel6_synth_preset.aig,1,1,1,737,40,29480,15078,1.955166,0,0,0.938,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_evenodd_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_evenodd_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel6_synth_preset_d20.aig,1,1,1,737,40,29480,15078,1.955166,0,0,0.935,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_evenodd_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_evenodd_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel8_abc_g_aig.aig,1,1,1,742,39,28938,15078,1.919220,0,0,0.786,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_evenodd_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_evenodd_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel8_wreduce_abc_g_aig.aig,1,1,1,741,39,28899,15078,1.916634,0,0,0.790,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_evenodd_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_evenodd_csel8+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel8_synth_preset.aig,1,1,1,742,39,28938,15078,1.919220,0,0,0.942,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_evenodd_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_evenodd_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_evenodd_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_evenodd_csel8_synth_preset_d20.aig,1,1,1,742,39,28938,15078,1.919220,0,0,0.945,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_evenodd_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_counter4x_csel4_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel4+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel4.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel4_abc_g_aig.aig,1,1,1,837,38,31806,15078,2.109431,0,0,0.801,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel4; flow=abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel4.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel4_wreduce_abc_g_aig.aig,1,1,1,824,38,31312,15078,2.076668,0,0,0.826,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel4; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel4_synth_preset,unsigned_square_x_times_x,wallace_square_counter4x_csel4+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel4.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel4_synth_preset.aig,1,1,1,823,38,31274,15078,2.074148,0,0,0.983,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel4; flow=synth_preset
ex273,ex273_square_wallace_square_counter4x_csel4_synth_preset_d20,unsigned_square_x_times_x,wallace_square_counter4x_csel4+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel4.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel4_synth_preset_d20.aig,1,1,1,823,38,31274,15078,2.074148,0,0,0.987,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel4; flow=synth_preset_d20
ex273,ex273_square_wallace_square_counter4x_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel6_abc_g_aig.aig,1,1,1,849,38,32262,15078,2.139674,0,0,0.807,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel6_wreduce_abc_g_aig.aig,1,1,1,845,38,32110,15078,2.129593,0,0,0.833,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel6; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_counter4x_csel6+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel6_synth_preset.aig,1,1,1,841,39,32799,15078,2.175288,0,0,1.018,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel6; flow=synth_preset
ex273,ex273_square_wallace_square_counter4x_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_counter4x_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel6_synth_preset_d20.aig,1,1,1,841,39,32799,15078,2.175288,0,0,1.022,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel6; flow=synth_preset_d20
ex273,ex273_square_wallace_square_counter4x_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel8_abc_g_aig.aig,1,1,1,834,39,32526,15078,2.157183,0,0,0.797,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel8; flow=abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_counter4x_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel8_wreduce_abc_g_aig.aig,1,1,1,836,38,31768,15078,2.106911,0,0,0.823,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel8; flow=wreduce_abc_g_aig
ex273,ex273_square_wallace_square_counter4x_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_counter4x_csel8+synth_preset,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel8_synth_preset.aig,1,1,1,826,38,31388,15078,2.081708,0,0,0.997,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel8; flow=synth_preset
ex273,ex273_square_wallace_square_counter4x_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_counter4x_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_counter4x_csel8.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_counter4x_csel8_synth_preset_d20.aig,1,1,1,826,38,31388,15078,2.081708,0,0,0.995,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_counter4x_csel8; flow=synth_preset_d20
ex273,ex273_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,718,39,28002,15078,1.857143,0,0,0.754,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex273,ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/verilog/ex273_square_wallace_square_outside_csel6.v,student/work/ex273_ex274_frontend_square_order_counter4x_20260609_1240/ex273/aigs/ex273_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,716,39,27924,15078,1.851970,0,0,0.765,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
