case,mode,bucket_order,output_order,selector_policy,matches,total_rows,match_ratio,bit_mismatches,total_bits,bit_match_ratio,notes
ex286,bucket_segment,slot_desc,reverse,selector_offset_rev,23,8192,0.002808,49028,106496,0.539626,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x200;exp=0x40
ex286,bucket_segment,slot_asc,onehot_slots_first,selector_offset,23,8192,0.002808,49176,106496,0.538236,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,bucket_segment,slot_asc,onehot_slots_last,selector_offset,23,8192,0.002808,49358,106496,0.536527,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1000;exp=0x40
ex286,bucket_segment,slot_desc,onehot_slots_rev_first,selector_offset,23,8192,0.002808,49760,106496,0.532752,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:1:0:0:0;sel=0;pred=0x60;exp=0xc
ex286,bucket_segment,slot_desc,reverse,selector_offset,22,8192,0.002686,48428,106496,0.545260,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x200;exp=0x40
ex286,bucket_segment,size_desc,natural,selector_offset,21,8192,0.002563,48468,106496,0.544884,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x4;exp=0x20
ex286,bucket_segment,size_asc,reverse,selector_offset_rev,21,8192,0.002563,48866,106496,0.541147,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x400;exp=0x40
ex286,bucket_segment,size_asc,onehot_slots_rev_first,selector_offset,21,8192,0.002563,48944,106496,0.540415,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,slot_asc,onehot_slots_rev_first,selector_offset_rev,21,8192,0.002563,49050,106496,0.539419,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x20;exp=0x40
ex286,bucket_segment,outside_slot,natural,selector_offset,20,8192,0.002441,50058,106496,0.529954,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x80;exp=0x40
ex286,bucket_segment,slot_asc,reverse,selector_offset,19,8192,0.002319,49054,106496,0.539382,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,slot_asc,reverse,selector_offset_rev,19,8192,0.002319,49254,106496,0.537504,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,outside_slot,reverse,selector_offset_rev,18,8192,0.002197,49156,106496,0.538424,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x20;exp=0x40
ex286,bucket_segment,slot_desc,onehot_slots_first,selector_offset,18,8192,0.002197,49438,106496,0.535776,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x20;exp=0x40
ex286,prefix_ones,slot_asc,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_ones,slot_desc,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_ones,size_desc,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_ones,size_asc,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_ones,center_slot,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_ones,outside_slot,onehot_slots_rev_first,selector_offset,18,8192,0.002197,49792,106496,0.532452,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,size_asc,onehot_slots_first,none,18,8192,0.002197,49980,106496,0.530687,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x8;exp=0x40
ex286,bucket_segment,slot_desc,outside,selector_offset_rev,17,8192,0.002075,48536,106496,0.544246,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,size_asc,center,none,17,8192,0.002075,49046,106496,0.539457,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x80;exp=0x40
ex286,bucket_segment,slot_desc,outside,selector_offset,17,8192,0.002075,49120,106496,0.538762,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,center_slot,outside,none,17,8192,0.002075,49456,106496,0.535607,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,bucket_segment,size_asc,outside,none,17,8192,0.002075,49784,106496,0.532527,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x2;exp=0x40
ex286,bucket_segment,size_desc,onehot_slots_first,selector_offset_rev,16,8192,0.001953,49014,106496,0.539757,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x200;exp=0x40
ex286,bucket_segment,center_slot,onehot_slots_first,selector_offset,16,8192,0.001953,49040,106496,0.539513,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x2;exp=0x40
ex286,bucket_segment,size_asc,center,selector_offset_rev,16,8192,0.001953,49256,106496,0.537485,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x80;exp=0x40
ex286,bucket_segment,slot_asc,natural,none,16,8192,0.001953,49450,106496,0.535663,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x10;exp=0x40
ex286,bucket_segment,center_slot,onehot_slots_rev_first,selector_offset,16,8192,0.001953,49560,106496,0.534630,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,slot_desc,onehot_slots_last,none,16,8192,0.001953,49562,106496,0.534612,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x400;exp=0x40
ex286,bucket_segment,outside_slot,onehot_slots_first,selector_offset_rev,15,8192,0.001831,48708,106496,0.542631,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,outside_slot,natural,selector_offset_rev,15,8192,0.001831,48850,106496,0.541297,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x80;exp=0x40
ex286,bucket_segment,outside_slot,onehot_slots_rev_first,selector_offset_rev,15,8192,0.001831,49056,106496,0.539363,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x2;exp=0x40
ex286,bucket_segment,size_desc,reverse,selector_offset_rev,15,8192,0.001831,49254,106496,0.537504,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x400;exp=0x20
ex286,prefix_zeros,slot_asc,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,prefix_zeros,slot_desc,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,prefix_zeros,size_desc,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,prefix_zeros,size_asc,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,prefix_zeros,center_slot,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,prefix_zeros,outside_slot,outside,selector_offset_rev,15,8192,0.001831,49344,106496,0.536659,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x40;exp=0x20
ex286,bucket_segment,size_asc,reverse,selector_offset,15,8192,0.001831,49354,106496,0.536565,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x400;exp=0x40
ex286,bucket_segment,slot_asc,reverse,none,15,8192,0.001831,49462,106496,0.535551,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,size_desc,reverse,selector_offset,15,8192,0.001831,49468,106496,0.535494,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:1:0:0:0:0;sel=0;pred=0x400;exp=0x20
ex286,prefix_zeros,slot_asc,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_zeros,slot_desc,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_zeros,size_desc,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_zeros,size_asc,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_zeros,center_slot,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,prefix_zeros,outside_slot,onehot_slots_last,selector_offset_rev,15,8192,0.001831,49752,106496,0.532828,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,size_asc,onehot_slots_rev_first,none,15,8192,0.001831,49910,106496,0.531344,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,outside_slot,center,selector_offset,14,8192,0.001709,48092,106496,0.548415,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x4;exp=0x40
ex286,bucket_segment,size_desc,onehot_slots_first,none,14,8192,0.001709,48098,106496,0.548359,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x200;exp=0x40
ex286,bucket_segment,size_asc,onehot_slots_rev_first,selector_offset_rev,14,8192,0.001709,48464,106496,0.544922,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex286,bucket_segment,center_slot,onehot_slots_rev_first,selector_offset_rev,14,8192,0.001709,48574,106496,0.543889,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,center_slot,onehot_slots_rev_first,none,14,8192,0.001709,48908,106496,0.540753,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x800;exp=0x40
ex286,bucket_segment,slot_desc,natural,selector_offset,14,8192,0.001709,49254,106496,0.537504,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x8;exp=0x40
ex286,prefix_ones,slot_asc,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_ones,slot_desc,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_ones,size_desc,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_ones,size_asc,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_ones,center_slot,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_ones,outside_slot,natural,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,slot_asc,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,slot_desc,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,size_desc,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,size_asc,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,center_slot,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex286,prefix_zeros,outside_slot,reverse,none,14,8192,0.001709,49722,106496,0.533109,selectors=raw3:raw10:xor6_7; first=counts=0:0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,bucket_segment,selector_specific,selector_specific,selector_specific_layout_offset,145,16384,0.008850,104280,229376,0.545375,selectors=xor6_7:xor8_9:raw13:raw12; policies=0:slot_asc:onehot_slots_last:off7;1:slot_desc:reverse:off4;2:outside_slot:outside:off4;3:size_desc:center:off2;4:slot_asc:onehot_slots_last:off7;5:slot_desc:onehot_slots_last:off8;6:slot_desc:onehot_slots_rev_first:off0;7:slot_asc:onehot_slots_rev_first:off11;8:slot_desc:onehot_slots_rev_first:off0;9:size_desc:center:off13;10:size_asc:onehot_slots_last:off0;11:slot_desc:onehot_slots_last:off3;12:slot_asc:onehot_slots_last:off7;13:slot_desc:onehot_slots_last:off9;14:outside_slot:center:off4;15:slot_desc:onehot_slots_last:off3
ex287,bucket_segment,slot_asc,onehot_slots_first,none,71,16384,0.004333,106274,229376,0.536682,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:1;sel=0;pred=0x2040;exp=0xc
ex287,prefix_zeros,selector_specific,selector_specific,selector_specific_layout_offset,67,16384,0.004089,104384,229376,0.544922,selectors=xor6_7:xor8_9:raw13:raw12; policies=0:slot_desc:outside:off7;1:slot_desc:center:off3;2:slot_desc:outside:off3;3:slot_desc:natural:off0;4:slot_desc:outside:off7;5:slot_desc:natural:off3;6:slot_desc:onehot_slots_rev_first:off0;7:slot_desc:onehot_slots_rev_first:off11;8:slot_desc:onehot_slots_rev_first:off3;9:slot_desc:center:off0;10:slot_desc:natural:off12;11:slot_desc:outside:off12;12:slot_desc:center:off7;13:slot_desc:reverse:off12;14:slot_desc:natural:off13;15:slot_desc:outside:off11
ex287,bucket_segment,slot_desc,onehot_slots_rev_first,none,66,16384,0.004028,106222,229376,0.536909,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:1;sel=0;pred=0x2040;exp=0xc
ex287,prefix_ones,selector_specific,selector_specific,selector_specific_layout_offset,61,16384,0.003723,104476,229376,0.544521,selectors=xor6_7:xor8_9:raw13:raw12; policies=0:slot_desc:outside:off4;1:slot_desc:natural:off5;2:slot_desc:center:off5;3:slot_desc:reverse:off0;4:slot_desc:onehot_slots_rev_first:off6;5:slot_desc:reverse:off11;6:slot_desc:onehot_slots_rev_first:off0;7:slot_desc:onehot_slots_rev_first:off1;8:slot_desc:onehot_slots_last:off11;9:slot_desc:center:off1;10:slot_desc:onehot_slots_last:off1;11:slot_desc:natural:off4;12:slot_desc:center:off5;13:slot_desc:natural:off2;14:slot_desc:reverse:off2;15:slot_desc:outside:off13
ex287,bucket_segment,size_asc,onehot_slots_last,none,27,16384,0.001648,106096,229376,0.537458,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2;exp=0x40
ex287,bucket_segment,slot_asc,onehot_slots_rev_first,selector_offset_rev,26,16384,0.001587,106246,229376,0.536804,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:0:0:0:1;sel=0;pred=0x8;exp=0x2000
ex287,bucket_segment,slot_desc,onehot_slots_rev_first,selector_offset,24,16384,0.001465,106982,229376,0.533595,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:1;sel=0;pred=0x2040;exp=0xc
ex287,bucket_segment,slot_desc,outside,selector_offset_rev,23,16384,0.001404,107082,229376,0.533160,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1000;exp=0x40
ex287,prefix_ones,slot_asc,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_ones,slot_desc,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_ones,size_desc,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_ones,size_asc,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_ones,center_slot,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_ones,outside_slot,reverse,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,slot_asc,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,slot_desc,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,size_desc,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,size_asc,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,center_slot,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,prefix_zeros,outside_slot,natural,none,22,16384,0.001343,105134,229376,0.541652,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x2000;exp=0x40
ex287,bucket_segment,slot_asc,onehot_slots_first,selector_offset_rev,21,16384,0.001282,105846,229376,0.538548,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:1;sel=0;pred=0x2040;exp=0xc
ex287,bucket_segment,slot_desc,reverse,selector_offset,21,16384,0.001282,106236,229376,0.536848,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x400;exp=0x40
ex287,bucket_segment,slot_desc,onehot_slots_rev_first,selector_offset_rev,21,16384,0.001282,106466,229376,0.535845,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:1;sel=0;pred=0x2040;exp=0xc
ex287,bucket_segment,slot_desc,reverse,selector_offset_rev,21,16384,0.001282,106632,229376,0.535121,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x400;exp=0x40
ex287,bucket_segment,outside_slot,onehot_slots_rev_first,none,21,16384,0.001282,106670,229376,0.534956,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x8;exp=0x40
ex287,bucket_segment,size_desc,reverse,none,20,16384,0.001221,105340,229376,0.540754,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x100;exp=0x40
ex287,bucket_segment,size_asc,onehot_slots_first,none,20,16384,0.001221,105752,229376,0.538958,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x10;exp=0x40
ex287,bucket_segment,center_slot,outside,none,20,16384,0.001221,106354,229376,0.536333,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,slot_asc,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,slot_desc,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,size_desc,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,size_asc,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,center_slot,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_ones,outside_slot,natural,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_zeros,slot_asc,reverse,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_zeros,slot_desc,reverse,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
ex287,prefix_zeros,size_desc,reverse,none,20,16384,0.001221,107654,229376,0.530666,selectors=xor6_7:xor8_9:raw13:raw12; first=counts=0:0:0:1:0:0:0;sel=0;pred=0x1;exp=0x40
