case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_outside_rhcla2+synth_preset_d18,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_rhcla2.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_rhcla2_synth_preset_d18.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.278,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_rhcla2; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.203,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d9.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.205,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.202,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d15,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+abc_g_aig_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_abc_g_aig_d15.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.199,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=abc_g_aig_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.202,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d9,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d9.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d11,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d11.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.262,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.264,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d15,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d15,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d15.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.261,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d15
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla6+synth_preset_d18,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla6.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla6_synth_preset_d18.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.260,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla6; flow=synth_preset_d18
