case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_hybrid_bddtop2_default,unsigned_square_x_times_x,hybrid_bddtop2+default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop2.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop2_default.aig,1,1,1,1255,44,55220,21630,2.552936,0,0,3.449,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2; flow=default
ex274,ex274_square_hybrid_bddtop3_default,unsigned_square_x_times_x,hybrid_bddtop3+default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_default.aig,1,1,1,1307,43,56201,21630,2.598289,0,0,3.450,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=default
ex274,ex274_square_hybrid_bddtop3_wreduce_default,unsigned_square_x_times_x,hybrid_bddtop3+wreduce_default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_wreduce_default.aig,1,1,1,1300,43,55900,21630,2.584374,0,0,3.422,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=wreduce_default
ex274,ex274_square_hybrid_bddtop3_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_abc_g_aig.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.385,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_abc_g_aig_d16,unsigned_square_x_times_x,hybrid_bddtop3+abc_g_aig_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_abc_g_aig_d16.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.401,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=abc_g_aig_d16
ex274,ex274_square_hybrid_bddtop3_abc_g_aig_d20,unsigned_square_x_times_x,hybrid_bddtop3+abc_g_aig_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_abc_g_aig_d20.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.408,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=abc_g_aig_d20
ex274,ex274_square_hybrid_bddtop3_abc_g_aig_d24,unsigned_square_x_times_x,hybrid_bddtop3+abc_g_aig_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_abc_g_aig_d24.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.373,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=abc_g_aig_d24
ex274,ex274_square_hybrid_bddtop3_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_wreduce_abc_g_aig.aig,1,1,1,1017,43,43731,21630,2.021775,0,0,3.502,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_synth_preset.aig,1,1,1,1014,42,42588,21630,1.968932,0,0,3.642,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_synth_preset_d16,unsigned_square_x_times_x,hybrid_bddtop3+synth_preset_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_synth_preset_d16.aig,1,1,1,1014,42,42588,21630,1.968932,0,0,4.109,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=synth_preset_d16
ex274,ex274_square_hybrid_bddtop3_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_synth_preset_d20.aig,1,1,1,1014,42,42588,21630,1.968932,0,0,5.486,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_synth_preset_d24,unsigned_square_x_times_x,hybrid_bddtop3+synth_preset_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop3.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop3_synth_preset_d24.aig,1,1,1,1014,42,42588,21630,1.968932,0,0,4.558,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3; flow=synth_preset_d24
ex274,ex274_square_hybrid_bddtop4_default,unsigned_square_x_times_x,hybrid_bddtop4+default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_default.aig,1,1,1,1336,41,54776,21630,2.532409,0,0,4.492,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=default
ex274,ex274_square_hybrid_bddtop4_wreduce_default,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_wreduce_default.aig,1,1,1,1332,42,55944,21630,2.586408,0,0,3.463,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=wreduce_default
ex274,ex274_square_hybrid_bddtop4_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,3.431,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_abc_g_aig_d16,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig_d16.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,3.420,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d16
ex274,ex274_square_hybrid_bddtop4_abc_g_aig_d20,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig_d20.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,3.376,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d20
ex274,ex274_square_hybrid_bddtop4_abc_g_aig_d24,unsigned_square_x_times_x,hybrid_bddtop4+abc_g_aig_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_abc_g_aig_d24.aig,1,1,1,1063,41,43583,21630,2.014933,0,0,4.146,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=abc_g_aig_d24
ex274,ex274_square_hybrid_bddtop4_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,1,1,1,1061,42,44562,21630,2.060194,0,0,4.470,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_synth_preset.aig,1,1,1,1055,41,43255,21630,1.999769,0,0,3.664,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_synth_preset_d16,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_synth_preset_d16.aig,1,1,1,1055,41,43255,21630,1.999769,0,0,3.666,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=synth_preset_d16
ex274,ex274_square_hybrid_bddtop4_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_synth_preset_d20.aig,1,1,1,1055,41,43255,21630,1.999769,0,0,3.653,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop4_synth_preset_d24,unsigned_square_x_times_x,hybrid_bddtop4+synth_preset_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_hybrid_bddtop4.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_hybrid_bddtop4_synth_preset_d24.aig,1,1,1,1055,41,43255,21630,1.999769,0,0,3.630,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4; flow=synth_preset_d24
ex274,ex274_square_wallace_square_outside_csel6_default,unsigned_square_x_times_x,wallace_square_outside_csel6+default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_default.aig,1,1,1,1352,44,59488,21630,2.750254,0,0,3.410,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=default
ex274,ex274_square_wallace_square_outside_csel6_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_default,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_default.aig,1,1,1,1339,44,58916,21630,2.723810,0,0,3.440,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_default
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.442,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig_d16,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig_d16.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.407,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig_d16
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig_d20.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.399,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig_d20
ex274,ex274_square_wallace_square_outside_csel6_abc_g_aig_d24,unsigned_square_x_times_x,wallace_square_outside_csel6+abc_g_aig_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_abc_g_aig_d24.aig,1,1,1,967,44,42548,21630,1.967083,0,0,3.389,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=abc_g_aig_d24
ex274,ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_csel6+wreduce_abc_g_aig,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_wreduce_abc_g_aig.aig,1,1,1,970,44,42680,21630,1.973185,0,0,3.448,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_outside_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.608,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset
ex274,ex274_square_wallace_square_outside_csel6_synth_preset_d16,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d16,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset_d16.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.619,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d16
ex274,ex274_square_wallace_square_outside_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d20,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset_d20.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.774,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d20
ex274,ex274_square_wallace_square_outside_csel6_synth_preset_d24,unsigned_square_x_times_x,wallace_square_outside_csel6+synth_preset_d24,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/verilog/ex274_square_wallace_square_outside_csel6.v,student/work/ex274_frontend_square_hybrid_bddtop_flowcheck_20260609_1240/ex274/aigs/ex274_square_wallace_square_outside_csel6_synth_preset_d24.aig,1,1,1,964,44,42416,21630,1.960980,0,0,3.632,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_outside_csel6; flow=synth_preset_d24
