case,candidate_id,status,area,delay,adp,expected_adp,aig_path,notes
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,OK,63,8,504,504,student/seeds/integer/ex255_ex279_current/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex266,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,OK,148,10,1480,1480,student/seeds/integer/ex255_ex279_current/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex267,ex267_udiv_hybrid_top2_deep_abc_g_aig,OK,340,12,4080,4080,student/seeds/integer/ex255_ex279_current/ex267/aigs/ex267_udiv_hybrid_top2_deep_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex268,ex268_udiv_denom_lz_range_direct_synth_preset,OK,199,53,10547,10547,student/seeds/integer/ex255_ex279_current/ex268/aigs/ex268_udiv_denom_lz_range_direct_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex269,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,OK,380,41,15580,15580,student/seeds/integer/ex255_ex279_current/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex270,ex270_square_wallace_square_outside_csel5_abc_g_aig,OK,191,17,3247,3247,student/seeds/integer/ex255_ex279_current/ex270/aigs/ex270_square_wallace_square_outside_csel5_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex271,ex271_square_wallace_square_outside_csel4_synth_preset,OK,331,25,8275,8275,student/seeds/integer/ex255_ex279_current/ex271/aigs/ex271_square_wallace_square_outside_csel4_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex272,ex272_square_wallace_square_outside_csel5_synth_preset,OK,507,32,16224,16224,student/seeds/integer/ex255_ex279_current/ex272/aigs/ex272_square_wallace_square_outside_csel5_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex273,ex273_square_hybrid_bddtop4_wreduce_abc_g_aig,OK,797,33,26301,26301,student/seeds/integer/ex255_ex279_current/ex273/aigs/ex273_square_hybrid_bddtop4_wreduce_abc_g_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex274,ex274_square_hybrid_bddtop2_trunc_synth_preset_d16,OK,985,42,41370,41370,student/seeds/integer/ex255_ex279_current/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset_d16.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex275,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,OK,43,7,301,301,student/seeds/integer/ex255_ex279_current/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset,OK,101,10,1010,1010,student/seeds/integer/ex255_ex279_current/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex277,ex277_isqrt_cofbdd4_reverse_synth_preset,OK,237,12,2844,2844,student/seeds/integer/ex255_ex279_current/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex278,ex278_isqrt_prefix5_range_synth_preset,OK,502,14,7028,7028,student/seeds/integer/ex255_ex279_current/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
ex279,ex279_isqrt_radix4_wires_synth_preset,OK,334,42,14028,14028,student/seeds/integer/ex255_ex279_current/ex279/aigs/ex279_isqrt_radix4_wires_synth_preset.aig,curated from verified integer frontend candidate CSV; copied AIG path checked during curation
