case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_bdd_b_lsb_default,unsigned low4_high4:a/b dbz=max,bdd_b_lsb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_b_lsb_default.aig,1,1,1,91,10,910,322,2.826087,0,0,0.205,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex265,ex265_udiv_bdd_interleave_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_interleave_msb_synth_preset.aig,1,1,1,62,10,620,322,1.925466,0,0,0.258,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex265,ex265_udiv_bdd_a_msb_default,unsigned low4_high4:a/b dbz=max,bdd_a_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_default.aig,1,1,1,77,9,693,322,2.152174,0,0,0.205,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=default
ex265,ex265_udiv_bdd_a_msb_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_a_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_abc_g_aig.aig,1,1,1,76,9,684,322,2.124224,0,0,0.203,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=abc_g_aig
ex265,ex265_udiv_bdd_a_msb_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,bdd_a_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,1,1,1,76,9,684,322,2.124224,0,0,0.203,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex265,ex265_udiv_bdd_a_msb_synth_preset,unsigned low4_high4:a/b dbz=max,bdd_a_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/verilog/ex265_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex265/aigs/ex265_udiv_bdd_a_msb_synth_preset.aig,1,1,1,76,9,684,322,2.124224,0,0,0.265,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
ex266,ex266_udiv_bdd_b_lsb_default,unsigned low5_high5:a/b dbz=max,bdd_b_lsb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_default.aig,1,1,1,252,15,3780,848,4.457547,0,0,0.239,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex266,ex266_udiv_bdd_b_lsb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_lsb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_abc_g_aig.aig,1,1,1,253,15,3795,848,4.475236,0,0,0.243,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_lsb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_lsb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_wreduce_abc_g_aig.aig,1,1,1,253,15,3795,848,4.475236,0,0,0.247,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_b_lsb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_b_lsb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_lsb_synth_preset.aig,1,1,1,247,15,3705,848,4.369104,0,0,0.323,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_lsb; flow=synth_preset
ex266,ex266_udiv_bdd_b_msb_default,unsigned low5_high5:a/b dbz=max,bdd_b_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_default.aig,1,1,1,172,14,2408,848,2.839623,0,0,0.228,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=default
ex266,ex266_udiv_bdd_b_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,172,13,2236,848,2.636792,0,0,0.226,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_b_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_b_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_wreduce_abc_g_aig.aig,1,1,1,172,13,2236,848,2.636792,0,0,0.230,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_b_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_b_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_b_msb_synth_preset.aig,1,1,1,164,13,2132,848,2.514151,0,0,0.301,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex266,ex266_udiv_bdd_interleave_msb_default,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_default.aig,1,1,1,153,14,2142,848,2.525943,0,0,0.218,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=default
ex266,ex266_udiv_bdd_interleave_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_abc_g_aig.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.222,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,152,14,2128,848,2.509434,0,0,0.226,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset.aig,1,1,1,152,12,1824,848,2.150943,0,0,0.297,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_a_msb_default,unsigned low5_high5:a/b dbz=max,bdd_a_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_default.aig,1,1,1,256,14,3584,848,4.226415,0,0,0.241,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=default
ex266,ex266_udiv_bdd_a_msb_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_a_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_abc_g_aig.aig,1,1,1,257,13,3341,848,3.939858,0,0,0.244,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_a_msb_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,bdd_a_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,1,1,1,257,13,3341,848,3.939858,0,0,0.250,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_a_msb_synth_preset,unsigned low5_high5:a/b dbz=max,bdd_a_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/verilog/ex266_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_synth_preset.aig,1,1,1,237,13,3081,848,3.633255,0,0,0.320,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
ex267,ex267_udiv_bdd_b_lsb_default,unsigned low6_high6:a/b dbz=max,bdd_b_lsb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_default.aig,1,1,1,644,17,10948,2651,4.129762,0,0,0.330,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex267,ex267_udiv_bdd_b_lsb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_b_lsb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_abc_g_aig.aig,1,1,1,639,17,10863,2651,4.097699,0,0,0.337,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_lsb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_b_lsb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_wreduce_abc_g_aig.aig,1,1,1,639,17,10863,2651,4.097699,0,0,0.346,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_b_lsb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_b_lsb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_lsb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_synth_preset.aig,1,1,1,608,17,10336,2651,3.898906,0,0,0.457,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=synth_preset
ex267,ex267_udiv_bdd_b_msb_default,unsigned low6_high6:a/b dbz=max,bdd_b_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_default.aig,1,1,1,489,16,7824,2651,2.951339,0,0,0.310,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=default
ex267,ex267_udiv_bdd_b_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_b_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_abc_g_aig.aig,1,1,1,481,15,7215,2651,2.721614,0,0,0.308,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_b_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_wreduce_abc_g_aig.aig,1,1,1,481,15,7215,2651,2.721614,0,0,0.327,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_b_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_b_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_b_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_msb_synth_preset.aig,1,1,1,417,16,6672,2651,2.516786,0,0,0.410,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex267,ex267_udiv_bdd_interleave_msb_default,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_default.aig,1,1,1,350,16,5600,2651,2.112410,0,0,0.271,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=default
ex267,ex267_udiv_bdd_interleave_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_abc_g_aig.aig,1,1,1,345,16,5520,2651,2.082233,0,0,0.274,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_interleave_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_wreduce_abc_g_aig.aig,1,1,1,345,16,5520,2651,2.082233,0,0,0.282,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_interleave_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_interleave_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_interleave_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_interleave_msb_synth_preset.aig,1,1,1,333,16,5328,2651,2.009808,0,0,0.371,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex267,ex267_udiv_bdd_a_msb_default,unsigned low6_high6:a/b dbz=max,bdd_a_msb+default,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_default.aig,1,1,1,681,17,11577,2651,4.367031,0,0,0.346,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=default
ex267,ex267_udiv_bdd_a_msb_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_a_msb+abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_abc_g_aig.aig,1,1,1,676,17,11492,2651,4.334968,0,0,0.356,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=abc_g_aig
ex267,ex267_udiv_bdd_a_msb_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,bdd_a_msb+wreduce_abc_g_aig,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,1,1,1,676,17,11492,2651,4.334968,0,0,0.367,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_a_msb_synth_preset,unsigned low6_high6:a/b dbz=max,bdd_a_msb+synth_preset,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/verilog/ex267_udiv_bdd_a_msb.v,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_a_msb_synth_preset.aig,1,1,1,633,17,10761,2651,4.059223,0,0,0.480,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
