case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_bdd_interleave_msb_wreduce_abc_g_aig,1,152,14,2128,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_interleave_msb_synth_preset,1,152,12,1824,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
ex266,ex266_udiv_bdd_a_msb_default,1,256,14,3584,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_default.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=default
ex266,ex266_udiv_bdd_a_msb_abc_g_aig,1,257,13,3341,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=abc_g_aig
ex266,ex266_udiv_bdd_a_msb_wreduce_abc_g_aig,1,257,13,3341,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=wreduce_abc_g_aig
ex266,ex266_udiv_bdd_a_msb_synth_preset,1,237,13,3081,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex266/aigs/ex266_udiv_bdd_a_msb_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=bdd_a_msb; flow=synth_preset
ex267,ex267_udiv_bdd_b_lsb_default,1,644,17,10948,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_default.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=default
ex267,ex267_udiv_bdd_b_lsb_abc_g_aig,1,639,17,10863,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=abc_g_aig
ex267,ex267_udiv_bdd_b_lsb_wreduce_abc_g_aig,1,639,17,10863,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=wreduce_abc_g_aig
ex267,ex267_udiv_bdd_b_lsb_synth_preset,1,608,17,10336,student/work/ex265_ex267_frontend_udiv_bdd_20260609_0755/ex267/aigs/ex267_udiv_bdd_b_lsb_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb; flow=synth_preset
