case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/verilog/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex280/aigs/ex280_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,893,30,26790,0.948,transform=prefix_parity_reduce; bound_bits=0:11:1:10; free_bits=2:3:4:5:6:7:8:9; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=163:164:167:167:173:166:167:170:170:173:170:173:176:179:176:168; old_group_bdd_nodes=2722; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=474; total_stage_bdd_nodes=485; hash=438bb622589b,unknown prefix-key AC decomposition Verilog seed
ex281,ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/verilog/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex281/aigs/ex281_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.aig,1,1,1,1721,46,79166,2.003,transform=prefix_parity_reduce; bound_bits=0:12:1:11:2:10; free_bits=3:4:5:6:7:8:9; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=107:115:115:118:118:115:115:118:115:118:115:115:116:116:116:111:120:120:120:117:121:116:118:121:120:114:120:120:117:117:117:114:116:119:119:125:120:121:120:114:116:125:116:119:125:125:125:119:124:121:124:116:122:124:122:122:124:116:124:124:117:125:117:121; old_group_bdd_nodes=7602; phi_bdd_nodes=73; h_order=free_first; h_bdd_nodes=1118; total_stage_bdd_nodes=1191; hash=d66f25efff44,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,1237,37,45769,3.063,transform=prefix_parity_reduce; bound_bits=0:13:1:12; free_bits=2:3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=290:291:294:295:301:293:295:298:298:301:298:301:304:307:304:296; old_group_bdd_nodes=4766; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=642; total_stage_bdd_nodes=653; hash=bbb6fda188dc,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.aig,1,1,1,2786,40,111440,3.658,transform=prefix_parity_reduce; bound_bits=0:13:1:12; free_bits=2:3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=290:291:294:295:301:293:295:298:298:301:298:301:304:307:304:296; old_group_bdd_nodes=4766; phi_bdd_nodes=11; h_order=free_first; h_bdd_nodes=1607; total_stage_bdd_nodes=1618; hash=d02e35e704a6,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.aig,1,1,1,1478,40,59120,3.143,transform=prefix_parity_reduce; bound_bits=0:13:1:12:2; free_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=179:186:186:191:244:239:240:240:194:202:194:197:247:247:247:242:243:240:243:237:197:195:194:197:246:237:246:246:203:207:203:201; old_group_bdd_nodes=7010; phi_bdd_nodes=29; h_order=phi_first; h_bdd_nodes=758; total_stage_bdd_nodes=787; hash=0a21ec77fc78,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.aig,1,1,1,3184,43,136912,3.911,transform=prefix_parity_reduce; bound_bits=0:13:1:12:2; free_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=179:186:186:191:244:239:240:240:194:202:194:197:247:247:247:242:243:240:243:237:197:195:194:197:246:237:246:246:203:207:203:201; old_group_bdd_nodes=7010; phi_bdd_nodes=29; h_order=free_first; h_bdd_nodes=1880; total_stage_bdd_nodes=1909; hash=edb98d3c3656,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.aig,1,1,1,1718,39,67002,3.358,transform=prefix_parity_reduce; bound_bits=0:13:1:12:2:11; free_bits=3:4:5:6:7:8:9:10; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=158:166:166:170:170:166:167:170:166:170:166:166:167:167:167:163:170:170:170:168:171:167:168:171:170:165:170:170:168:168:168:164:169:172:172:177:173:173:173:167:169:177:169:172:177:177:177:172:177:174:177:168:174:177:174:174:177:168:177:177:170:178:170:173; old_group_bdd_nodes=10914; phi_bdd_nodes=73; h_order=phi_first; h_bdd_nodes=872; total_stage_bdd_nodes=945; hash=2174d9edfd26,unknown prefix-key AC decomposition Verilog seed
ex282,ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/verilog/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex282/aigs/ex282_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.aig,1,1,1,2474,50,123700,3.742,transform=prefix_parity_reduce; bound_bits=0:13:1:12:2:11; free_bits=3:4:5:6:7:8:9:10; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=158:166:166:170:170:166:167:170:166:170:166:166:167:167:167:163:170:170:170:168:171:167:168:171:170:165:170:170:168:168:168:164:169:172:172:177:173:173:173:167:169:177:169:172:177:177:177:172:177:174:177:168:174:177:174:174:177:168:177:177:170:178:170:173; old_group_bdd_nodes=10914; phi_bdd_nodes=73; h_order=free_first; h_bdd_nodes=1405; total_stage_bdd_nodes=1478; hash=cea18ca96fbc,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,1437,40,57480,6.273,transform=prefix_parity_reduce; bound_bits=0:14:1:13; free_bits=2:3:4:5:6:7:8:9:10:11:12; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=365:366:369:370:376:368:370:373:373:376:373:376:379:382:379:371; old_group_bdd_nodes=5966; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=737; total_stage_bdd_nodes=748; hash=59fa895c7526,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.aig,1,1,1,3462,44,152328,7.234,transform=prefix_parity_reduce; bound_bits=0:14:1:13; free_bits=2:3:4:5:6:7:8:9:10:11:12; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=365:366:369:370:376:368:370:373:373:376:373:376:379:382:379:371; old_group_bdd_nodes=5966; phi_bdd_nodes=11; h_order=free_first; h_bdd_nodes=1996; total_stage_bdd_nodes=2007; hash=8e8c5682f924,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_phi_first.aig,1,1,1,1684,41,69044,6.453,transform=prefix_parity_reduce; bound_bits=0:14:1:13:2; free_bits=3:4:5:6:7:8:9:10:11:12; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=246:253:253:258:316:311:312:312:261:269:261:264:319:319:319:314:315:312:315:309:264:262:261:264:318:309:318:318:270:274:270:268; old_group_bdd_nodes=9234; phi_bdd_nodes=29; h_order=phi_first; h_bdd_nodes=863; total_stage_bdd_nodes=892; hash=c825c8a2445a,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top5_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top5_first_free_first.aig,1,1,1,4185,48,200880,7.581,transform=prefix_parity_reduce; bound_bits=0:14:1:13:2; free_bits=3:4:5:6:7:8:9:10:11:12; class_encoding=first; class_count=28; phi_width=5; group_bdd_nodes=246:253:253:258:316:311:312:312:261:269:261:264:319:319:319:314:315:312:315:309:264:262:261:264:318:309:318:318:270:274:270:268; old_group_bdd_nodes=9234; phi_bdd_nodes=29; h_order=free_first; h_bdd_nodes=2529; total_stage_bdd_nodes=2558; hash=5dee1bd748bc,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_phi_first.aig,1,1,1,1917,40,76680,6.684,transform=prefix_parity_reduce; bound_bits=0:14:1:13:2:12; free_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=224:232:232:237:237:232:234:237:232:237:232:232:233:233:233:230:237:237:237:234:238:233:235:238:237:231:237:237:234:234:234:231:236:239:239:244:240:240:240:234:236:244:236:239:244:244:244:239:244:241:244:235:241:244:241:241:244:235:244:244:237:245:237:240; old_group_bdd_nodes=15186; phi_bdd_nodes=73; h_order=phi_first; h_bdd_nodes=987; total_stage_bdd_nodes=1060; hash=9c6e96f3324a,unknown prefix-key AC decomposition Verilog seed
ex283,ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top6_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/verilog/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex283/aigs/ex283_unknown_key_ac_decomp_prefix_parity_reduce_top6_first_free_first.aig,1,1,1,3219,52,167388,8.231,transform=prefix_parity_reduce; bound_bits=0:14:1:13:2:12; free_bits=3:4:5:6:7:8:9:10:11; class_encoding=first; class_count=50; phi_width=6; group_bdd_nodes=224:232:232:237:237:232:234:237:232:237:232:232:233:233:233:230:237:237:237:234:238:233:235:238:237:231:237:237:234:234:234:231:236:239:239:244:240:240:240:234:236:244:236:239:244:244:244:239:244:241:244:235:241:244:241:241:244:235:244:244:237:245:237:240; old_group_bdd_nodes=15186; phi_bdd_nodes=73; h_order=free_first; h_bdd_nodes=1808; total_stage_bdd_nodes=1881; hash=1f22b0535419,unknown prefix-key AC decomposition Verilog seed
ex284,ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_phi_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex284/verilog/ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex284/aigs/ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_phi_first.aig,1,1,1,1614,42,67788,13.505,transform=prefix_parity_reduce; bound_bits=0:15:1:14; free_bits=2:3:4:5:6:7:8:9:10:11:12:13; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=434:435:438:439:445:437:439:442:442:445:442:445:448:451:448:440; old_group_bdd_nodes=7070; phi_bdd_nodes=11; h_order=phi_first; h_bdd_nodes=826; total_stage_bdd_nodes=837; hash=b0fad7b5ce57,unknown prefix-key AC decomposition Verilog seed
ex284,ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first,unknown_prefix_key_ac_decomposition,prefix_parity_reduce_top4_first_free_first,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex284/verilog/ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.v,student/work/ex280_ex284_frontend_key_ac_decomp_20260608_1909/ex284/aigs/ex284_unknown_key_ac_decomp_prefix_parity_reduce_top4_first_free_first.aig,1,1,1,4079,48,195792,15.082,transform=prefix_parity_reduce; bound_bits=0:15:1:14; free_bits=2:3:4:5:6:7:8:9:10:11:12:13; class_encoding=first; class_count=14; phi_width=4; group_bdd_nodes=434:435:438:439:445:437:439:442:442:445:442:445:448:451:448:440; old_group_bdd_nodes=7070; phi_bdd_nodes=11; h_order=free_first; h_bdd_nodes=2341; total_stage_bdd_nodes=2352; hash=62b8d63e5fbd,unknown prefix-key AC decomposition Verilog seed
