case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,off_keys,cube_count,literal_count,max_cube_free_bits,avg_literals_per_cube
ex288,8,lsb,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,730,6289,10,8.615
ex288,8,msb,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,721,6551,10,9.086
ex288,8,middle,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,716,6248,10,8.726
ex288,9,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,669,5774,11,8.631
ex288,9,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,655,5920,11,9.038
ex288,9,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,649,5659,11,8.720
ex288,10,lsb,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,710,6096,10,8.586
ex288,10,msb,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,712,6454,10,9.065
ex288,10,middle,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,704,6165,10,8.757
ex288,11,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,596,4995,11,8.381
ex288,11,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,583,5128,11,8.796
ex288,11,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,578,4925,11,8.521
ex288,12,lsb,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,731,6345,10,8.680
ex288,12,msb,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,711,6474,10,9.105
ex288,12,middle,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,703,6195,10,8.812
ex288,13,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,666,5751,11,8.635
ex288,13,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,634,5757,11,9.080
ex288,13,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,638,5584,11,8.752
ex288,14,lsb,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,739,6410,10,8.674
ex288,14,msb,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,702,6389,10,9.101
ex288,14,middle,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,694,6101,10,8.791
