case,policy,bits,nodes,classes,max_group_nodes,is_default
ex287,f00,0:1:8:10,2564,16,207,0
ex287,f00,0:1:8:11,2421,16,196,0
ex287,f00,0:1:8:12,2716,16,212,0
ex287,f00,0:1:8:13,3159,16,241,0
ex287,f00,0:1:9:10,2984,16,208,0
ex287,f00,0:1:9:11,2845,16,199,0
ex287,f00,0:1:9:12,3274,16,229,0
ex287,f00,0:1:9:13,3760,16,259,0
ex287,f00,0:1:10:11,1907,14,160,0
ex287,f00,0:1:10:12,2472,16,175,0
ex287,f00,0:1:10:13,2857,16,200,0
ex287,f00,0:1:11:12,2369,16,198,0
ex287,f00,0:1:11:13,2658,16,215,0
ex287,f00,0:1:12:13,3035,16,228,1
ex288,f10,0:1:2:3,3893,16,274,0
ex288,f10,0:1:2:4,4036,16,279,0
ex288,f10,0:1:2:5,3966,16,272,0
ex288,f10,0:1:2:6,4078,16,290,0
ex288,f10,0:1:2:7,4078,16,290,0
ex288,f10,0:1:2:8,4067,16,287,0
ex288,f10,0:1:2:9,4129,16,291,0
ex288,f10,0:1:2:10,3849,16,262,0
ex288,f10,0:1:2:11,3288,16,232,0
ex288,f10,0:1:2:12,4187,16,290,0
ex288,f10,0:1:2:13,4158,16,287,0
ex288,f10,0:1:2:14,4323,16,313,0
ex288,f10,0:1:3:4,4536,16,311,0
ex288,f10,0:1:3:5,4466,16,304,0
ex288,f10,0:1:3:6,4490,16,318,0
ex288,f10,0:1:3:7,4490,16,318,0
ex288,f10,0:1:3:8,4562,16,319,0
ex288,f10,0:1:3:9,4624,16,323,0
ex288,f10,0:1:3:10,4390,16,295,0
ex288,f10,0:1:3:11,3587,16,257,0
ex288,f10,0:1:3:12,4234,16,293,0
ex288,f10,0:1:3:13,4353,16,299,0
ex288,f10,0:1:3:14,4574,16,324,0
ex288,f10,0:1:4:5,3629,12,354,0
ex288,f10,0:1:4:6,5109,16,373,0
ex288,f10,0:1:4:7,5109,16,373,0
ex288,f10,0:1:4:8,5226,16,356,0
ex288,f10,0:1:4:9,5282,16,360,0
ex288,f10,0:1:4:10,5090,16,335,0
ex288,f10,0:1:4:11,3850,16,255,0
ex288,f10,0:1:4:12,4209,16,279,0
ex288,f10,0:1:4:13,4430,16,299,0
ex288,f10,0:1:4:14,4723,16,321,0
ex288,f10,0:1:5:6,5019,16,366,0
ex288,f10,0:1:5:7,5019,16,366,0
ex288,f10,0:1:5:8,5268,16,359,0
ex288,f10,0:1:5:9,5324,16,363,0
ex288,f10,0:1:5:10,5090,16,335,0
ex288,f10,0:1:5:11,3743,16,249,0
ex288,f10,0:1:5:12,4123,16,275,0
ex288,f10,0:1:5:13,4346,16,289,0
ex288,f10,0:1:5:14,4661,16,320,0
ex288,f10,0:1:6:7,3933,12,357,0
ex288,f10,0:1:6:8,5287,16,364,0
ex288,f10,0:1:6:9,5287,16,364,0
ex288,f10,0:1:6:10,4935,16,329,0
ex288,f10,0:1:6:11,3810,16,256,0
ex288,f10,0:1:6:12,4221,16,290,0
ex288,f10,0:1:6:13,4418,16,303,0
ex288,f10,0:1:6:14,4652,16,333,0
ex288,f10,0:1:7:8,5287,16,364,0
ex288,f10,0:1:7:9,5287,16,364,0
ex288,f10,0:1:7:10,4935,16,329,0
ex288,f10,0:1:7:11,3810,16,256,0
ex288,f10,0:1:7:12,4221,16,290,0
ex288,f10,0:1:7:13,4418,16,303,0
ex288,f10,0:1:7:14,4652,16,333,0
ex288,f10,0:1:8:9,3365,12,311,0
ex288,f10,0:1:8:10,4695,16,334,0
ex288,f10,0:1:8:11,3794,16,279,0
ex288,f10,0:1:8:12,4254,16,292,0
ex288,f10,0:1:8:13,4472,16,314,0
ex288,f10,0:1:8:14,4828,16,333,0
ex288,f10,0:1:9:10,4755,16,338,0
ex288,f10,0:1:9:11,3850,16,283,0
ex288,f10,0:1:9:12,4318,16,296,0
ex288,f10,0:1:9:13,4536,16,318,0
ex288,f10,0:1:9:14,4892,16,337,0
ex288,f10,0:1:10:11,3800,16,262,0
ex288,f10,0:1:10:12,4076,16,273,0
ex288,f10,0:1:10:13,4263,16,288,0
ex288,f10,0:1:10:14,4457,16,315,0
ex288,f10,0:1:11:12,3333,16,238,0
ex288,f10,0:1:11:13,3555,16,250,0
ex288,f10,0:1:11:14,3769,16,274,0
ex288,f10,0:1:12:13,3977,16,288,0
ex288,f10,0:1:12:14,4275,16,303,0
ex288,f10,0:1:13:14,4422,16,317,1
ex289,f00,0:1:2:3,3950,16,255,0
ex289,f00,0:1:2:4,4240,16,312,0
ex289,f00,0:1:2:5,4815,16,321,0
ex289,f00,0:1:2:6,4405,16,298,0
ex289,f00,0:1:2:7,4341,16,294,0
ex289,f00,0:1:2:8,4883,16,317,0
ex289,f00,0:1:2:9,4883,16,317,0
ex289,f00,0:1:2:10,4329,16,278,0
ex289,f00,0:1:2:11,4193,16,269,0
ex289,f00,0:1:2:12,4112,16,266,0
ex289,f00,0:1:2:13,4294,16,279,0
ex289,f00,0:1:2:14,4145,16,280,0
ex289,f00,0:1:2:15,4145,16,280,0
ex289,f00,0:1:3:4,4387,16,320,0
ex289,f00,0:1:3:5,4971,16,329,0
ex289,f00,0:1:3:6,4509,16,311,0
ex289,f00,0:1:3:7,4445,16,307,0
ex289,f00,0:1:3:8,5039,16,327,0
ex289,f00,0:1:3:9,5039,16,327,0
ex289,f00,0:1:3:10,4591,16,296,0
ex289,f00,0:1:3:11,4455,16,287,0
ex289,f00,0:1:3:12,4268,16,274,0
ex289,f00,0:1:3:13,4286,16,277,0
ex289,f00,0:1:3:14,4255,16,287,0
ex289,f00,0:1:3:15,4255,16,287,0
ex289,f00,0:1:4:5,4092,12,378,0
ex289,f00,0:1:4:6,5343,16,420,0
ex289,f00,0:1:4:7,5283,16,416,0
ex289,f00,0:1:4:8,5831,16,420,0
ex289,f00,0:1:4:9,5831,16,420,0
ex289,f00,0:1:4:10,5301,16,384,0
ex289,f00,0:1:4:11,5238,16,377,0
ex289,f00,0:1:4:12,4077,16,301,0
ex289,f00,0:1:4:13,4121,16,307,0
ex289,f00,0:1:4:14,4528,16,336,0
ex289,f00,0:1:4:15,4528,16,336,0
ex289,f00,0:1:5:6,5893,16,401,0
ex289,f00,0:1:5:7,5831,16,397,0
ex289,f00,0:1:5:8,6482,16,431,0
ex289,f00,0:1:5:9,6482,16,431,0
ex289,f00,0:1:5:10,5892,16,394,0
ex289,f00,0:1:5:11,5892,16,394,0
ex289,f00,0:1:5:12,4594,16,315,0
ex289,f00,0:1:5:13,4682,16,321,0
ex289,f00,0:1:5:14,5114,16,345,0
ex289,f00,0:1:5:15,5114,16,345,0
ex289,f00,0:1:6:7,4266,12,391,0
ex289,f00,0:1:6:8,6142,16,415,0
ex289,f00,0:1:6:9,6142,16,415,0
ex289,f00,0:1:6:10,5550,16,375,0
ex289,f00,0:1:6:11,5435,16,367,0
ex289,f00,0:1:6:12,4196,16,288,0
ex289,f00,0:1:6:13,4266,16,296,0
ex289,f00,0:1:6:14,4617,16,321,0
ex289,f00,0:1:6:15,4617,16,321,0
ex289,f00,0:1:7:8,6142,16,415,0
ex289,f00,0:1:7:9,6142,16,415,0
ex289,f00,0:1:7:10,5486,16,371,0
ex289,f00,0:1:7:11,5371,16,363,0
ex289,f00,0:1:7:12,4132,16,284,0
ex289,f00,0:1:7:13,4202,16,292,0
ex289,f00,0:1:7:14,4557,16,317,0
ex289,f00,0:1:7:15,4557,16,317,0
ex289,f00,0:1:8:9,3912,12,365,0
ex289,f00,0:1:8:10,5495,16,393,0
ex289,f00,0:1:8:11,5470,16,388,0
ex289,f00,0:1:8:12,4722,16,306,0
ex289,f00,0:1:8:13,4810,16,313,0
ex289,f00,0:1:8:14,5208,16,346,0
ex289,f00,0:1:8:15,5208,16,346,0
ex289,f00,0:1:9:10,5495,16,393,0
ex289,f00,0:1:9:11,5470,16,388,0
ex289,f00,0:1:9:12,4722,16,306,0
ex289,f00,0:1:9:13,4810,16,313,0
ex289,f00,0:1:9:14,5208,16,346,0
ex289,f00,0:1:9:15,5208,16,346,0
ex289,f00,0:1:10:11,4100,12,365,0
ex289,f00,0:1:10:12,4318,16,284,0
ex289,f00,0:1:10:13,4362,16,292,0
ex289,f00,0:1:10:14,4554,16,307,0
ex289,f00,0:1:10:15,4554,16,307,0
ex289,f00,0:1:11:12,4162,16,273,0
ex289,f00,0:1:11:13,4206,16,281,0
ex289,f00,0:1:11:14,4448,16,295,0
ex289,f00,0:1:11:15,4448,16,295,0
ex289,f00,0:1:12:13,3402,14,265,0
ex289,f00,0:1:12:14,4140,16,280,0
ex289,f00,0:1:12:15,4140,16,280,0
ex289,f00,0:1:13:14,4150,16,283,0
ex289,f00,0:1:13:15,4150,16,283,0
ex289,f00,0:1:14:15,4323,16,312,1
