case,candidate_id,evaluate_status,equivalent,area,delay,adp,verilog_path,aig_path,log_path,agent_id,notes,status,output_dir,evaluate_log,runtime_sec,shard_csv,domain,method_signature
ex245,ex245_r71_po_high_low2_residual,OK,1,4640,38,176320,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_po_high_low2_residual.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/aigs/ex245_r71_po_high_low2_residual.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_po_high_low2_residual.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=5.759; eval_sec=0.784; frontend_best=22077; current=17319; reference=11050,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/official_output/ex245_r71_po_high_low2_residual,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_po_high_low2_residual.evaluate.py.log,0.784,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex245|E5M2FN packed add|source-level PO split with active-table high plane plus low2 cancellation LUT|shared E5M2 sorted decode and small-gap active predicates with separate high/low residual output planes|repo_yosys_frontend_default|official_evaluate|po_high_low2_planes
ex245,ex245_r71_signed_delta_csa_adjust,OK,1,1856,49,90944,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/verilog/ex245_r71_signed_delta_csa_adjust.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/aigs/ex245_r71_signed_delta_csa_adjust.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_signed_delta_csa_adjust.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=3.064; eval_sec=0.797; frontend_best=22077; current=17319; reference=11050,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/official_output/ex245_r71_signed_delta_csa_adjust,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex245/logs/ex245_r71_signed_delta_csa_adjust.evaluate.py.log,0.797,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex245|E5M2FN packed add|carry-save-style signed magnitude adjustment with shared sticky/guard predicates|shared E5M2 max/min decode; signed same/diff residual adjustment ROMs feed one magnitude assembler|repo_yosys_frontend_default|official_evaluate|signed_adjust_full_word
ex244,ex244_r71_gap_correction_rom,OK,1,610,39,23790,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_gap_correction_rom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/aigs/ex244_r71_gap_correction_rom.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_gap_correction_rom.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=1.960; eval_sec=0.541; frontend_best=9120; current=8928; reference=4272,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/official_output/ex244_r71_gap_correction_rom,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_gap_correction_rom.evaluate.py.log,0.541,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,"ex244|E4M3FN packed hypot|max-plus correction ROM per effective exponent gap|shared max/min magnitude decode; exact correction ROM keyed by max_eff, gap, max_sig, min_sig|repo_yosys_frontend_default|official_evaluate|max_plus_gap_correction_rom"
ex244,ex244_r71_core_patch_correction,OK,1,644,42,27048,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/verilog/ex244_r71_core_patch_correction.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/aigs/ex244_r71_core_patch_correction.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_core_patch_correction.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=2.260; eval_sec=0.501; frontend_best=9120; current=8928; reference=4272,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/official_output/ex244_r71_core_patch_correction,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex244/logs/ex244_r71_core_patch_correction.evaluate.py.log,0.501,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex244|E4M3FN packed hypot|CORDIC-like coarse correction plus max-eff patch ROM|coarse gap/sig correction table reused across exponents with small max-eff patch table|repo_yosys_frontend_default|official_evaluate|coarse_delta_with_patch
ex249,ex249_r71_rawgap_correction_rom,OK,1,375,31,11625,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_rawgap_correction_rom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/aigs/ex249_r71_rawgap_correction_rom.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_rawgap_correction_rom.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=1.058; eval_sec=0.529; frontend_best=4342; current=3339; reference=2079,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/official_output/ex249_r71_rawgap_correction_rom,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_rawgap_correction_rom.evaluate.py.log,0.529,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex249|E5M2FN packed hypot|raw-exponent max-plus correction ROM per active gap|shared raw exponent active-gap shell and exact correction ROM with max-exp context|repo_yosys_frontend_default|official_evaluate|rawgap_correction_rom
ex249,ex249_r71_piecewise_tiny_mantissa,OK,1,332,31,10292,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/verilog/ex249_r71_piecewise_tiny_mantissa.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/aigs/ex249_r71_piecewise_tiny_mantissa.aig,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_piecewise_tiny_mantissa.evaluate.py.log,sub-fp8-addhyp-hybrid-r71,official evaluate.py OK; synth_sec=0.760; eval_sec=0.458; frontend_best=4342; current=3339; reference=2079,OK,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/official_output/ex249_r71_piecewise_tiny_mantissa,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-addhyp-hybrid-r71/ex249/logs/ex249_r71_piecewise_tiny_mantissa.evaluate.py.log,0.458,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-addhyp-hybrid-r71/evaluation_results.csv,float_fp8,ex249|E5M2FN packed hypot|piecewise sqrt exact table for tiny mantissa classes|shared active-gap shell; separate gap0/gap1 tiny mantissa correction tables|repo_yosys_frontend_default|official_evaluate|gap_split_tiny_mantissa_tables
ex246,ex246_r71_axis_attr_hardrom,,1,418,31,12958,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/verilog/ex246_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/aigs/ex246_r71_axis_attr_hardrom.aig,,sub-fp8-arith-hybrid-r71,official evaluate.py OK; attr_rows=21; hard_rows=497; synth_sec=0.675; eval_sec=0.484,,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/logs/ex246_r71_axis_attr_hardrom.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/evaluation_results.csv,float_fp8,
ex246,ex246_r71_splitpo_hardpieces,,1,588,31,18228,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/verilog/ex246_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/aigs/ex246_r71_splitpo_hardpieces.aig,,sub-fp8-arith-hybrid-r71,official evaluate.py OK; attr_rows=21; hard_rows=975; synth_sec=0.799; eval_sec=0.481,,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex246/logs/ex246_r71_splitpo_hardpieces.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/evaluation_results.csv,float_fp8,
ex247,ex247_r71_axis_attr_hardrom,,1,375,22,8250,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/verilog/ex247_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/aigs/ex247_r71_axis_attr_hardrom.aig,,sub-fp8-arith-hybrid-r71,official evaluate.py OK; attr_rows=49; hard_rows=992; synth_sec=0.440; eval_sec=0.487,,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/logs/ex247_r71_axis_attr_hardrom.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/evaluation_results.csv,float_fp8,
ex247,ex247_r71_splitpo_hardpieces,,1,415,23,9545,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/verilog/ex247_r71_splitpo_hardpieces.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/aigs/ex247_r71_splitpo_hardpieces.aig,,sub-fp8-arith-hybrid-r71,official evaluate.py OK; attr_rows=49; hard_rows=1954; synth_sec=0.619; eval_sec=0.484,,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex247/logs/ex247_r71_splitpo_hardpieces.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/evaluation_results.csv,float_fp8,
ex241,ex241_r71_axis_attr_hardrom,,1,757,40,30280,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/verilog/ex241_r71_axis_attr_hardrom.v,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/aigs/ex241_r71_axis_attr_hardrom.aig,,sub-fp8-arith-hybrid-r71,official evaluate.py OK; attr_rows=78; hard_rows=825; synth_sec=1.029; eval_sec=0.517,,,student/work/frontend_source_parallel_round71_20260613_1308/sub-fp8-arith-hybrid-r71/ex241/logs/ex241_r71_axis_attr_hardrom.evaluate.py.log,,student/frontend_campaigns/campaigns/frontend_source_parallel_round71_20260613_1308/agent_shards/sub-fp8-arith-hybrid-r71/evaluation_results.csv,float_fp8,
