case,domain,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,hypothesis,function_guess,variant,tool_chain,classification,verilog_path,aig_path,source_kind,source_csv,notes
ex210,bf16,2232,15,33480,27053,1.237571,1,0,ex210_bf16_sigmoid_const_default_3f80_h3,bf16_sigmoid / sigmoid / bf16_sigmoid / sigmoid,bf16_sigmoid / sigmoid / bf16_sigmoid / sigmoid,const_default_3f80_h3,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex210/verilog/ex210_bf16_sigmoid_const_default_3f80_h3.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex210/aigs/ex210_bf16_sigmoid_const_default_3f80_h3.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,DAZ sigmoid BF16 RNE/canonical-NaN model exact over 65536 inputs; constant default 16'h3f80 exceptions hi_bits=3 default_mode=mode items=1733
ex211,bf16,273,11,3003,2136,1.405899,1,0,ex211_bf16_reciprocal_hand_recip_formula_signmag_lut,bf16_reciprocal / reciprocal / bf16_reciprocal / reciprocal,bf16_reciprocal / reciprocal / bf16_reciprocal / reciprocal,hand_recip_formula_signmag_lut,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex211/verilog/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex211/aigs/ex211_bf16_reciprocal_hand_recip_formula_signmag_lut.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; hand semantic reciprocal: special cases + 128-entry mantissa LUT items=128; sign/magnitude output mux rewrite
ex212,bf16,281,11,3091,2304,1.341580,1,0,ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1,bf16_square / square / bf16_square / square,bf16_square / square / bf16_square / square,delta_pair_mode_hilo4_bits_15_bh1,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex212/verilog/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex212/aigs/ex212_bf16_square_delta_pair_mode_hilo4_bits_15_bh1.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo4 items=16529; output bit overrides bits=15 bit_hi_bits=1 bit_items=0
ex213,bf16,346,11,3806,2900,1.312414,1,0,ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1,bf16_sqrt / sqrt / bf16_sqrt / sqrt,bf16_sqrt / sqrt / bf16_sqrt / sqrt,sep_fields_e2_m3_s3_bits_1_bh1,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex213/verilog/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex213/aigs/ex213_bf16_sqrt_sep_fields_e2_m3_s3_bits_1_bh1.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; separate fields exp_hi=2 mant_hi=3 sign_hi=3 items=29859; sep bit overrides bits=1 bit_hi_bits=1 bit_items=15875
ex214,bf16,337,11,3707,2424,1.529290,0,0,ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix,bf16_reciprocal_square / reciprocal_square / bf16_reciprocal_square / reciprocal_square,bf16_reciprocal_square / reciprocal_square / bf16_reciprocal_square / reciprocal_square,legacy_default_expr_exception_case_bits_13_cmp_fix,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex214/verilog/ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex214/aigs/ex214_bf16_reciprocal_square_legacy_default_expr_exception_case_bits_13_cmp_fix.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; legacy bf16_verilog_search default_expr_exception_case; exceptions=48896; default=zero; matches=16640; selected bit overrides bits=13 bit_hi_bits=cmp bit_items=36
ex215,bf16,390,12,4680,3150,1.485714,1,0,ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,bf16_reciprocal_sqrt / reciprocal_sqrt / bf16_reciprocal_sqrt / reciprocal_sqrt,bf16_reciprocal_sqrt / reciprocal_sqrt / bf16_reciprocal_sqrt / reciprocal_sqrt,delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex215/verilog/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex215/aigs/ex215_bf16_reciprocal_sqrt_delta_pair_mode_hilo3_bits_9_bh1_fix2_caseattrs_fix12.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; delta pair base_policy=mode delta_mode=hilo3 items=29348; generic selected bit overrides bits=9 bit_hi_bits=1 bit_items=147; source case attributes parallel_case full_case
ex216,bf16,444,13,5772,3357,1.719392,0,0,ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,bf16_cube / cube / bf16_cube / cube,bf16_cube / cube / bf16_cube / cube,aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex216/verilog/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex216/aigs/ex216_bf16_cube_aggr_semantic_positive_symmetry_fields_cube_bit14_boundary_caseattrs_fix13.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; aggressive semantic BF16 RTL; items=positive_entries=32768; relation=sign_flip_pos; negative_exceptions=127; semantic model exact over 65536 inputs; manual cube bit14 boundary exp>=128 or exp127 mant>=34; source case attributes parallel_case full_case
ex217,bf16,623,13,8099,5785,1.400000,1,0,ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,bf16_cbrt / cbrt / bf16_cbrt / cbrt,bf16_cbrt / cbrt / bf16_cbrt / cbrt,delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex217/verilog/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex217/aigs/ex217_bf16_cbrt_delta_pair_first_hilo3_bits_0_bh3_fix2_manual_sign_non_nan_caseattrs_fix15.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27692; generic selected bit overrides bits=0 bit_hi_bits=3 bit_items=33528; manual sign bit override sign && !is_nan; source case attributes parallel_case full_case
ex218,bf16,467,13,6071,3222,1.884233,0,0,ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9,bf16_reciprocal_cube / reciprocal_cube / bf16_reciprocal_cube / reciprocal_cube,bf16_reciprocal_cube / reciprocal_cube / bf16_reciprocal_cube / reciprocal_cube,legacy_value_case_bits_15_cmp_caseattrs_fix9,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex218/verilog/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex218/aigs/ex218_bf16_reciprocal_cube_legacy_value_case_bits_15_cmp_caseattrs_fix9.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; legacy bf16_verilog_search value_case; 65536; selected bit overrides bits=15 bit_hi_bits=cmp bit_items=10; source case attributes parallel_case full_case
ex219,bf16,623,15,9345,5640,1.656915,0,0,ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,bf16_reciprocal_cbrt / reciprocal_cbrt / bf16_reciprocal_cbrt / reciprocal_cbrt,bf16_reciprocal_cbrt / reciprocal_cbrt / bf16_reciprocal_cbrt / reciprocal_cbrt,delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9,,run,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex219/verilog/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9.v,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/ex219/aigs/ex219_bf16_reciprocal_cbrt_delta_pair_first_hilo3_bits_6_cmp_caseattrs_fix9.aig,seed,student/seeds/bf16/ex200_ex219_backend_start_20260608_1008/results/best.csv,semantic model exact over 65536 inputs; delta pair base_policy=first delta_mode=hilo3 items=27365; generic selected bit overrides bits=6 bit_hi_bits=cmp bit_items=684; source case attributes parallel_case full_case
ex220,fp16,10754,22,236588,180404,1.311434,1,0,ex220_fp16_exp_exp_mant_pair_case,fp16_exp / fp16_exp / fp16_exp / fp16_exp,fp16_exp / fp16_exp / fp16_exp / fp16_exp,exp_mant_pair_case,,structural_exact,student/seeds/fp16/ex220_ex239_current/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/seeds/fp16/ex220_ex239_current/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,structural_exact FP16 curated frontend candidate
ex221,fp16,6968,21,146328,105655,1.384960,1,0,ex221_fp16_exp2_semantic_positive_field_defaults,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,fp16_exp2 / fp16_exp2 / fp16_exp2 / fp16_exp2,semantic_positive_field_defaults,,semantic_hybrid,student/seeds/fp16/ex220_ex239_current/ex221/verilog/ex221_fp16_exp2_semantic_positive_field_defaults.v,student/seeds/fp16/ex220_ex239_current/ex221/aigs/ex221_fp16_exp2_semantic_positive_field_defaults.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,semantic_hybrid FP16 frontend candidate
ex222,fp16,10615,22,233530,173621,1.345056,1,0,ex222_fp16_exp10_positive_default_exp_mant_case,fp16_exp10 / fp16_exp10 / fp16_exp10 / fp16_exp10,fp16_exp10 / fp16_exp10 / fp16_exp10 / fp16_exp10,positive_default_exp_mant_case,,structural_exact,student/seeds/fp16/ex220_ex239_current/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/seeds/fp16/ex220_ex239_current/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,structural_exact FP16 curated frontend candidate
ex223,fp16,10753,19,204307,120549,1.694805,0,0,ex223_log_nested_low11_hi5_abc_g_aig,fp16_log / fp16_log / fp16_log / fp16_log,fp16_log / fp16_log / fp16_log / fp16_log,log_nested_low11_hi5,,semantic_structural_exact,student/seeds/fp16/ex220_ex239_current/ex223/verilog/ex223_log_nested_low11_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex223/aigs/ex223_log_nested_low11_hi5_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,positive-normal exp-group high-bit run trees plus nested low11 hi5 LUT; official evaluate.py OK
ex224,fp16,6014,16,96224,64708,1.487050,1,0,ex224_log_nested_low12_hi6_abc_g_aig,fp16_log2 / fp16_log2 / fp16_log2 / fp16_log2,fp16_log2 / fp16_log2 / fp16_log2 / fp16_log2,log_nested_low12_hi6,,semantic_structural_exact,student/seeds/fp16/ex220_ex239_current/ex224/verilog/ex224_log_nested_low12_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex224/aigs/ex224_log_nested_low12_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,positive-normal exp-group high-bit run trees plus nested low12 hi6 LUT; official evaluate.py OK
ex225,fp16,11533,19,219127,116676,1.878081,0,0,ex225_log_nested_low12_hi5_abc_g_aig,fp16_log10 / fp16_log10 / fp16_log10 / fp16_log10,fp16_log10 / fp16_log10 / fp16_log10 / fp16_log10,log_nested_low12_hi5,,semantic_structural_exact,student/seeds/fp16/ex220_ex239_current/ex225/verilog/ex225_log_nested_low12_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex225/aigs/ex225_log_nested_low12_hi5_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,positive-normal exp-group high-bit run trees plus nested low12 hi5 LUT; official evaluate.py OK
ex226,fp16,33356,22,733832,587790,1.248459,1,0,ex226_positive_default_exp_mant_case_abc_g_aig,fp16_sin / fp16_sin / fp16_sin / fp16_sin,fp16_sin / fp16_sin / fp16_sin / fp16_sin,abc_g_aig,,synthflow_exact,student/seeds/fp16/ex220_ex239_current/ex226/verilog/ex226_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex226/aigs/ex226_positive_default_exp_mant_case_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,Yosys abc gate set aig from positive/default exp-mant seed
ex227,fp16,40629,22,893838,721639,1.238622,1,0,ex227_positive_default_exp_mant_case_abc_g_aig,fp16_tan / fp16_tan / fp16_tan / fp16_tan,fp16_tan / fp16_tan / fp16_tan / fp16_tan,abc_g_aig,,synthflow_exact,student/seeds/fp16/ex220_ex239_current/ex227/verilog/ex227_positive_default_exp_mant_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,Yosys abc gate set aig from positive/default exp-mant seed
ex228,fp16,6627,20,132540,101205,1.309619,1,0,ex228_semantic_sign_exp_field_defaults_abc_g_aig,fp16_sinh / fp16_sinh / fp16_sinh / fp16_sinh,fp16_sinh / fp16_sinh / fp16_sinh / fp16_sinh,abc_g_aig,,synthflow_exact,student/seeds/fp16/ex220_ex239_current/ex228/verilog/ex228_semantic_sign_exp_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,Yosys abc gate set aig from semantic sign/exp field-default seed
ex229,fp16,3971,19,75449,57968,1.301563,1,0,ex229_semantic_positive_field_defaults_abc_g_aig,fp16_tanh / fp16_tanh / fp16_tanh / fp16_tanh,fp16_tanh / fp16_tanh / fp16_tanh / fp16_tanh,abc_g_aig,,synthflow_exact,student/seeds/fp16/ex220_ex239_current/ex229/verilog/ex229_semantic_positive_field_defaults_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex229/aigs/ex229_semantic_positive_field_defaults_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,Yosys abc gate set aig from semantic positive-field defaults seed
ex230,fp16,6969,20,139380,108320,1.286743,1,0,ex230_exp_mant_pair_case_abc_g_aig,fp16_sigmoid / fp16_sigmoid / fp16_sigmoid / fp16_sigmoid,fp16_sigmoid / fp16_sigmoid / fp16_sigmoid / fp16_sigmoid,abc_g_aig,,synthflow_exact,student/seeds/fp16/ex220_ex239_current/ex230/verilog/ex230_exp_mant_pair_case_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex230/aigs/ex230_exp_mant_pair_case_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,Yosys abc gate set aig from exp-mant pair-case sigmoid seed
ex231,fp16,1163,14,16282,14066,1.157543,1,0,ex231_nested_bits9_hi6_abc_g_aig,fp16_reciprocal / fp16_reciprocal / fp16_reciprocal / fp16_reciprocal,fp16_reciprocal / fp16_reciprocal / fp16_reciprocal / fp16_reciprocal,abc_g_aig,,semantic_exact,student/seeds/fp16/ex220_ex239_current/ex231/verilog/ex231_nested_bits9_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex231/aigs/ex231_nested_bits9_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,ex232-style reciprocal: out_exp=30-exp-(mant!=0); mant bit9 run tree; low9 nested hi6 LUT; signed output relation
ex232,fp16,1240,13,16120,13392,1.203704,1,0,ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig,fp16_square / fp16_square / fp16_square / fp16_square,fp16_square / fp16_square / fp16_square / fp16_square,abc_g_aig,,semantic_exact,student/seeds/fp16/ex220_ex239_current/ex232/verilog/ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex232/aigs/ex232_exp_formula_hi9_8_low8_nested_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,sign-free square semantic RTL: out_exp=2*exp-15+(mant>=424); mant bits9/8 as run trees; mant low8 as nested hi6/lo4 LUT; Yosys abc gate set aig
ex233,fp16,1530,15,22950,20174,1.137603,1,0,ex233_nested_bits9_8_hi6_abc_g_aig,fp16_sqrt / fp16_sqrt / fp16_sqrt / fp16_sqrt,fp16_sqrt / fp16_sqrt / fp16_sqrt / fp16_sqrt,abc_g_aig,,semantic_exact,student/seeds/fp16/ex220_ex239_current/ex233/verilog/ex233_nested_bits9_8_hi6_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex233/aigs/ex233_nested_bits9_8_hi6_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,ex232-style sqrt: out_exp=(exp+15)>>1; mantissa split by exponent parity; bits9/8 run trees; low8 nested hi6 LUT; signed zero preserved
ex234,fp16,1351,17,22967,15561,1.475933,1,0,ex234_nested_bits9_8_hi5_abc_g_aig,fp16_reciprocal_square / fp16_reciprocal_square / fp16_reciprocal_square / fp16_reciprocal_square,fp16_reciprocal_square / fp16_reciprocal_square / fp16_reciprocal_square / fp16_reciprocal_square,abc_g_aig,,semantic_exact,student/seeds/fp16/ex220_ex239_current/ex234/verilog/ex234_nested_bits9_8_hi5_abc_g_aig.v,student/seeds/fp16/ex220_ex239_current/ex234/aigs/ex234_nested_bits9_8_hi5_abc_g_aig.aig,seed,student/seeds/fp16/ex220_ex239_current/results/best.csv,ex232-style reciprocal-square: out_exp=45-2*exp-(mant!=0)-(mant>=425); mant bits9/8 run trees; low8 nested hi5 LUT
