case,candidate_id,parent_id,source,tool_chain,aig_path,area,delay,adp,equivalent,runtime_sec,notes
ex262,ex262_abc_resyn3,ex262_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_resyn3/ex262_abc_resyn3.aig,4709,23,108307,1,0.225,abc portfolio flow
ex262,ex262_abc_compress2,ex262_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_compress2/ex262_abc_compress2.aig,4194,21,88074,1,0.309,abc portfolio flow
ex262,ex262_abc_resyn2rs,ex262_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_resyn2rs/ex262_abc_resyn2rs.aig,4018,19,76342,1,0.821,abc portfolio flow
ex262,ex262_abc_compress2rs,ex262_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_compress2rs/ex262_abc_compress2rs.aig,4021,20,80420,1,0.817,abc portfolio flow
ex262,ex262_abc_dc2,ex262_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dc2/ex262_abc_dc2.aig,4154,18,74772,1,0.295,abc portfolio flow
ex262,ex262_abc_dch,ex262_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dch/ex262_abc_dch.aig,4091,17,69547,1,0.593,abc portfolio flow
ex262,ex262_abc_dc2_dch,ex262_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dc2_dch/ex262_abc_dc2_dch.aig,4050,17,68850,1,0.625,abc portfolio flow
ex262,ex262_abc_dch_dc2,ex262_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dch_dc2/ex262_abc_dch_dc2.aig,4032,18,72576,1,0.712,abc portfolio flow
ex262,ex262_abc_dc2_rw,ex262_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dc2_rw/ex262_abc_dc2_rw.aig,4068,18,73224,1,0.360,abc portfolio flow
ex262,ex262_abc_dch_rw,ex262_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_dch_rw/ex262_abc_dch_rw.aig,4021,17,68357,1,0.658,abc portfolio flow
ex262,ex262_abc_src_rw,ex262_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_src_rw/ex262_abc_src_rw.aig,4286,29,124294,1,0.264,abc portfolio flow
ex262,ex262_abc_src_rws,ex262_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_src_rws/ex262_abc_src_rws.aig,4133,29,119857,1,0.592,abc portfolio flow
ex262,ex262_abc_delay_try,ex262_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex262/abc_delay_try/ex262_abc_delay_try.aig,4083,18,73494,1,0.401,abc portfolio flow
ex263,ex263_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex263.aig,22590,46,1039140,1,0.295,from baseline directory
ex263,ex263_abc_resyn,ex263_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_resyn/ex263_abc_resyn.aig,17792,26,462592,1,0.770,abc portfolio flow
ex263,ex263_abc_resyn2,ex263_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_resyn2/ex263_abc_resyn2.aig,17570,25,439250,1,1.013,abc portfolio flow
ex263,ex263_abc_resyn2a,ex263_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_resyn2a/ex263_abc_resyn2a.aig,17873,26,464698,1,0.855,abc portfolio flow
ex263,ex263_abc_resyn3,ex263_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_resyn3/ex263_abc_resyn3.aig,18813,28,526764,1,0.710,abc portfolio flow
ex263,ex263_abc_compress2,ex263_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_compress2/ex263_abc_compress2.aig,17558,25,438950,1,0.954,abc portfolio flow
ex263,ex263_abc_resyn2rs,ex263_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_resyn2rs/ex263_abc_resyn2rs.aig,16839,25,420975,1,2.256,abc portfolio flow
ex263,ex263_abc_compress2rs,ex263_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_compress2rs/ex263_abc_compress2rs.aig,16841,25,421025,1,2.216,abc portfolio flow
ex263,ex263_abc_dc2,ex263_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dc2/ex263_abc_dc2.aig,17044,21,357924,1,0.932,abc portfolio flow
ex263,ex263_abc_dch,ex263_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dch/ex263_abc_dch.aig,16783,21,352443,1,2.817,abc portfolio flow
ex263,ex263_abc_dc2_dch,ex263_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dc2_dch/ex263_abc_dc2_dch.aig,16596,20,331920,1,2.899,abc portfolio flow
ex263,ex263_abc_dch_dc2,ex263_baseline,abc,abc_dch_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dch_dc2/ex263_abc_dch_dc2.aig,16583,22,364826,1,3.327,abc portfolio flow
ex263,ex263_abc_dc2_rw,ex263_baseline,abc,abc_dc2_rw,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dc2_rw/ex263_abc_dc2_rw.aig,16765,21,352065,1,1.162,abc portfolio flow
ex263,ex263_abc_dch_rw,ex263_baseline,abc,abc_dch_rw,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_dch_rw/ex263_abc_dch_rw.aig,16617,21,348957,1,3.043,abc portfolio flow
ex263,ex263_abc_src_rw,ex263_baseline,abc,abc_src_rw,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_src_rw/ex263_abc_src_rw.aig,17764,46,817144,1,0.709,abc portfolio flow
ex263,ex263_abc_src_rws,ex263_baseline,abc,abc_src_rws,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_src_rws/ex263_abc_src_rws.aig,17291,46,795386,1,1.430,abc portfolio flow
ex263,ex263_abc_delay_try,ex263_baseline,abc,abc_delay_try,student/work/pipeline/abc_all_full_20260602_1524/ex263/abc_delay_try/ex263_abc_delay_try.aig,16818,21,353178,1,1.312,abc portfolio flow
ex264,ex264_baseline,,baseline,baseline,/home/b10507053/ALS_Final_Project/baselines/abc_st/aigs/ex264.aig,88987,65,5784155,1,1.636,from baseline directory
ex264,ex264_abc_resyn,ex264_baseline,abc,abc_resyn,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_resyn/ex264_abc_resyn.aig,70676,28,1978928,1,3.447,abc portfolio flow
ex264,ex264_abc_resyn2,ex264_baseline,abc,abc_resyn2,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_resyn2/ex264_abc_resyn2.aig,70192,28,1965376,1,4.438,abc portfolio flow
ex264,ex264_abc_resyn2a,ex264_baseline,abc,abc_resyn2a,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_resyn2a/ex264_abc_resyn2a.aig,70953,28,1986684,1,3.830,abc portfolio flow
ex264,ex264_abc_resyn3,ex264_baseline,abc,abc_resyn3,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_resyn3/ex264_abc_resyn3.aig,73881,32,2364192,1,3.169,abc portfolio flow
ex264,ex264_abc_compress2,ex264_baseline,abc,abc_compress2,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_compress2/ex264_abc_compress2.aig,70199,28,1965572,1,4.075,abc portfolio flow
ex264,ex264_abc_resyn2rs,ex264_baseline,abc,abc_resyn2rs,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_resyn2rs/ex264_abc_resyn2rs.aig,67627,29,1961183,1,12.357,abc portfolio flow
ex264,ex264_abc_compress2rs,ex264_baseline,abc,abc_compress2rs,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_compress2rs/ex264_abc_compress2rs.aig,67652,28,1894256,1,11.927,abc portfolio flow
ex264,ex264_abc_dc2,ex264_baseline,abc,abc_dc2,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dc2/ex264_abc_dc2.aig,66612,25,1665300,1,4.105,abc portfolio flow
ex264,ex264_abc_dch,ex264_baseline,abc,abc_dch,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dch/ex264_abc_dch.aig,65586,24,1574064,1,15.756,abc portfolio flow
ex264,ex264_abc_dc2_dch,ex264_baseline,abc,abc_dc2_dch,student/work/pipeline/abc_all_full_20260602_1524/ex264/abc_dc2_dch/ex264_abc_dc2_dch.aig,64761,24,1554264,1,16.191,abc portfolio flow
