case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,notes
ex267,ex267_udiv_direct,low6_high6:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex267/verilog/ex267_udiv_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex267/aigs/ex267_udiv_direct.aig,1,1,1,159,40,6360,0.322,integer Verilog seed
ex268,ex268_udiv_direct,low7_high7:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex268/verilog/ex268_udiv_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex268/aigs/ex268_udiv_direct.aig,1,1,1,227,65,14755,0.393,integer Verilog seed
ex269,ex269_udiv_direct,low8_high8:a/b dbz=max,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex269/verilog/ex269_udiv_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex269/aigs/ex269_udiv_direct.aig,1,1,1,314,78,24492,0.497,integer Verilog seed
ex270,ex270_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex270/verilog/ex270_square_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex270/aigs/ex270_square_direct.aig,1,1,1,312,36,11232,0.254,integer Verilog seed
ex271,ex271_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex271/verilog/ex271_square_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex271/aigs/ex271_square_direct.aig,1,1,1,664,40,26560,0.339,integer Verilog seed
ex272,ex272_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex272/verilog/ex272_square_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex272/aigs/ex272_square_direct.aig,1,1,1,923,46,42458,0.436,integer Verilog seed
ex273,ex273_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex273/verilog/ex273_square_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex273/aigs/ex273_square_direct.aig,1,1,1,1308,61,79788,0.830,integer Verilog seed
ex274,ex274_square_direct,x*x,direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex274/verilog/ex274_square_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex274/aigs/ex274_square_direct.aig,1,1,1,1846,72,132912,3.581,integer Verilog seed
ex275,ex275_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex275/verilog/ex275_isqrt_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex275/aigs/ex275_isqrt_direct.aig,1,1,1,42,15,630,0.231,integer Verilog seed
ex276,ex276_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex276/verilog/ex276_isqrt_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex276/aigs/ex276_isqrt_direct.aig,1,1,1,102,28,2856,0.281,integer Verilog seed
ex277,ex277_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex277/verilog/ex277_isqrt_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex277/aigs/ex277_isqrt_direct.aig,1,1,1,225,55,12375,0.384,integer Verilog seed
ex278,ex278_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex278/verilog/ex278_isqrt_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex278/aigs/ex278_isqrt_direct.aig,1,1,1,511,86,43946,0.575,integer Verilog seed
ex279,ex279_isqrt_direct,isqrt(x),direct,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex279/verilog/ex279_isqrt_direct.v,/home/b10507053/ALS_Final_Project/student/work/reverse_integer/ex279/aigs/ex279_isqrt_direct.aig,1,1,1,731,125,91375,1.071,integer Verilog seed
