case,candidate_id,hypothesis,variant,verilog_path,aig_path,area,delay,adp,notes
ex265,ex265_udiv_case_denominator,low4_high4:a/b dbz=max,case_denominator,student/work/reverse_integer_variants/ex265/verilog/ex265_udiv_case_denominator.v,student/work/reverse_integer_variants/ex265/aigs/ex265_udiv_case_denominator.aig,80,8,640,integer Verilog seed
ex266,ex266_udiv_restoring,low5_high5:a/b dbz=max,restoring,student/work/reverse_integer_variants/ex266/verilog/ex266_udiv_restoring.v,student/work/reverse_integer_variants/ex266/aigs/ex266_udiv_restoring.aig,93,30,2790,integer Verilog seed
ex267,ex267_udiv_direct,low6_high6:a/b dbz=max,direct,student/work/reverse_integer_variants/ex267/verilog/ex267_udiv_direct.v,student/work/reverse_integer_variants/ex267/aigs/ex267_udiv_direct.aig,159,40,6360,integer Verilog seed
ex268,ex268_udiv_restoring,low7_high7:a/b dbz=max,restoring,student/work/reverse_integer_variants/ex268/verilog/ex268_udiv_restoring.v,student/work/reverse_integer_variants/ex268/aigs/ex268_udiv_restoring.aig,227,61,13847,integer Verilog seed
ex269,ex269_udiv_direct,low8_high8:a/b dbz=max,direct,student/work/reverse_integer_variants/ex269/verilog/ex269_udiv_direct.v,student/work/reverse_integer_variants/ex269/aigs/ex269_udiv_direct.aig,314,78,24492,integer Verilog seed
ex270,ex270_square_direct,x*x,direct,student/work/reverse_integer_variants/ex270/verilog/ex270_square_direct.v,student/work/reverse_integer_variants/ex270/aigs/ex270_square_direct.aig,312,36,11232,integer Verilog seed
ex271,ex271_square_direct,x*x,direct,student/work/reverse_integer_variants/ex271/verilog/ex271_square_direct.v,student/work/reverse_integer_variants/ex271/aigs/ex271_square_direct.aig,664,40,26560,integer Verilog seed
ex272,ex272_square_direct,x*x,direct,student/work/reverse_integer_variants/ex272/verilog/ex272_square_direct.v,student/work/reverse_integer_variants/ex272/aigs/ex272_square_direct.aig,923,46,42458,integer Verilog seed
ex273,ex273_square_direct,x*x,direct,student/work/reverse_integer_variants/ex273/verilog/ex273_square_direct.v,student/work/reverse_integer_variants/ex273/aigs/ex273_square_direct.aig,1308,61,79788,integer Verilog seed
ex274,ex274_square_direct,x*x,direct,student/work/reverse_integer_variants/ex274/verilog/ex274_square_direct.v,student/work/reverse_integer_variants/ex274/aigs/ex274_square_direct.aig,1846,72,132912,integer Verilog seed
ex275,ex275_isqrt_threshold_chain,isqrt(x),threshold_chain,student/work/reverse_integer_variants/ex275/verilog/ex275_isqrt_threshold_chain.v,student/work/reverse_integer_variants/ex275/aigs/ex275_isqrt_threshold_chain.aig,50,11,550,integer Verilog seed
ex276,ex276_isqrt_direct,isqrt(x),direct,student/work/reverse_integer_variants/ex276/verilog/ex276_isqrt_direct.v,student/work/reverse_integer_variants/ex276/aigs/ex276_isqrt_direct.aig,102,28,2856,integer Verilog seed
ex277,ex277_isqrt_direct,isqrt(x),direct,student/work/reverse_integer_variants/ex277/verilog/ex277_isqrt_direct.v,student/work/reverse_integer_variants/ex277/aigs/ex277_isqrt_direct.aig,225,55,12375,integer Verilog seed
ex278,ex278_isqrt_direct,isqrt(x),direct,student/work/reverse_integer_variants/ex278/verilog/ex278_isqrt_direct.v,student/work/reverse_integer_variants/ex278/aigs/ex278_isqrt_direct.aig,511,86,43946,integer Verilog seed
ex279,ex279_isqrt_direct,isqrt(x),direct,student/work/reverse_integer_variants/ex279/verilog/ex279_isqrt_direct.v,student/work/reverse_integer_variants/ex279/aigs/ex279_isqrt_direct.aig,731,125,91375,integer Verilog seed
