case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_wallace_square_factored_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_wallace_square_factored_csel6_abc_g_aig.aig,1,1,1,666,58,38628,15078,2.561878,0,0,0.734,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=wallace_square_factored_csel6; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop2_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop2_trunc_factored_synth_preset_d20.aig,1,1,1,675,56,37800,15078,2.506964,0,0,0.898,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop2_trunc_factored; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop3_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_factored_abc_g_aig.aig,1,1,1,704,50,35200,15078,2.334527,0,0,0.738,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_factored; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,700,54,37800,15078,2.506964,0,0,0.766,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_factored; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop3_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_factored_synth_preset.aig,1,1,1,700,52,36400,15078,2.414113,0,0,0.920,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_factored; flow=synth_preset
ex273,ex273_square_hybrid_bddtop3_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop3_trunc_factored_synth_preset_d20.aig,1,1,1,700,52,36400,15078,2.414113,0,0,0.922,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop3_trunc_factored; flow=synth_preset_d20
ex273,ex273_square_hybrid_bddtop4_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_factored_abc_g_aig.aig,1,1,1,737,52,38324,15078,2.541716,0,0,0.751,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_factored; flow=abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,740,51,37740,15078,2.502984,0,0,0.781,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_factored; flow=wreduce_abc_g_aig
ex273,ex273_square_hybrid_bddtop4_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_factored_synth_preset.aig,1,1,1,739,49,36211,15078,2.401578,0,0,0.952,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_factored; flow=synth_preset
ex273,ex273_square_hybrid_bddtop4_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/verilog/ex273_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex273/aigs/ex273_square_hybrid_bddtop4_trunc_factored_synth_preset_d20.aig,1,1,1,739,49,36211,15078,2.401578,0,0,0.943,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=hybrid_bddtop4_trunc_factored; flow=synth_preset_d20
ex274,ex274_square_wallace_square_factored_csel6_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel6_abc_g_aig.aig,1,1,1,900,66,59400,21630,2.746186,0,0,3.425,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel6; flow=abc_g_aig
ex274,ex274_square_wallace_square_factored_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel6_wreduce_abc_g_aig.aig,1,1,1,899,66,59334,21630,2.743135,0,0,3.494,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_factored_csel6_synth_preset,unsigned_square_x_times_x,wallace_square_factored_csel6+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel6_synth_preset.aig,1,1,1,894,67,59898,21630,2.769209,0,0,3.617,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel6; flow=synth_preset
ex274,ex274_square_wallace_square_factored_csel6_synth_preset_d20,unsigned_square_x_times_x,wallace_square_factored_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel6.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel6_synth_preset_d20.aig,1,1,1,894,67,59898,21630,2.769209,0,0,3.725,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel6; flow=synth_preset_d20
ex274,ex274_square_wallace_square_factored_csel8_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel8_abc_g_aig.aig,1,1,1,882,71,62622,21630,2.895146,0,0,3.408,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel8; flow=abc_g_aig
ex274,ex274_square_wallace_square_factored_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,wallace_square_factored_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel8_wreduce_abc_g_aig.aig,1,1,1,882,71,62622,21630,2.895146,0,0,3.537,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel8; flow=wreduce_abc_g_aig
ex274,ex274_square_wallace_square_factored_csel8_synth_preset,unsigned_square_x_times_x,wallace_square_factored_csel8+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel8_synth_preset.aig,1,1,1,883,71,62693,21630,2.898428,0,0,4.801,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel8; flow=synth_preset
ex274,ex274_square_wallace_square_factored_csel8_synth_preset_d20,unsigned_square_x_times_x,wallace_square_factored_csel8+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_wallace_square_factored_csel8.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_wallace_square_factored_csel8_synth_preset_d20.aig,1,1,1,883,71,62693,21630,2.898428,0,0,4.088,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=wallace_square_factored_csel8; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop2_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_factored_abc_g_aig.aig,1,1,1,910,64,58240,21630,2.692557,0,0,3.471,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_factored; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,913,61,55693,21630,2.574804,0,0,3.423,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_factored; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop2_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_factored_synth_preset.aig,1,1,1,908,65,59020,21630,2.728618,0,0,3.663,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_factored; flow=synth_preset
ex274,ex274_square_hybrid_bddtop2_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop2_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_factored_synth_preset_d20.aig,1,1,1,908,65,59020,21630,2.728618,0,0,3.668,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc_factored; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop3_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_factored_abc_g_aig.aig,1,1,1,937,63,59031,21630,2.729126,0,0,3.384,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_factored; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,935,63,58905,21630,2.723301,0,0,3.502,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_factored; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop3_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_factored_synth_preset.aig,1,1,1,929,64,59456,21630,2.748775,0,0,3.700,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_factored; flow=synth_preset
ex274,ex274_square_hybrid_bddtop3_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop3_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop3_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop3_trunc_factored_synth_preset_d20.aig,1,1,1,929,64,59456,21630,2.748775,0,0,3.668,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop3_trunc_factored; flow=synth_preset_d20
ex274,ex274_square_hybrid_bddtop4_trunc_factored_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_trunc_factored_abc_g_aig.aig,1,1,1,975,62,60450,21630,2.794730,0,0,3.434,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_trunc_factored; flow=abc_g_aig
ex274,ex274_square_hybrid_bddtop4_trunc_factored_wreduce_abc_g_aig,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_trunc_factored_wreduce_abc_g_aig.aig,1,1,1,976,61,59536,21630,2.752473,0,0,3.432,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_trunc_factored; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bddtop4_trunc_factored_synth_preset,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+synth_preset,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_trunc_factored_synth_preset.aig,1,1,1,970,63,61110,21630,2.825243,0,0,3.714,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_trunc_factored; flow=synth_preset
ex274,ex274_square_hybrid_bddtop4_trunc_factored_synth_preset_d20,unsigned_square_x_times_x,hybrid_bddtop4_trunc_factored+synth_preset_d20,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop4_trunc_factored.v,student/work/ex273_ex274_frontend_square_factored_fa_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop4_trunc_factored_synth_preset_d20.aig,1,1,1,970,63,61110,21630,2.825243,0,0,3.687,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop4_trunc_factored; flow=synth_preset_d20
