case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex263,ex263_smul_signcase_core_wallace_wreduce_abc_g_aig,signed low7_high7:a*b,signcase_core_wallace+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_wallace.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_wreduce_abc_g_aig.aig,1,1,1,410,40,16400,6840,2.397661,0,0,0.590,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=wreduce_abc_g_aig
ex263,ex263_smul_signcase_core_wallace_synth_preset_d11,signed low7_high7:a*b,signcase_core_wallace+synth_preset_d11,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_wallace.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_synth_preset_d11.aig,1,1,1,422,42,17724,6840,2.591228,0,0,0.711,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=synth_preset_d11
ex263,ex263_smul_signcase_core_wallace_synth_preset_d13,signed low7_high7:a*b,signcase_core_wallace+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_signcase_core_wallace.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_signcase_core_wallace_synth_preset_d13.aig,1,1,1,422,42,17724,6840,2.591228,0,0,0.714,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=signcase_core_wallace; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.514,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,354,28,9912,6840,1.449123,1,0,0.526,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.661,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,356,28,9968,6840,1.457310,1,0,0.662,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.544,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,362,25,9050,6840,1.323099,1,0,0.544,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,362,24,8688,6840,1.270175,1,0,0.661,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex263,ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low7_high7:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/verilog/ex263_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_signcase_core_20260609_0714/ex263/aigs/ex263_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,362,24,8688,6840,1.270175,1,0,0.654,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
