case,degree,weight,input_width,output_width,layer_rows,feature_count,feature_rank,exact_bit_count,exact_bits,layer_all_bits_exact,notes
ex286,2,9,13,13,715,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,10,13,13,286,92,78,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,11,13,13,78,92,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,12,13,13,13,92,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,2,13,13,13,1,92,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex286,3,0,13,13,1,378,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,1,13,13,13,378,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,2,13,13,78,378,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,3,13,13,286,378,286,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,4,13,13,715,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,5,13,13,1287,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,6,13,13,1716,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,7,13,13,1716,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,8,13,13,1287,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,9,13,13,715,378,286,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,10,13,13,286,378,286,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,11,13,13,78,378,78,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,12,13,13,13,378,13,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex286,3,13,13,13,1,378,1,13,0:1:2:3:4:5:6:7:8:9:10:11:12,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,1,0,14,14,1,15,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,1,14,14,14,15,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,2,14,14,91,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,3,14,14,364,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,4,14,14,1001,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,5,14,14,2002,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,6,14,14,3003,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,7,14,14,3432,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,8,14,14,3003,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,9,14,14,2002,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,10,14,14,1001,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,11,14,14,364,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,12,14,14,91,15,14,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,13,14,14,14,15,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,1,14,14,14,1,15,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex287,2,0,14,14,1,106,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,1,14,14,14,106,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,2,14,14,91,106,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,3,14,14,364,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,4,14,14,1001,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,5,14,14,2002,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,6,14,14,3003,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,7,14,14,3432,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,8,14,14,3003,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,9,14,14,2002,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,10,14,14,1001,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,11,14,14,364,106,91,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,12,14,14,91,106,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,13,14,14,14,106,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,2,14,14,14,1,106,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex287,3,0,14,14,1,470,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,1,14,14,14,470,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,2,14,14,91,470,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,3,14,14,364,470,364,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,4,14,14,1001,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,5,14,14,2002,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,6,14,14,3003,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,7,14,14,3432,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,8,14,14,3003,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,9,14,14,2002,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,10,14,14,1001,470,364,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,11,14,14,364,470,364,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,12,14,14,91,470,91,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,13,14,14,14,470,14,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex287,3,14,14,14,1,470,1,14,0:1:2:3:4:5:6:7:8:9:10:11:12:13,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,1,0,15,15,1,16,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,1,15,15,15,16,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,2,15,15,105,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,3,15,15,455,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,4,15,15,1365,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,5,15,15,3003,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,6,15,15,5005,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,7,15,15,6435,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,8,15,15,6435,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,9,15,15,5005,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,10,15,15,3003,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,11,15,15,1365,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,12,15,15,455,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,13,15,15,105,16,15,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,14,15,15,15,16,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,1,15,15,15,1,16,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex288,2,0,15,15,1,121,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,1,15,15,15,121,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,2,15,15,105,121,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,3,15,15,455,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,4,15,15,1365,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,5,15,15,3003,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,6,15,15,5005,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,7,15,15,6435,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,8,15,15,6435,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,9,15,15,5005,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,10,15,15,3003,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,11,15,15,1365,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,12,15,15,455,121,105,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,13,15,15,105,121,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,14,15,15,15,121,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,2,15,15,15,1,121,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex288,3,0,15,15,1,576,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,1,15,15,15,576,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,2,15,15,105,576,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,3,15,15,455,576,455,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,4,15,15,1365,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,5,15,15,3003,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,6,15,15,5005,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,7,15,15,6435,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,8,15,15,6435,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,9,15,15,5005,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,10,15,15,3003,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,11,15,15,1365,576,455,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,12,15,15,455,576,455,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,13,15,15,105,576,105,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,14,15,15,15,576,15,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex288,3,15,15,15,1,576,1,15,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,1,0,16,16,1,17,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,1,16,16,16,17,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,2,16,16,120,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,3,16,16,560,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,4,16,16,1820,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,5,16,16,4368,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,6,16,16,8008,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,7,16,16,11440,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,8,16,16,12870,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,9,16,16,11440,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,10,16,16,8008,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,11,16,16,4368,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,12,16,16,1820,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,13,16,16,560,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,14,16,16,120,17,16,0,,0,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,15,16,16,16,17,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,1,16,16,16,1,17,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=1 restricted to popcount layer
ex289,2,0,16,16,1,137,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,1,16,16,16,137,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,2,16,16,120,137,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,3,16,16,560,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,4,16,16,1820,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,5,16,16,4368,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,6,16,16,8008,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,7,16,16,11440,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,8,16,16,12870,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,9,16,16,11440,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,10,16,16,8008,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,11,16,16,4368,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,12,16,16,1820,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,13,16,16,560,137,120,0,,0,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,14,16,16,120,137,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,15,16,16,16,137,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,2,16,16,16,1,137,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=2 restricted to popcount layer
ex289,3,0,16,16,1,697,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,1,16,16,16,697,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,2,16,16,120,697,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,3,16,16,560,697,560,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,4,16,16,1820,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,5,16,16,4368,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,6,16,16,8008,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,7,16,16,11440,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,8,16,16,12870,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,9,16,16,11440,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,10,16,16,8008,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,11,16,16,4368,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,12,16,16,1820,697,560,0,,0,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,13,16,16,560,697,560,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,14,16,16,120,697,120,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,15,16,16,16,697,16,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
ex289,3,16,16,16,1,697,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,1,output bits in span of monomials degree<=3 restricted to popcount layer
