case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla3_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.230,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla5_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla5_mod_synth_preset_d13.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.292,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla5_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.226,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.267,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_mod_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.286,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.224,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.273,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla2_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla2_mod_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla2_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_abc_g_aig.aig,1,1,1,88,15,1320,657,2.009132,0,0,0.220,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_wreduce_abc_g_aig.aig,1,1,1,87,16,1392,657,2.118721,0,0,0.211,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_mod_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.271,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_rhcla2_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.241,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2_mod; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_rhcla2_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_wreduce_abc_g_aig.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2_mod; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_rhcla2_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_synth_preset_d11.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.276,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2_mod; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_rhcla2_mod+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_rhcla2_mod_synth_preset_d13.aig,1,1,1,88,14,1232,657,1.875190,0,0,0.284,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_rhcla2_mod; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_wreduce_abc_g_aig.aig,1,1,1,88,13,1144,657,1.741248,0,0,0.215,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d11.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.285,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_synth_preset_d13.aig,1,1,1,88,16,1408,657,2.143075,0,0,0.275,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.206,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_wreduce_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.207,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d11.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.303,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d11
ex260,ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_outside_hcla1+synth_preset_d13,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/verilog/ex260_smul_baugh_wooley_wallace_outside_hcla1.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex260/aigs/ex260_smul_baugh_wooley_wallace_outside_hcla1_synth_preset_d13.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_outside_hcla1; flow=synth_preset_d13
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla3_mod+abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_abc_g_aig.aig,1,1,1,358,28,10024,6840,1.465497,1,0,0.515,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla3_mod+wreduce_abc_g_aig,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_wreduce_abc_g_aig.aig,1,1,1,355,27,9585,6840,1.401316,1,0,0.526,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=wreduce_abc_g_aig
ex263,ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11,signed low7_high7:a*b,baugh_wooley_wallace_rev_hcla3_mod+synth_preset_d11,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/verilog/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod.v,student/work/ex260_ex263_frontend_smul_modcarry_20260609_0703/ex263/aigs/ex263_smul_baugh_wooley_wallace_rev_hcla3_mod_synth_preset_d11.aig,1,1,1,356,27,9612,6840,1.405263,1,0,0.634,semantic_signed_mul_exact,exact signed low7 * signed high7 over 16384 inputs; source=baugh_wooley_wallace_rev_hcla3_mod; flow=synth_preset_d11
