case,candidate_id,hypothesis/function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,classification,tool_chain,selection_reason,source_kind,source_csv,source_verilog_path,source_aig_path,notes
ex255,ex255_umul_wallace_bits_abc_g_aig_d20,unsigned low4_high4:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/verilog/ex255_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,1,1,87,13,1131,836,1.352871,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/verilog/ex255_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low4 * high4 over 256 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex257,ex257_umul_csa_concat_cla_abc_g_aig,unsigned low6_high6:a*b,csa_concat_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/verilog/ex257_umul_csa_concat_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex257/aigs/ex257_umul_csa_concat_cla_abc_g_aig.aig,1,1,255,21,5355,3952,1.355010,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/results/candidates.csv,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex257/verilog/ex257_umul_csa_concat_cla.v,student/work/ex256_ex257_frontend_umul_csa_order_cla_20260609_0137/ex257/aigs/ex257_umul_csa_concat_cla_abc_g_aig.aig,exact unsigned low6 * high6 over 4096 inputs; focused source=csa_concat_cla; flow=abc_g_aig
ex258,ex258_umul_wallace_bits_abc_g_aig_d20,unsigned low7_high7:a*b,wallace_bits+abc_g_aig_d20,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/verilog/ex258_umul_wallace_bits_abc_g_aig_d20.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig_d20.aig,1,1,351,25,8775,6289,1.395293,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/results/candidates.csv,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex255_ex259_frontend_umul_wallace_bits_20260609_0034/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig_d20.aig,exact unsigned low7 * high7 over 16384 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex258,ex258_umul_wallace_bits_wreduce_abc_g_aig,unsigned low7_high7:a*b,wallace_bits+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/verilog/ex258_umul_wallace_bits_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/aigs/ex258_umul_wallace_bits_wreduce_abc_g_aig.aig,1,1,351,25,8775,6289,1.395293,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/results/candidates.csv,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/verilog/ex258_umul_wallace_bits.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex258/aigs/ex258_umul_wallace_bits_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=wallace_bits; flow=wreduce_abc_g_aig
ex258,ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig,unsigned low7_high7:a*b,csa_androws_cla_from3+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/verilog/ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/aigs/ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,1,1,372,24,8928,6289,1.419622,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex258/verilog/ex258_umul_csa_androws_cla_from3.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex258/aigs/ex258_umul_csa_androws_cla_from3_wreduce_abc_g_aig.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=csa_androws_cla_from3; flow=wreduce_abc_g_aig
ex258,ex258_umul_csa_androws_cla_from4_synth_preset_d13,unsigned low7_high7:a*b,csa_androws_cla_from4+synth_preset_d13,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/verilog/ex258_umul_csa_androws_cla_from4_synth_preset_d13.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex258/aigs/ex258_umul_csa_androws_cla_from4_synth_preset_d13.aig,1,1,360,25,9000,6289,1.431070,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex258/verilog/ex258_umul_csa_androws_cla_from4.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex258/aigs/ex258_umul_csa_androws_cla_from4_synth_preset_d13.aig,exact unsigned low7 * high7 over 16384 inputs; focused source=csa_androws_cla_from4; flow=synth_preset_d13
ex259,ex259_umul_wallace_bits_outside_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_outside_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/verilog/ex259_umul_wallace_bits_outside_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,1,1,480,28,13440,10000,1.344000,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/results/candidates.csv,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_outside_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_outside_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_outside_cla; flow=abc_g_aig
ex259,ex259_umul_wallace_bits_rev_cla_abc_g_aig,unsigned low8_high8:a*b,wallace_bits_rev_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/verilog/ex259_umul_wallace_bits_rev_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/aigs/ex259_umul_wallace_bits_rev_cla_abc_g_aig.aig,1,1,480,28,13440,10000,1.344000,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/results/candidates.csv,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/verilog/ex259_umul_wallace_bits_rev_cla.v,student/work/ex258_ex259_frontend_umul_wallace_order_cla_20260609_0140/ex259/aigs/ex259_umul_wallace_bits_rev_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=wallace_bits_rev_cla; flow=abc_g_aig
ex259,ex259_umul_csa_androws_cla_abc_g_aig,unsigned low8_high8:a*b,csa_androws_cla+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/verilog/ex259_umul_csa_androws_cla_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/aigs/ex259_umul_csa_androws_cla_abc_g_aig.aig,1,1,500,27,13500,10000,1.350000,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/verilog/ex259_umul_csa_androws_cla.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/aigs/ex259_umul_csa_androws_cla_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=csa_androws_cla; flow=abc_g_aig
ex259,ex259_umul_csa_androws_cla_wreduce_abc_g_aig,unsigned low8_high8:a*b,csa_androws_cla+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/verilog/ex259_umul_csa_androws_cla_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex259/aigs/ex259_umul_csa_androws_cla_wreduce_abc_g_aig.aig,1,1,500,27,13500,10000,1.350000,1,0,semantic_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex255_ex259_frontend_umul_cla_spread_20260609_0133/results/candidates.csv,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/verilog/ex259_umul_csa_androws_cla.v,student/work/ex255_ex259_frontend_umul_cla_spread_20260609_0133/ex259/aigs/ex259_umul_csa_androws_cla_wreduce_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; focused source=csa_androws_cla; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex263_frontend_smul_corr_order_20260609_0649/results/candidates.csv,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4.v,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_corrfirst_hcla4+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex263_frontend_smul_corr_order_20260609_0649/results/candidates.csv,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/verilog/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4.v,student/work/ex260_ex263_frontend_smul_corr_order_20260609_0649/ex260/aigs/ex260_smul_baugh_wooley_wallace_corrfirst_hcla4_wreduce_abc_g_aig.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_corrfirst_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d11,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/results/candidates.csv,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex263_frontend_smul_constfa_signbit_20260609_0638/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d11.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d11
ex260,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace_rev_hcla4+abc_g_aig_d13,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13.aig,1,1,88,13,1144,657,1.741248,0,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/results/candidates.csv,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/verilog/ex260_smul_baugh_wooley_wallace_rev_hcla4.v,student/work/ex260_ex264_frontend_smul_winner_flow_check_20260609_0606/ex260/aigs/ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig_d13.aig,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_rev_hcla4; flow=abc_g_aig_d13
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,1,1,164,18,2952,2041,1.446350,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/results/candidates.csv,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_evenodd_hcla4+wreduce_abc_g_aig,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.v,student/seeds/integer/ex255_ex279_backend_candidates_20260609_1809/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.aig,1,1,164,18,2952,2041,1.446350,1,0,semantic_signed_mul_exact,,verified_low_adp_nonbest_alternative,run,student/runs/integer/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/results/candidates.csv,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/verilog/ex261_smul_baugh_wooley_wallace_evenodd_hcla4.v,student/work/ex260_ex264_frontend_smul_order_center_fix_20260609_0601/ex261/aigs/ex261_smul_baugh_wooley_wallace_evenodd_hcla4_wreduce_abc_g_aig.aig,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_evenodd_hcla4; flow=wreduce_abc_g_aig
