case,domain,round2_candidates,round2_best_candidate,round2_best_adp,frontend_best_adp_after_round2,reference_adp,ratio_to_reference,beats_reference,round2_improved_frontend,next_recommendation
ex277,integer,1,ex277_ex277_cof4_shared_cube_abc_g_aig,3480,2844,1980,1.333333,0,0,rethink high-level description and shared-structure RTL
ex280,unknown,1,ex280_gf2_overlap_roots_small_roots_balanced_abc_g_aig,3915,3915,2415,1.141201,0,1,rethink high-level description and shared-structure RTL
ex281,unknown,1,ex281_gf2_overlap_roots_small_roots_balanced_abc_g_aig,4814,4814,2336,1.324486,0,1,rethink high-level description and shared-structure RTL
ex282,unknown,1,ex282_gf2_overlap_roots_small_roots_balanced_abc_g_aig,5115,5115,2704,1.366864,0,1,rethink high-level description and shared-structure RTL
ex283,unknown,1,ex283_gf2_overlap_roots_small_roots_balanced_abc_g_aig,4830,4830,3168,1.383838,0,1,rethink high-level description and shared-structure RTL
ex284,unknown,2,ex284_gf2_overlap_roots_wide_roots_balanced_abc_g_aig,6981,6981,4240,1.139151,0,1,rethink high-level description and shared-structure RTL
ex285,unknown,1,ex285_round2_outside_in_root_bdd_abc_g_aig,17629,13175,5499,1.660666,0,0,rethink high-level description and shared-structure RTL
ex286,unknown,2,ex286_round2_outside_in_root_bdd_abc_g_aig,29720,21705,2376,7.801347,0,0,rethink high-level description and shared-structure RTL
ex287,unknown,2,ex287_round2_outside_in_root_bdd_abc_g_aig,38052,27480,5782,4.048426,0,0,rethink high-level description and shared-structure RTL
ex288,unknown,1,ex288_round2_outside_in_root_bdd_abc_g_aig,42126,31598,16394,1.599610,0,0,rethink high-level description and shared-structure RTL
ex289,unknown,2,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_gates_round2,19893,19893,13620,1.333627,0,0,rethink high-level description and shared-structure RTL
ex290,unknown,1,ex290_stride2_prefix_delta_shared_bdd_abc_g_aig,162120,61992,42328,1.195521,0,0,rethink high-level description and shared-structure RTL
ex291,unknown,1,ex291_stride2_prefix_delta_shared_bdd_abc_g_aig,342696,97545,66850,1.072865,0,0,rethink high-level description and shared-structure RTL
ex292,unknown,2,ex292_stride2_prefix_delta_shared_bdd_abc_g_aig,627325,142170,84854,1.203927,0,0,rethink high-level description and shared-structure RTL
ex293,unknown,1,ex293_stride2_prefix_delta_shared_bdd_abc_g_aig,1162485,144972,112966,0.897040,1,0,do not spend frontend time unless polishing
ex294,unknown,2,ex294_stride2_prefix_delta_shared_bdd_abc_g_aig,2282040,246698,133365,1.241480,0,0,rethink high-level description and shared-structure RTL
ex295,unknown,2,ex295_cell_prefix_bridge_shared_bdd_abc_g_aig,263926,138448,68064,1.846571,0,0,rethink high-level description and shared-structure RTL
ex296,unknown,1,ex296_stride2_prefix_delta_shared_bdd_abc_g_aig,357840,143792,104025,1.253785,0,0,rethink high-level description and shared-structure RTL
ex297,unknown,1,ex297_round2_outside_in_root_bdd_abc_g_aig,759253,583596,225900,2.434582,0,0,rethink high-level description and shared-structure RTL
ex298,unknown,1,ex298_stride2_prefix_delta_shared_bdd_abc_g_aig,1570901,645639,442296,1.254492,0,0,rethink high-level description and shared-structure RTL
ex299,unknown,2,ex299_round2_outside_in_root_bdd_abc_g_aig,3177564,2604734,1013807,2.280908,0,0,rethink high-level description and shared-structure RTL
