case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex240,OK,610,43,26230,610,43,26230,1,ex240_r64_signmag_selected_output_factor_synth_preset,student/new_seeds/float_fp8/ex240_ex254_current/ex240/aigs/ex240_r64_signmag_selected_output_factor_synth_preset.aig
ex241,OK,531,29,15399,531,29,15399,1,ex241_r71_caseattrs_outputsplit,student/new_seeds/float_fp8/ex240_ex254_current/ex241/aigs/ex241_r71_caseattrs_outputsplit.aig
ex242,OK,841,20,16820,841,20,16820,1,ex242_r8_axis_numzero_shell_abc_g_aig_frontend,student/new_seeds/float_fp8/ex240_ex254_current/ex242/aigs/ex242_r8_axis_numzero_shell_abc_g_aig_frontend.aig
ex243,OK,1790,27,48330,1790,27,48330,1,ex243_semantic_fmod_modsig_nested_delta_abc_g_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex243/aigs/ex243_semantic_fmod_modsig_nested_delta_abc_g_aig.aig
ex244,OK,311,32,9952,311,32,9952,1,ex244_r7_satbit_regroup_synth_preset_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex244/aigs/ex244_r7_satbit_regroup_synth_preset_aig.aig
ex245,OK,696,33,22968,696,33,22968,1,ex245_r11_r89_active_branch_muxclean,student/new_seeds/float_fp8/ex240_ex254_current/ex245/aigs/ex245_r11_r89_active_branch_muxclean.aig
ex246,OK,341,22,7502,341,22,7502,1,ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex246/aigs/ex246_semantic_mul_product_dc_seed12_set11to10_synth_preset_aig.aig
ex247,OK,249,26,6474,249,26,6474,1,ex247_r5_lowpred_truth_case_abc_g_aig_frontend,student/new_seeds/float_fp8/ex240_ex254_current/ex247/aigs/ex247_r5_lowpred_truth_case_abc_g_aig_frontend.aig
ex248,OK,290,27,7830,290,27,7830,1,ex248_r8_split_payload_shell_abc_g_aig_frontend,student/new_seeds/float_fp8/ex240_ex254_current/ex248/aigs/ex248_r8_split_payload_shell_abc_g_aig_frontend.aig
ex249,OK,168,26,4368,168,26,4368,1,ex249_semantic_hypot_threshold_rawexp_synth_preset_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex249/aigs/ex249_semantic_hypot_threshold_rawexp_synth_preset_aig.aig
ex250,OK,413,41,16933,413,41,16933,1,ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex250/aigs/ex250_semantic_fp4_dot2_magarith_qcase_synth_preset_aig.aig
ex251,OK,495,38,18810,495,38,18810,1,ex251_semantic_int3_dot2_arith_qcase_abc_g_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex251/aigs/ex251_semantic_int3_dot2_arith_qcase_abc_g_aig.aig
ex252,OK,145,21,3045,145,21,3045,1,ex252_semantic_u2_dot4_handmul_balanced_qcase_default,student/new_seeds/float_fp8/ex240_ex254_current/ex252/aigs/ex252_semantic_u2_dot4_handmul_balanced_qcase_default.aig
ex253,OK,126,18,2268,126,18,2268,1,ex253_semantic_u2_sum8_popcount_laneqcase_default,student/new_seeds/float_fp8/ex240_ex254_current/ex253/aigs/ex253_semantic_u2_sum8_popcount_laneqcase_default.aig
ex254,OK,662,55,36410,662,55,36410,1,ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig,student/new_seeds/float_fp8/ex240_ex254_current/ex254/aigs/ex254_semantic_e4add_fp4product_grs_magfactored_abc_g_aig.aig
ex255,OK,87,13,1131,87,13,1131,1,ex255_umul_wallace_bits_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex255/aigs/ex255_umul_wallace_bits_abc_g_aig.aig
ex256,OK,158,18,2844,158,18,2844,1,ex256_current_frontend_replay_post_dch,student/new_seeds/integer/ex255_ex279_current/ex256/aigs/ex256_current_frontend_replay_post_dch.aig
ex257,OK,263,20,5260,263,20,5260,1,ex257_umul_csa_androws_cla_from3_synth_preset_d13,student/new_seeds/integer/ex255_ex279_current/ex257/aigs/ex257_umul_csa_androws_cla_from3_synth_preset_d13.aig
ex258,OK,351,25,8775,351,25,8775,1,ex258_umul_wallace_bits_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex258/aigs/ex258_umul_wallace_bits_abc_g_aig.aig
