case,candidate_id,hypothesis,function_guess,variant,verilog_path,aig_path,verified_truth,equivalent,area,delay,adp,notes
ex201,ex201_bf16_exp2_hybrid_pair_table_bit23_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit23_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit23_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit23_mode.aig,1,1,1606,16,25696,base pair table with bit 23 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit24_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit24_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit24_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit24_mode.aig,1,1,1600,16,25600,base pair table with bit 24 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit25_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit25_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit25_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit25_mode.aig,1,1,1602,15,24030,base pair table with bit 25 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit26_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit26_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit26_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit26_mode.aig,1,1,1595,16,25520,base pair table with bit 26 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit27_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit27_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit27_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit27_mode.aig,1,1,1600,17,27200,base pair table with bit 27 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit28_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit28_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit28_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit28_mode.aig,1,1,1604,16,25664,base pair table with bit 28 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit29_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit29_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit29_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit29_mode.aig,1,1,1593,17,27081,base pair table with bit 29 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit30_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit30_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit30_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit30_mode.aig,1,1,1585,16,25360,base pair table with bit 30 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bit31_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bit31_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bit31_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bit31_mode.aig,1,1,1613,15,24195,base pair table with bit 31 replaced by bit-mode table
ex201,ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode,bf16_exp2,DAZ + 2^x + BF16 RNE + FTZ + canonical NaN,hybrid_pair_table_bits_9_15_mode,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/verilog/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode.v,student/work/ex201_ex204_frontend_semantic_deep_20260605_1525/ex201/aigs/ex201_bf16_exp2_hybrid_pair_table_bits_9_15_mode.aig,1,1,1595,15,23925,base pair table with bits 9_15 replaced by bit-mode tables
