case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,reverse_bits,prefix_reverse,4,1,13,19609,3027,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_natural,3,1,13,19609,1223,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_reverse,3,1,13,19609,1223,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_natural,3,1,13,19609,1223,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_reverse,3,1,13,19609,1223,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_natural,2,1,13,19609,347,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_reverse,2,1,13,19609,347,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_natural,2,1,13,19609,347,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_reverse,2,1,13,19609,347,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,suffix_natural,1,1,13,19609,95,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,raw,prefix_reverse,1,1,13,19609,95,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,suffix_natural,1,1,13,19609,95,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,reverse_bits,prefix_reverse,1,1,13,19609,95,13,13:1660:1715:1906:1725:1324:1399:1388:1371:1682:1881:1934:1611,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_onehot,4,1,13,35433,5983,13,3695:3423:3411:3631:3381:616:3302:3443:2067:2453:3612:7:2392,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_onehot,3,1,13,35433,2135,13,3695:3423:3411:3631:3381:616:3302:3443:2067:2453:3612:7:2392,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_onehot,2,1,13,35433,522,13,3695:3423:3411:3631:3381:616:3302:3443:2067:2453:3612:7:2392,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_onehot,1,1,13,35433,70,13,3695:3423:3411:3631:3381:616:3302:3443:2067:2453:3612:7:2392,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
