case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_csa_androws_default,unsigned low4_high4:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_androws_default.aig,1,1,1,112,14,1568,836,1.875598,0,0,0.189,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_androws; flow=default
ex255,ex255_umul_csa_concat_center_abc_g_aig,unsigned low4_high4:a*b,csa_concat_center+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_center_abc_g_aig.aig,1,1,1,86,14,1204,836,1.440191,1,0,0.190,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=abc_g_aig
ex255,ex255_umul_csa_concat_center_synth_preset,unsigned low4_high4:a*b,csa_concat_center+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/verilog/ex255_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex255/aigs/ex255_umul_csa_concat_center_synth_preset.aig,1,1,1,85,16,1360,836,1.626794,0,0,0.249,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=csa_concat_center; flow=synth_preset
ex256,ex256_umul_csa_androws_default,unsigned low5_high5:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_androws_default.aig,1,1,1,194,21,4074,1911,2.131868,0,0,0.218,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=default
ex256,ex256_umul_csa_androws_abc_g_aig,unsigned low5_high5:a*b,csa_androws+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_androws_abc_g_aig.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.207,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig
ex256,ex256_umul_csa_androws_synth_preset,unsigned low5_high5:a*b,csa_androws+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_androws_synth_preset.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.280,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset
ex256,ex256_umul_csa_concat_default,unsigned low5_high5:a*b,csa_concat+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_default.aig,1,1,1,188,21,3948,1911,2.065934,0,0,0.209,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat; flow=default
ex256,ex256_umul_csa_concat_abc_g_aig,unsigned low5_high5:a*b,csa_concat+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_abc_g_aig.aig,1,1,1,151,21,3171,1911,1.659341,0,0,0.204,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat; flow=abc_g_aig
ex256,ex256_umul_csa_concat_synth_preset,unsigned low5_high5:a*b,csa_concat+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_synth_preset.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.275,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat; flow=synth_preset
ex256,ex256_umul_csa_concat_rev_default,unsigned low5_high5:a*b,csa_concat_rev+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_default.aig,1,1,1,197,24,4728,1911,2.474097,0,0,0.230,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=default
ex256,ex256_umul_csa_concat_rev_abc_g_aig,unsigned low5_high5:a*b,csa_concat_rev+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_abc_g_aig.aig,1,1,1,165,24,3960,1911,2.072214,0,0,0.217,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=abc_g_aig
ex256,ex256_umul_csa_concat_rev_synth_preset,unsigned low5_high5:a*b,csa_concat_rev+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_rev_synth_preset.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.258,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_rev; flow=synth_preset
ex256,ex256_umul_csa_concat_evenodd_default,unsigned low5_high5:a*b,csa_concat_evenodd+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_default.aig,1,1,1,205,21,4305,1911,2.252747,0,0,0.212,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=default
ex256,ex256_umul_csa_concat_evenodd_abc_g_aig,unsigned low5_high5:a*b,csa_concat_evenodd+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_abc_g_aig.aig,1,1,1,162,21,3402,1911,1.780220,0,0,0.214,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex256,ex256_umul_csa_concat_evenodd_synth_preset,unsigned low5_high5:a*b,csa_concat_evenodd+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_evenodd_synth_preset.aig,1,1,1,162,21,3402,1911,1.780220,0,0,0.280,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_evenodd; flow=synth_preset
ex256,ex256_umul_csa_concat_outside_default,unsigned low5_high5:a*b,csa_concat_outside+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_default.aig,1,1,1,193,20,3860,1911,2.019885,0,0,0.218,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=default
ex256,ex256_umul_csa_concat_outside_abc_g_aig,unsigned low5_high5:a*b,csa_concat_outside+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_abc_g_aig.aig,1,1,1,166,20,3320,1911,1.737310,0,0,0.218,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=abc_g_aig
ex256,ex256_umul_csa_concat_outside_synth_preset,unsigned low5_high5:a*b,csa_concat_outside+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_outside_synth_preset.aig,1,1,1,161,22,3542,1911,1.853480,0,0,0.280,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_outside; flow=synth_preset
ex256,ex256_umul_csa_concat_center_default,unsigned low5_high5:a*b,csa_concat_center+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_default.aig,1,1,1,199,22,4378,1911,2.290947,0,0,0.211,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=default
ex256,ex256_umul_csa_concat_center_abc_g_aig,unsigned low5_high5:a*b,csa_concat_center+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_abc_g_aig.aig,1,1,1,161,22,3542,1911,1.853480,0,0,0.210,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=abc_g_aig
ex256,ex256_umul_csa_concat_center_synth_preset,unsigned low5_high5:a*b,csa_concat_center+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/verilog/ex256_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex256/aigs/ex256_umul_csa_concat_center_synth_preset.aig,1,1,1,161,22,3542,1911,1.853480,0,0,0.258,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_concat_center; flow=synth_preset
ex257,ex257_umul_csa_androws_default,unsigned low6_high6:a*b,csa_androws+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_default.aig,1,1,1,313,25,7825,3952,1.980010,0,0,0.255,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=default
ex257,ex257_umul_csa_androws_abc_g_aig,unsigned low6_high6:a*b,csa_androws+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_abc_g_aig.aig,1,1,1,241,25,6025,3952,1.524545,0,0,0.252,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=abc_g_aig
ex257,ex257_umul_csa_androws_synth_preset,unsigned low6_high6:a*b,csa_androws+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_androws.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_androws_synth_preset.aig,1,1,1,238,24,5712,3952,1.445344,1,0,0.302,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_androws; flow=synth_preset
ex257,ex257_umul_csa_concat_default,unsigned low6_high6:a*b,csa_concat+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_default.aig,1,1,1,305,25,7625,3952,1.929403,0,0,0.280,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=default
ex257,ex257_umul_csa_concat_abc_g_aig,unsigned low6_high6:a*b,csa_concat+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_abc_g_aig.aig,1,1,1,241,25,6025,3952,1.524545,0,0,0.251,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=abc_g_aig
ex257,ex257_umul_csa_concat_synth_preset,unsigned low6_high6:a*b,csa_concat+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_synth_preset.aig,1,1,1,238,24,5712,3952,1.445344,1,0,0.302,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat; flow=synth_preset
ex257,ex257_umul_csa_concat_rev_default,unsigned low6_high6:a*b,csa_concat_rev+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_default.aig,1,1,1,313,26,8138,3952,2.059211,0,0,0.265,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=default
ex257,ex257_umul_csa_concat_rev_abc_g_aig,unsigned low6_high6:a*b,csa_concat_rev+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_abc_g_aig.aig,1,1,1,250,26,6500,3952,1.644737,0,0,0.263,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=abc_g_aig
ex257,ex257_umul_csa_concat_rev_synth_preset,unsigned low6_high6:a*b,csa_concat_rev+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_rev.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_rev_synth_preset.aig,1,1,1,247,25,6175,3952,1.562500,0,0,0.312,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_rev; flow=synth_preset
ex257,ex257_umul_csa_concat_evenodd_default,unsigned low6_high6:a*b,csa_concat_evenodd+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_default.aig,1,1,1,316,26,8216,3952,2.078947,0,0,0.260,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=default
ex257,ex257_umul_csa_concat_evenodd_abc_g_aig,unsigned low6_high6:a*b,csa_concat_evenodd+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_abc_g_aig.aig,1,1,1,255,26,6630,3952,1.677632,0,0,0.257,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex257,ex257_umul_csa_concat_evenodd_synth_preset,unsigned low6_high6:a*b,csa_concat_evenodd+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_evenodd.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_evenodd_synth_preset.aig,1,1,1,256,26,6656,3952,1.684211,0,0,0.317,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_evenodd; flow=synth_preset
ex257,ex257_umul_csa_concat_outside_default,unsigned low6_high6:a*b,csa_concat_outside+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_default.aig,1,1,1,314,26,8164,3952,2.065789,0,0,0.256,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=default
ex257,ex257_umul_csa_concat_outside_abc_g_aig,unsigned low6_high6:a*b,csa_concat_outside+abc_g_aig,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_abc_g_aig.aig,1,1,1,245,26,6370,3952,1.611842,0,0,0.254,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=abc_g_aig
ex257,ex257_umul_csa_concat_outside_synth_preset,unsigned low6_high6:a*b,csa_concat_outside+synth_preset,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_outside.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_outside_synth_preset.aig,1,1,1,246,25,6150,3952,1.556174,0,0,0.331,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_outside; flow=synth_preset
ex257,ex257_umul_csa_concat_center_default,unsigned low6_high6:a*b,csa_concat_center+default,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/verilog/ex257_umul_csa_concat_center.v,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex257/aigs/ex257_umul_csa_concat_center_default.aig,1,1,1,301,24,7224,3952,1.827935,0,0,0.256,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=csa_concat_center; flow=default
