case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex259,ex259_umul_csa_androws_abc_g_aig,1,475,34,16150,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=abc_g_aig
ex259,ex259_umul_csa_androws_synth_preset,1,469,32,15008,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_androws_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_androws; flow=synth_preset
ex259,ex259_umul_csa_concat_default,1,626,32,20032,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=default
ex259,ex259_umul_csa_concat_abc_g_aig,1,469,32,15008,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=abc_g_aig
ex259,ex259_umul_csa_concat_synth_preset,1,469,32,15008,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat; flow=synth_preset
ex259,ex259_umul_csa_concat_rev_default,1,627,34,21318,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=default
ex259,ex259_umul_csa_concat_rev_abc_g_aig,1,481,34,16354,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=abc_g_aig
ex259,ex259_umul_csa_concat_rev_synth_preset,1,472,34,16048,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_rev_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_rev; flow=synth_preset
ex259,ex259_umul_csa_concat_evenodd_default,1,612,34,20808,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=default
ex259,ex259_umul_csa_concat_evenodd_abc_g_aig,1,497,34,16898,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=abc_g_aig
ex259,ex259_umul_csa_concat_evenodd_synth_preset,1,497,36,17892,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_evenodd_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_evenodd; flow=synth_preset
ex259,ex259_umul_csa_concat_outside_default,1,619,33,20427,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=default
ex259,ex259_umul_csa_concat_outside_abc_g_aig,1,483,33,15939,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=abc_g_aig
ex259,ex259_umul_csa_concat_outside_synth_preset,1,481,34,16354,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_outside_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_outside; flow=synth_preset
ex259,ex259_umul_csa_concat_center_default,1,634,37,23458,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_default.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=default
ex259,ex259_umul_csa_concat_center_abc_g_aig,1,493,37,18241,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_abc_g_aig.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=abc_g_aig
ex259,ex259_umul_csa_concat_center_synth_preset,1,481,34,16354,student/work/ex255_ex259_frontend_umul_csa_rowstyles_20260609_0025/ex259/aigs/ex259_umul_csa_concat_center_synth_preset.aig,exact unsigned low8 * high8 over 65536 inputs; source=csa_concat_center; flow=synth_preset
