case,feature_set,degree,lane,feature_count,monomial_count,exact,solution_terms,solution,notes
ex289,raw_pair_signals,1,1,20,21,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,1,2,20,21,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,1,3,20,21,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,2,0,20,211,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,2,1,20,211,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,2,2,20,211,0,,,lane parity in feature monomial span
ex289,raw_pair_signals,2,3,20,211,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,1,0,14,15,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,1,1,14,15,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,1,2,14,15,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,1,3,14,15,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,2,0,14,106,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,2,1,14,106,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,2,2,14,106,0,,,lane parity in feature monomial span
ex289,bucket_count_bits,2,3,14,106,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,1,0,18,19,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,1,1,18,19,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,1,2,18,19,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,1,3,18,19,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,2,0,18,172,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,2,1,18,172,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,2,2,18,172,0,,,lane parity in feature monomial span
ex289,bucket_count_bits_selectors,2,3,18,172,0,,,lane parity in feature monomial span
