case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_anfhi1_p4ge_abc_g_aig,unsigned_floor_isqrt,anfhi1_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi1_p4ge_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi1_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_anfhi2_p4ge_synth_preset_d6,unsigned_floor_isqrt,anfhi2_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_synth_preset_d6.aig,1,1,1,108,11,1188,632,1.879747,0,0,0.354,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_anfhi2_p4ge_synth_preset_d8,unsigned_floor_isqrt,anfhi2_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_synth_preset_d8.aig,1,1,1,108,11,1188,632,1.879747,0,0,0.353,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_anfhi2_p4ge_synth_preset_d10,unsigned_floor_isqrt,anfhi2_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi2_p4ge_synth_preset_d10.aig,1,1,1,108,11,1188,632,1.879747,0,0,0.363,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi2_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_anfhi3_p4ge_abc_g_aig,unsigned_floor_isqrt,anfhi3_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_abc_g_aig.aig,1,1,1,150,11,1650,632,2.610759,0,0,0.288,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_anfhi3_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,anfhi3_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_wreduce_abc_g_aig.aig,1,1,1,124,11,1364,632,2.158228,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_anfhi3_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,anfhi3_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_arith_wreduce_aig.aig,1,1,1,122,11,1342,632,2.123418,0,0,0.302,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_anfhi3_p4ge_synth_preset,unsigned_floor_isqrt,anfhi3_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_synth_preset.aig,1,1,1,115,11,1265,632,2.001582,0,0,0.354,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=synth_preset
ex276,ex276_isqrt_anfhi3_p4ge_synth_preset_d6,unsigned_floor_isqrt,anfhi3_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_synth_preset_d6.aig,1,1,1,115,11,1265,632,2.001582,0,0,0.358,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_anfhi3_p4ge_synth_preset_d8,unsigned_floor_isqrt,anfhi3_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_synth_preset_d8.aig,1,1,1,115,11,1265,632,2.001582,0,0,0.354,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_anfhi3_p4ge_synth_preset_d10,unsigned_floor_isqrt,anfhi3_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_anfhi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_anfhi3_p4ge_synth_preset_d10.aig,1,1,1,115,11,1265,632,2.001582,0,0,0.358,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=anfhi3_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_supporthi1_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_abc_g_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_supporthi1_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi1_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.283,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_supporthi1_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi1_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_arith_wreduce_aig.aig,1,1,1,114,11,1254,632,1.984177,0,0,0.270,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_supporthi1_p4ge_synth_preset,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_synth_preset.aig,1,1,1,103,10,1030,632,1.629747,0,0,0.330,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=synth_preset
ex276,ex276_isqrt_supporthi1_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_synth_preset_d6.aig,1,1,1,103,10,1030,632,1.629747,0,0,0.331,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_supporthi1_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_synth_preset_d8.aig,1,1,1,103,10,1030,632,1.629747,0,0,0.334,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_supporthi1_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi1_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi1_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi1_p4ge_synth_preset_d10.aig,1,1,1,103,10,1030,632,1.629747,0,0,0.332,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi1_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_supporthi2_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi2_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_supporthi2_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi2_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_wreduce_abc_g_aig.aig,1,1,1,112,11,1232,632,1.949367,0,0,0.277,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_supporthi2_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi2_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_arith_wreduce_aig.aig,1,1,1,109,11,1199,632,1.897152,0,0,0.281,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_supporthi2_p4ge_synth_preset,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_synth_preset.aig,1,1,1,105,11,1155,632,1.827532,0,0,0.346,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=synth_preset
ex276,ex276_isqrt_supporthi2_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_synth_preset_d6.aig,1,1,1,105,11,1155,632,1.827532,0,0,0.348,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_supporthi2_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_synth_preset_d8.aig,1,1,1,105,11,1155,632,1.827532,0,0,0.346,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_supporthi2_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi2_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi2_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi2_p4ge_synth_preset_d10.aig,1,1,1,105,11,1155,632,1.827532,0,0,0.354,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi2_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_supporthi3_p4ge_abc_g_aig,unsigned_floor_isqrt,supporthi3_p4ge+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_abc_g_aig.aig,1,1,1,108,11,1188,632,1.879747,0,0,0.302,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=abc_g_aig
ex276,ex276_isqrt_supporthi3_p4ge_wreduce_abc_g_aig,unsigned_floor_isqrt,supporthi3_p4ge+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_wreduce_abc_g_aig.aig,1,1,1,107,11,1177,632,1.862342,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_supporthi3_p4ge_arith_wreduce_aig,unsigned_floor_isqrt,supporthi3_p4ge+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_arith_wreduce_aig.aig,1,1,1,107,11,1177,632,1.862342,0,0,0.310,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=arith_wreduce_aig
ex276,ex276_isqrt_supporthi3_p4ge_synth_preset,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_synth_preset.aig,1,1,1,110,10,1100,632,1.740506,0,0,0.371,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=synth_preset
ex276,ex276_isqrt_supporthi3_p4ge_synth_preset_d6,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d6,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_synth_preset_d6.aig,1,1,1,110,10,1100,632,1.740506,0,0,0.386,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=synth_preset_d6
ex276,ex276_isqrt_supporthi3_p4ge_synth_preset_d8,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d8,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_synth_preset_d8.aig,1,1,1,110,10,1100,632,1.740506,0,0,0.366,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=synth_preset_d8
ex276,ex276_isqrt_supporthi3_p4ge_synth_preset_d10,unsigned_floor_isqrt,supporthi3_p4ge+synth_preset_d10,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_supporthi3_p4ge.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_supporthi3_p4ge_synth_preset_d10.aig,1,1,1,110,10,1100,632,1.740506,0,0,0.390,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=supporthi3_p4ge; flow=synth_preset_d10
ex276,ex276_isqrt_prefix4_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.256,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.285,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+arith_wreduce_aig,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_anfhi_p4ge_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=arith_wreduce_aig
