case,class_key_count,representative_model,matches,total_classes,match_ratio,first_mismatch
ex287,6912,min_onehot,54,6912,0.007812,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_onehot_rev,54,6912,0.007812,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x1;exp=0x40;class_size=1"
ex287,6912,min_natural_bitrev,49,6912,0.007089,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_reverse_bitrev,49,6912,0.007089,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,min_onehot_bitrev,49,6912,0.007089,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,min_onehot_rev_bitrev,49,6912,0.007089,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,min_outside_bitrev,40,6912,0.005787,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_center_bitrev,39,6912,0.005642,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_natural_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,min_reverse_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,min_center_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_outside_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_onehot_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex287,6912,max_onehot_rev_bitrev,38,6912,0.005498,"key=((0, 0, 0, 1, 0, 0, 0), (0, 0, 0, 0));pred=0x2000;exp=0x40;class_size=1"
ex288,13824,max_natural,94,13824,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_reverse,94,13824,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_onehot,94,13824,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_onehot_rev,94,13824,0.006800,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_natural,92,13824,0.006655,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_reverse,92,13824,0.006655,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_onehot,92,13824,0.006655,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_onehot_rev,92,13824,0.006655,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_center,81,13824,0.005859,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_outside,81,13824,0.005859,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_center,68,13824,0.004919,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,min_outside,68,13824,0.004919,"key=((0, 0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex288,13824,max_natural_bitrev,60,13824,0.004340,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_reverse_bitrev,60,13824,0.004340,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,max_onehot_bitrev,60,13824,0.004340,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,max_onehot_rev_bitrev,60,13824,0.004340,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_natural_bitrev,53,13824,0.003834,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,max_reverse_bitrev,53,13824,0.003834,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_onehot_bitrev,53,13824,0.003834,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
ex288,13824,min_onehot_rev_bitrev,53,13824,0.003834,"key=((0, 0, 0, 0, 0, 0, 0, 1, 1), (0, 0, 0));pred=0x6000;exp=0xc;class_size=1"
