case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_column_case_carry_abc_g_aig,unsigned low5_high5:a*b,column_case_carry+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_column_case_carry.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_column_case_carry_abc_g_aig.aig,1,1,1,201,34,6834,1911,3.576138,0,0,0.447,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=column_case_carry; flow=abc_g_aig
ex256,ex256_umul_block_split_lo2_synth_preset_d18,unsigned low5_high5:a*b,block_split_lo2+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo2_synth_preset_d18.aig,1,1,1,157,21,3297,1911,1.725275,0,0,0.271,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo2; flow=synth_preset_d18
ex256,ex256_umul_block_split_lo3_abc_g_aig,unsigned low5_high5:a*b,block_split_lo3+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_abc_g_aig.aig,1,1,1,150,23,3450,1911,1.805338,0,0,0.237,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=abc_g_aig
ex256,ex256_umul_block_split_lo3_abc_g_aig_d13,unsigned low5_high5:a*b,block_split_lo3+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_abc_g_aig_d13.aig,1,1,1,150,23,3450,1911,1.805338,0,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=abc_g_aig_d13
ex256,ex256_umul_block_split_lo3_abc_g_aig_d14,unsigned low5_high5:a*b,block_split_lo3+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_abc_g_aig_d14.aig,1,1,1,150,23,3450,1911,1.805338,0,0,0.238,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=abc_g_aig_d14
ex256,ex256_umul_block_split_lo3_synth_preset_d13,unsigned low5_high5:a*b,block_split_lo3+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_synth_preset_d13.aig,1,1,1,162,23,3726,1911,1.949765,0,0,0.262,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=synth_preset_d13
ex256,ex256_umul_block_split_lo3_synth_preset_d14,unsigned low5_high5:a*b,block_split_lo3+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_synth_preset_d14.aig,1,1,1,162,23,3726,1911,1.949765,0,0,0.262,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=synth_preset_d14
ex256,ex256_umul_block_split_lo3_synth_preset_d18,unsigned low5_high5:a*b,block_split_lo3+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_lo3_synth_preset_d18.aig,1,1,1,162,23,3726,1911,1.949765,0,0,0.263,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_lo3; flow=synth_preset_d18
ex256,ex256_umul_block_split_case_lo2_abc_g_aig,unsigned low5_high5:a*b,block_split_case_lo2+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_abc_g_aig.aig,1,1,1,181,21,3801,1911,1.989011,0,0,0.277,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=abc_g_aig
ex256,ex256_umul_block_split_case_lo2_abc_g_aig_d13,unsigned low5_high5:a*b,block_split_case_lo2+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_abc_g_aig_d13.aig,1,1,1,181,21,3801,1911,1.989011,0,0,0.254,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=abc_g_aig_d13
ex256,ex256_umul_block_split_case_lo2_abc_g_aig_d14,unsigned low5_high5:a*b,block_split_case_lo2+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_abc_g_aig_d14.aig,1,1,1,181,21,3801,1911,1.989011,0,0,0.256,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=abc_g_aig_d14
ex256,ex256_umul_block_split_case_lo2_synth_preset_d13,unsigned low5_high5:a*b,block_split_case_lo2+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_synth_preset_d13.aig,1,1,1,180,19,3420,1911,1.789639,0,0,0.316,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=synth_preset_d13
ex256,ex256_umul_block_split_case_lo2_synth_preset_d14,unsigned low5_high5:a*b,block_split_case_lo2+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_synth_preset_d14.aig,1,1,1,180,19,3420,1911,1.789639,0,0,0.315,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=synth_preset_d14
ex256,ex256_umul_block_split_case_lo2_synth_preset_d18,unsigned low5_high5:a*b,block_split_case_lo2+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo2.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo2_synth_preset_d18.aig,1,1,1,180,19,3420,1911,1.789639,0,0,0.322,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo2; flow=synth_preset_d18
ex256,ex256_umul_block_split_case_lo3_abc_g_aig,unsigned low5_high5:a*b,block_split_case_lo3+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_abc_g_aig.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.254,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=abc_g_aig
ex256,ex256_umul_block_split_case_lo3_abc_g_aig_d13,unsigned low5_high5:a*b,block_split_case_lo3+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_abc_g_aig_d13.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.254,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=abc_g_aig_d13
ex256,ex256_umul_block_split_case_lo3_abc_g_aig_d14,unsigned low5_high5:a*b,block_split_case_lo3+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_abc_g_aig_d14.aig,1,1,1,179,19,3401,1911,1.779696,0,0,0.257,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=abc_g_aig_d14
ex256,ex256_umul_block_split_case_lo3_synth_preset_d13,unsigned low5_high5:a*b,block_split_case_lo3+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_synth_preset_d13.aig,1,1,1,172,21,3612,1911,1.890110,0,0,0.311,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=synth_preset_d13
ex256,ex256_umul_block_split_case_lo3_synth_preset_d14,unsigned low5_high5:a*b,block_split_case_lo3+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_synth_preset_d14.aig,1,1,1,172,21,3612,1911,1.890110,0,0,0.311,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=synth_preset_d14
ex256,ex256_umul_block_split_case_lo3_synth_preset_d18,unsigned low5_high5:a*b,block_split_case_lo3+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_block_split_case_lo3.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_block_split_case_lo3_synth_preset_d18.aig,1,1,1,172,21,3612,1911,1.890110,0,0,0.307,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=block_split_case_lo3; flow=synth_preset_d18
ex256,ex256_umul_karatsuba_odd_abc_g_aig,unsigned low5_high5:a*b,karatsuba_odd+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_abc_g_aig.aig,1,1,1,241,35,8435,1911,4.413919,0,0,0.276,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=abc_g_aig
ex256,ex256_umul_karatsuba_odd_abc_g_aig_d13,unsigned low5_high5:a*b,karatsuba_odd+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_abc_g_aig_d13.aig,1,1,1,241,35,8435,1911,4.413919,0,0,0.278,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=abc_g_aig_d13
ex256,ex256_umul_karatsuba_odd_abc_g_aig_d14,unsigned low5_high5:a*b,karatsuba_odd+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_abc_g_aig_d14.aig,1,1,1,241,35,8435,1911,4.413919,0,0,0.277,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=abc_g_aig_d14
ex256,ex256_umul_karatsuba_odd_synth_preset_d13,unsigned low5_high5:a*b,karatsuba_odd+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_synth_preset_d13.aig,1,1,1,253,35,8855,1911,4.633700,0,0,0.317,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=synth_preset_d13
ex256,ex256_umul_karatsuba_odd_synth_preset_d14,unsigned low5_high5:a*b,karatsuba_odd+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_synth_preset_d14.aig,1,1,1,253,35,8855,1911,4.633700,0,0,0.341,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=synth_preset_d14
ex256,ex256_umul_karatsuba_odd_synth_preset_d18,unsigned low5_high5:a*b,karatsuba_odd+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_karatsuba_odd.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_karatsuba_odd_synth_preset_d18.aig,1,1,1,253,35,8855,1911,4.633700,0,0,0.327,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=karatsuba_odd; flow=synth_preset_d18
ex256,ex256_umul_sorted_case_const_abc_g_aig,unsigned low5_high5:a*b,sorted_case_const+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_abc_g_aig.aig,1,1,1,755,40,30200,1911,15.803244,0,0,0.514,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=abc_g_aig
ex256,ex256_umul_sorted_case_const_abc_g_aig_d13,unsigned low5_high5:a*b,sorted_case_const+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_abc_g_aig_d13.aig,1,1,1,755,40,30200,1911,15.803244,0,0,0.505,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=abc_g_aig_d13
ex256,ex256_umul_sorted_case_const_abc_g_aig_d14,unsigned low5_high5:a*b,sorted_case_const+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_abc_g_aig_d14.aig,1,1,1,755,40,30200,1911,15.803244,0,0,0.506,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=abc_g_aig_d14
ex256,ex256_umul_sorted_case_const_synth_preset_d13,unsigned low5_high5:a*b,sorted_case_const+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_synth_preset_d13.aig,1,1,1,619,39,24141,1911,12.632653,0,0,0.535,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=synth_preset_d13
ex256,ex256_umul_sorted_case_const_synth_preset_d14,unsigned low5_high5:a*b,sorted_case_const+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_synth_preset_d14.aig,1,1,1,619,39,24141,1911,12.632653,0,0,0.535,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=synth_preset_d14
ex256,ex256_umul_sorted_case_const_synth_preset_d18,unsigned low5_high5:a*b,sorted_case_const+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_sorted_case_const.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_sorted_case_const_synth_preset_d18.aig,1,1,1,619,39,24141,1911,12.632653,0,0,0.533,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=sorted_case_const; flow=synth_preset_d18
ex256,ex256_umul_critical_low_direct_abc_g_aig,unsigned low5_high5:a*b,critical_low_direct+abc_g_aig,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_abc_g_aig.aig,1,1,1,152,26,3952,1911,2.068027,0,0,0.236,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=abc_g_aig
ex256,ex256_umul_critical_low_direct_abc_g_aig_d13,unsigned low5_high5:a*b,critical_low_direct+abc_g_aig_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_abc_g_aig_d13.aig,1,1,1,152,26,3952,1911,2.068027,0,0,0.238,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=abc_g_aig_d13
ex256,ex256_umul_critical_low_direct_abc_g_aig_d14,unsigned low5_high5:a*b,critical_low_direct+abc_g_aig_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_abc_g_aig_d14.aig,1,1,1,152,26,3952,1911,2.068027,0,0,0.235,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=abc_g_aig_d14
ex256,ex256_umul_critical_low_direct_synth_preset_d13,unsigned low5_high5:a*b,critical_low_direct+synth_preset_d13,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_synth_preset_d13.aig,1,1,1,161,25,4025,1911,2.106227,0,0,0.267,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=synth_preset_d13
ex256,ex256_umul_critical_low_direct_synth_preset_d14,unsigned low5_high5:a*b,critical_low_direct+synth_preset_d14,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_synth_preset_d14.aig,1,1,1,161,25,4025,1911,2.106227,0,0,0.266,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=synth_preset_d14
ex256,ex256_umul_critical_low_direct_synth_preset_d18,unsigned low5_high5:a*b,critical_low_direct+synth_preset_d18,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/verilog/ex256_umul_critical_low_direct.v,student/work/ex255_ex259_frontend_umul_focused_structures_20260609_0108/ex256/aigs/ex256_umul_critical_low_direct_synth_preset_d18.aig,1,1,1,161,25,4025,1911,2.106227,0,0,0.269,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; focused source=critical_low_direct; flow=synth_preset_d18
