case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex285,ex285_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/verilog/ex285_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex285/aigs/ex285_unknown_symbdd_interleave_f10.aig,1,1,1,1038,17,17646,0.855,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=595; hash=f0ea3df23118,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_interleave_zero.aig,1,1,1,1807,21,37947,2.600,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=1092; hash=fda2a83d64c5,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_sym_first_f10,unknown_symmetry_canonical_bdd,sym_first_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_sym_first_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_sym_first_f10.aig,1,1,1,11874,22,261228,7.830,pairs=4:5; order=sym_first; invalid_policy=f10; bdd_nodes=7845; hash=e69d1c7697bb,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_sym_first_f00,unknown_symmetry_canonical_bdd,sym_first_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_sym_first_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_sym_first_f00.aig,1,1,1,11904,22,261888,7.541,pairs=4:5; order=sym_first; invalid_policy=f00; bdd_nodes=7831; hash=1453a47963c3,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_sym_first_zero,unknown_symmetry_canonical_bdd,sym_first_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_sym_first_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_sym_first_zero.aig,1,1,1,11981,23,275563,7.684,pairs=4:5; order=sym_first; invalid_policy=zero; bdd_nodes=7845; hash=5deafcfba5d1,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_natural_f10,unknown_symmetry_canonical_bdd,natural_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_natural_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_natural_f10.aig,1,1,1,11814,23,271722,7.619,pairs=4:5; order=natural; invalid_policy=f10; bdd_nodes=7959; hash=5a2055b83a68,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_natural_f00,unknown_symmetry_canonical_bdd,natural_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_natural_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_natural_f00.aig,1,1,1,11765,22,258830,7.459,pairs=4:5; order=natural; invalid_policy=f00; bdd_nodes=7767; hash=b66c6c7ee9cc,unknown symmetry-canonical shared-BDD seed
ex287,ex287_unknown_symbdd_natural_zero,unknown_symmetry_canonical_bdd,natural_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/verilog/ex287_unknown_symbdd_natural_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex287/aigs/ex287_unknown_symbdd_natural_zero.aig,1,1,1,11616,22,255552,7.866,pairs=4:5; order=natural; invalid_policy=zero; bdd_nodes=7959; hash=7f5950ebc17d,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_interleave_f10.aig,1,1,1,1944,20,38880,5.375,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=1170; hash=c70c05cc692f,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_interleave_f00.aig,1,1,1,1974,21,41454,5.057,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=1119; hash=40879df56202,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_interleave_zero.aig,1,1,1,2015,21,42315,5.681,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=1159; hash=3e4e8782c5ca,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_sym_first_f10,unknown_symmetry_canonical_bdd,sym_first_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_sym_first_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_sym_first_f10.aig,1,1,1,19719,25,492975,15.770,pairs=4:5; order=sym_first; invalid_policy=f10; bdd_nodes=13251; hash=f53a70610914,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_sym_first_f00,unknown_symmetry_canonical_bdd,sym_first_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_sym_first_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_sym_first_f00.aig,1,1,1,19823,24,475752,15.707,pairs=4:5; order=sym_first; invalid_policy=f00; bdd_nodes=13236; hash=0d44fb6045ff,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_sym_first_zero,unknown_symmetry_canonical_bdd,sym_first_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_sym_first_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_sym_first_zero.aig,1,1,1,19688,24,472512,15.758,pairs=4:5; order=sym_first; invalid_policy=zero; bdd_nodes=13251; hash=1b13a61b542b,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_natural_f10,unknown_symmetry_canonical_bdd,natural_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_natural_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_natural_f10.aig,1,1,1,19303,24,463272,15.300,pairs=4:5; order=natural; invalid_policy=f10; bdd_nodes=13326; hash=fc15c6ee870c,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_natural_f00,unknown_symmetry_canonical_bdd,natural_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_natural_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_natural_f00.aig,1,1,1,19131,24,459144,15.470,pairs=4:5; order=natural; invalid_policy=f00; bdd_nodes=13136; hash=e57a1dd02253,unknown symmetry-canonical shared-BDD seed
ex288,ex288_unknown_symbdd_natural_zero,unknown_symmetry_canonical_bdd,natural_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/verilog/ex288_unknown_symbdd_natural_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex288/aigs/ex288_unknown_symbdd_natural_zero.aig,1,1,1,19214,24,461136,14.919,pairs=4:5; order=natural; invalid_policy=zero; bdd_nodes=13326; hash=60a84ded41cd,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_interleave_f10,unknown_symmetry_canonical_bdd,interleave_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_interleave_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_interleave_f10.aig,1,1,1,1819,23,41837,10.471,pairs=4:5; order=interleave; invalid_policy=f10; bdd_nodes=1131; hash=78e6bdfdb1b0,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_interleave_f00,unknown_symmetry_canonical_bdd,interleave_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_interleave_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_interleave_f00.aig,1,1,1,1818,21,38178,10.350,pairs=4:5; order=interleave; invalid_policy=f00; bdd_nodes=1070; hash=fe23424961c5,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_interleave_zero,unknown_symmetry_canonical_bdd,interleave_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_interleave_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_interleave_zero.aig,1,1,1,1828,22,40216,10.609,pairs=4:5; order=interleave; invalid_policy=zero; bdd_nodes=1118; hash=1a42144468f8,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_sym_first_f10,unknown_symmetry_canonical_bdd,sym_first_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_sym_first_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_sym_first_f10.aig,1,1,1,24921,26,647946,25.627,pairs=4:5; order=sym_first; invalid_policy=f10; bdd_nodes=16239; hash=c2bbc1a3b4b2,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_sym_first_f00,unknown_symmetry_canonical_bdd,sym_first_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_sym_first_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_sym_first_f00.aig,1,1,1,26641,27,719307,24.945,pairs=4:5; order=sym_first; invalid_policy=f00; bdd_nodes=16223; hash=fa79c9679df5,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_sym_first_zero,unknown_symmetry_canonical_bdd,sym_first_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_sym_first_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_sym_first_zero.aig,1,1,1,24978,26,649428,25.140,pairs=4:5; order=sym_first; invalid_policy=zero; bdd_nodes=16239; hash=82338e097277,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_natural_f10,unknown_symmetry_canonical_bdd,natural_f10,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_natural_f10.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_natural_f10.aig,1,1,1,24274,26,631124,25.023,pairs=4:5; order=natural; invalid_policy=f10; bdd_nodes=16191; hash=7d9657384746,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_natural_f00,unknown_symmetry_canonical_bdd,natural_f00,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_natural_f00.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_natural_f00.aig,1,1,1,24449,26,635674,25.266,pairs=4:5; order=natural; invalid_policy=f00; bdd_nodes=16063; hash=468e9bdb2afe,unknown symmetry-canonical shared-BDD seed
ex289,ex289_unknown_symbdd_natural_zero,unknown_symmetry_canonical_bdd,natural_zero,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/verilog/ex289_unknown_symbdd_natural_zero.v,student/work/ex285_ex289_frontend_symmetry_bdd_20260608_1429/ex289/aigs/ex289_unknown_symbdd_natural_zero.aig,1,1,1,24400,25,610000,25.178,pairs=4:5; order=natural; invalid_policy=zero; bdd_nodes=16191; hash=ba00d2f30e6f,unknown symmetry-canonical shared-BDD seed
