case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex276,ex276_isqrt_cofbdd5_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd5_reverse+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd5_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd5_reverse_abc_g_aig.aig,1,1,1,134,10,1340,632,2.120253,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd5_reverse; flow=abc_g_aig
ex276,ex276_isqrt_cofbdd6_reverse_synth_preset_d6,unsigned_floor_isqrt,cofbdd6_reverse+synth_preset_d6,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_synth_preset_d6.aig,1,1,1,142,10,1420,632,2.246835,0,0,0.394,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=synth_preset_d6
ex276,ex276_isqrt_cofbdd6_reverse_synth_preset_d8,unsigned_floor_isqrt,cofbdd6_reverse+synth_preset_d8,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_synth_preset_d8.aig,1,1,1,142,10,1420,632,2.246835,0,0,0.373,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=synth_preset_d8
ex276,ex276_isqrt_cofbdd6_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd6_reverse+synth_preset_d10,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd6_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd6_reverse_synth_preset_d10.aig,1,1,1,142,10,1420,632,2.246835,0,0,0.389,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd6_reverse; flow=synth_preset_d10
ex276,ex276_isqrt_cofbdd4_reverse_abc_g_aig,unsigned_floor_isqrt,cofbdd4_reverse+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_abc_g_aig.aig,1,1,1,114,10,1140,632,1.803797,0,0,0.249,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=abc_g_aig
ex276,ex276_isqrt_cofbdd4_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,cofbdd4_reverse+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_wreduce_abc_g_aig.aig,1,1,1,114,10,1140,632,1.803797,0,0,0.249,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_cofbdd4_reverse_arith_wreduce_aig,unsigned_floor_isqrt,cofbdd4_reverse+arith_wreduce_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_arith_wreduce_aig.aig,1,1,1,114,10,1140,632,1.803797,0,0,0.249,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=arith_wreduce_aig
ex276,ex276_isqrt_cofbdd4_reverse_synth_preset,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_synth_preset.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.330,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=synth_preset
ex276,ex276_isqrt_cofbdd4_reverse_synth_preset_d6,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d6,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_synth_preset_d6.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.325,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=synth_preset_d6
ex276,ex276_isqrt_cofbdd4_reverse_synth_preset_d8,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d8,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_synth_preset_d8.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.335,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=synth_preset_d8
ex276,ex276_isqrt_cofbdd4_reverse_synth_preset_d10,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset_d10,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_cofbdd4_reverse.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_cofbdd4_reverse_synth_preset_d10.aig,1,1,1,111,11,1221,632,1.931962,0,0,0.360,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=cofbdd4_reverse; flow=synth_preset_d10
ex276,ex276_isqrt_prefix4_ge_bitwise_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.259,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_wreduce_abc_g_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.261,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig,unsigned_floor_isqrt,prefix4_ge_bitwise+arith_wreduce_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_arith_wreduce_aig.aig,1,1,1,113,11,1243,632,1.966772,0,0,0.265,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.336,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d6,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d6,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d6.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.341,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d6
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d8,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d8,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d8.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.332,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d8
ex276,ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset_d10,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset_d10.aig,1,1,1,101,10,1010,632,1.598101,0,0,0.332,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset_d10
ex276,ex276_isqrt_prefix6_ge_tree_msb_abc_g_aig,unsigned_floor_isqrt,prefix6_ge_tree_msb+abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_abc_g_aig.aig,1,1,1,106,12,1272,632,2.012658,0,0,0.234,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=abc_g_aig
ex276,ex276_isqrt_prefix6_ge_tree_msb_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix6_ge_tree_msb+wreduce_abc_g_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_wreduce_abc_g_aig.aig,1,1,1,107,12,1284,632,2.031646,0,0,0.242,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_prefix6_ge_tree_msb_arith_wreduce_aig,unsigned_floor_isqrt,prefix6_ge_tree_msb+arith_wreduce_aig,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_arith_wreduce_aig.aig,1,1,1,107,12,1284,632,2.031646,0,0,0.243,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=arith_wreduce_aig
ex276,ex276_isqrt_prefix6_ge_tree_msb_synth_preset,unsigned_floor_isqrt,prefix6_ge_tree_msb+synth_preset,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_synth_preset.aig,1,1,1,106,11,1166,632,1.844937,0,0,0.307,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=synth_preset
ex276,ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d6,unsigned_floor_isqrt,prefix6_ge_tree_msb+synth_preset_d6,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d6.aig,1,1,1,106,11,1166,632,1.844937,0,0,0.316,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=synth_preset_d6
ex276,ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d8,unsigned_floor_isqrt,prefix6_ge_tree_msb+synth_preset_d8,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d8.aig,1,1,1,106,11,1166,632,1.844937,0,0,0.327,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=synth_preset_d8
ex276,ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d10,unsigned_floor_isqrt,prefix6_ge_tree_msb+synth_preset_d10,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/verilog/ex276_isqrt_prefix6_ge_tree_msb.v,student/work/ex276_frontend_isqrt_cofbdd_deeper_20260609_1656/ex276/aigs/ex276_isqrt_prefix6_ge_tree_msb_synth_preset_d10.aig,1,1,1,106,11,1166,632,1.844937,0,0,0.356,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=prefix6_ge_tree_msb; flow=synth_preset_d10
