case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex270,ex270_square_wallace_square_outside_hcla4_default,unsigned_square_x_times_x,wallace_square_outside_hcla4+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_hcla4_default.aig,1,1,1,232,20,4640,2076,2.235067,0,0,0.300,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside_hcla4; flow=default
ex270,ex270_square_wallace_square_outside_wreduce_default,unsigned_square_x_times_x,wallace_square_outside+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_wreduce_default.aig,1,1,1,252,21,5292,2076,2.549133,0,0,0.261,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=wreduce_default
ex270,ex270_square_wallace_square_outside_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_no_internal_abc.aig,1,1,1,259,26,6734,2076,3.243738,0,0,0.169,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=no_internal_abc
ex270,ex270_square_wallace_square_outside_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_wreduce_no_internal_abc.aig,1,1,1,259,26,6734,2076,3.243738,0,0,0.173,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=wreduce_no_internal_abc
ex270,ex270_square_wallace_square_outside_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_wallace_square_outside_abc_g_aig.aig,1,1,1,186,21,3906,2076,1.881503,0,0,0.241,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=wallace_square_outside; flow=abc_g_aig
ex270,ex270_square_dadda_square_hcla4_default,unsigned_square_x_times_x,dadda_square_hcla4+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla4_default.aig,1,1,1,240,23,5520,2076,2.658960,0,0,0.262,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla4; flow=default
ex270,ex270_square_dadda_square_hcla4_wreduce_default,unsigned_square_x_times_x,dadda_square_hcla4+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla4_wreduce_default.aig,1,1,1,239,23,5497,2076,2.647881,0,0,0.253,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla4; flow=wreduce_default
ex270,ex270_square_dadda_square_hcla4_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla4+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla4_no_internal_abc.aig,1,1,1,302,26,7852,2076,3.782274,0,0,0.196,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla4; flow=no_internal_abc
ex270,ex270_square_dadda_square_hcla4_wreduce_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla4+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla4_wreduce_no_internal_abc.aig,1,1,1,302,26,7852,2076,3.782274,0,0,0.184,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla4; flow=wreduce_no_internal_abc
ex270,ex270_square_dadda_square_hcla4_abc_g_aig,unsigned_square_x_times_x,dadda_square_hcla4+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla4_abc_g_aig.aig,1,1,1,197,23,4531,2076,2.182563,0,0,0.241,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla4; flow=abc_g_aig
ex270,ex270_square_dadda_square_hcla6_default,unsigned_square_x_times_x,dadda_square_hcla6+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla6_default.aig,1,1,1,238,23,5474,2076,2.636802,0,0,0.237,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla6; flow=default
ex270,ex270_square_dadda_square_hcla6_wreduce_default,unsigned_square_x_times_x,dadda_square_hcla6+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla6_wreduce_default.aig,1,1,1,238,23,5474,2076,2.636802,0,0,0.245,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla6; flow=wreduce_default
ex270,ex270_square_dadda_square_hcla6_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla6+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla6_no_internal_abc.aig,1,1,1,292,25,7300,2076,3.516378,0,0,0.168,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla6; flow=no_internal_abc
ex270,ex270_square_dadda_square_hcla6_wreduce_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla6+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla6_wreduce_no_internal_abc.aig,1,1,1,292,25,7300,2076,3.516378,0,0,0.218,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla6; flow=wreduce_no_internal_abc
ex270,ex270_square_dadda_square_hcla6_abc_g_aig,unsigned_square_x_times_x,dadda_square_hcla6+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/verilog/ex270_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex270/aigs/ex270_square_dadda_square_hcla6_abc_g_aig.aig,1,1,1,195,23,4485,2076,2.160405,0,0,0.238,square_specific_structural_rtl,exact unsigned 8-bit square x*x over 256 inputs; source=dadda_square_hcla6; flow=abc_g_aig
ex271,ex271_square_wallace_square_outside_hcla4_default,unsigned_square_x_times_x,wallace_square_outside_hcla4+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla4_default.aig,1,1,1,419,29,12151,5542,2.192530,0,0,0.284,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=default
ex271,ex271_square_wallace_square_outside_hcla4_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_hcla4+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla4_wreduce_default.aig,1,1,1,419,29,12151,5542,2.192530,0,0,0.296,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=wreduce_default
ex271,ex271_square_wallace_square_outside_hcla4_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla4+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla4_no_internal_abc.aig,1,1,1,501,32,16032,5542,2.892818,0,0,0.208,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=no_internal_abc
ex271,ex271_square_wallace_square_outside_hcla4_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla4+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla4_wreduce_no_internal_abc.aig,1,1,1,501,32,16032,5542,2.892818,0,0,0.224,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=wreduce_no_internal_abc
ex271,ex271_square_wallace_square_outside_hcla4_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla4+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla4_abc_g_aig.aig,1,1,1,317,29,9193,5542,1.658787,0,0,0.314,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla4; flow=abc_g_aig
ex271,ex271_square_wallace_square_outside_hcla6_default,unsigned_square_x_times_x,wallace_square_outside_hcla6+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla6_default.aig,1,1,1,432,29,12528,5542,2.260556,0,0,0.285,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla6; flow=default
ex271,ex271_square_wallace_square_outside_hcla6_wreduce_default,unsigned_square_x_times_x,wallace_square_outside_hcla6+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla6_wreduce_default.aig,1,1,1,417,30,12510,5542,2.257308,0,0,0.302,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla6; flow=wreduce_default
ex271,ex271_square_wallace_square_outside_hcla6_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla6+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla6_no_internal_abc.aig,1,1,1,491,32,15712,5542,2.835078,0,0,0.212,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla6; flow=no_internal_abc
ex271,ex271_square_wallace_square_outside_hcla6_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside_hcla6+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla6_wreduce_no_internal_abc.aig,1,1,1,491,32,15712,5542,2.835078,0,0,0.224,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla6; flow=wreduce_no_internal_abc
ex271,ex271_square_wallace_square_outside_hcla6_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside_hcla6+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_hcla6_abc_g_aig.aig,1,1,1,324,29,9396,5542,1.695417,0,0,0.280,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside_hcla6; flow=abc_g_aig
ex271,ex271_square_wallace_square_outside_default,unsigned_square_x_times_x,wallace_square_outside+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_default.aig,1,1,1,437,29,12673,5542,2.286720,0,0,0.274,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside; flow=default
ex271,ex271_square_wallace_square_outside_wreduce_default,unsigned_square_x_times_x,wallace_square_outside+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_wreduce_default.aig,1,1,1,437,29,12673,5542,2.286720,0,0,0.277,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside; flow=wreduce_default
ex271,ex271_square_wallace_square_outside_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_no_internal_abc.aig,1,1,1,436,34,14824,5542,2.674847,0,0,0.196,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside; flow=no_internal_abc
ex271,ex271_square_wallace_square_outside_wreduce_no_internal_abc,unsigned_square_x_times_x,wallace_square_outside+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_wreduce_no_internal_abc.aig,1,1,1,436,34,14824,5542,2.674847,0,0,0.202,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside; flow=wreduce_no_internal_abc
ex271,ex271_square_wallace_square_outside_abc_g_aig,unsigned_square_x_times_x,wallace_square_outside+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_wallace_square_outside.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_wallace_square_outside_abc_g_aig.aig,1,1,1,320,29,9280,5542,1.674486,0,0,0.282,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=wallace_square_outside; flow=abc_g_aig
ex271,ex271_square_dadda_square_hcla4_default,unsigned_square_x_times_x,dadda_square_hcla4+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla4_default.aig,1,1,1,431,31,13361,5542,2.410863,0,0,0.290,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla4; flow=default
ex271,ex271_square_dadda_square_hcla4_wreduce_default,unsigned_square_x_times_x,dadda_square_hcla4+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla4_wreduce_default.aig,1,1,1,436,31,13516,5542,2.438831,0,0,0.304,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla4; flow=wreduce_default
ex271,ex271_square_dadda_square_hcla4_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla4+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla4_no_internal_abc.aig,1,1,1,501,32,16032,5542,2.892818,0,0,0.206,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla4; flow=no_internal_abc
ex271,ex271_square_dadda_square_hcla4_wreduce_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla4+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla4_wreduce_no_internal_abc.aig,1,1,1,501,32,16032,5542,2.892818,0,0,0.219,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla4; flow=wreduce_no_internal_abc
ex271,ex271_square_dadda_square_hcla4_abc_g_aig,unsigned_square_x_times_x,dadda_square_hcla4+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla4.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla4_abc_g_aig.aig,1,1,1,342,31,10602,5542,1.913028,0,0,0.290,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla4; flow=abc_g_aig
ex271,ex271_square_dadda_square_hcla6_default,unsigned_square_x_times_x,dadda_square_hcla6+default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla6_default.aig,1,1,1,445,31,13795,5542,2.489174,0,0,0.286,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla6; flow=default
ex271,ex271_square_dadda_square_hcla6_wreduce_default,unsigned_square_x_times_x,dadda_square_hcla6+wreduce_default,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla6_wreduce_default.aig,1,1,1,442,31,13702,5542,2.472393,0,0,0.299,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla6; flow=wreduce_default
ex271,ex271_square_dadda_square_hcla6_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla6+no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla6_no_internal_abc.aig,1,1,1,491,32,15712,5542,2.835078,0,0,0.201,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla6; flow=no_internal_abc
ex271,ex271_square_dadda_square_hcla6_wreduce_no_internal_abc,unsigned_square_x_times_x,dadda_square_hcla6+wreduce_no_internal_abc,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla6_wreduce_no_internal_abc.aig,1,1,1,491,32,15712,5542,2.835078,0,0,0.218,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla6; flow=wreduce_no_internal_abc
ex271,ex271_square_dadda_square_hcla6_abc_g_aig,unsigned_square_x_times_x,dadda_square_hcla6+abc_g_aig,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/verilog/ex271_square_dadda_square_hcla6.v,student/work/ex270_ex274_square_defaultflows_20260609_1138/ex271/aigs/ex271_square_dadda_square_hcla6_abc_g_aig.aig,1,1,1,338,31,10478,5542,1.890653,0,0,0.283,square_specific_structural_rtl,exact unsigned 10-bit square x*x over 1024 inputs; source=dadda_square_hcla6; flow=abc_g_aig
