case,domain,agent_id,candidate_id,equivalent,area,delay,adp,verilog_path,aig_path,evaluate_log,notes
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_default_raw,1,193,28,5404,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_default_raw.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_default_raw.abc.log; synth_sec=0.192; abc_sec=0.000; eval_sec=0.438
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_split_delta_pred_synth_preset_compress2rs_area,1,176,29,5104,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/verilog/ex249_split_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/aigs/ex249_ex249_split_delta_pred_synth_preset_compress2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_split_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_split_delta_pred/logs/ex249_ex249_split_delta_pred_synth_preset_compress2rs_area.abc.log; synth_sec=0.292; abc_sec=0.078; eval_sec=0.450
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_raw,1,203,30,6090,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_raw.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_raw.abc.log; synth_sec=0.189; abc_sec=0.000; eval_sec=0.450
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_resyn2rs_area,1,177,26,4602,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_resyn2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_resyn2rs_area.abc.log; synth_sec=0.189; abc_sec=0.080; eval_sec=0.443
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_default_compress2rs_area,1,173,28,4844,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_default_compress2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_default.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_default_compress2rs_area.abc.log; synth_sec=0.189; abc_sec=0.078; eval_sec=0.468
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_raw,1,191,29,5539,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_raw.abc.log; synth_sec=0.224; abc_sec=0.000; eval_sec=0.491
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_resyn2rs_area,1,169,26,4394,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_resyn2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_resyn2rs_area.abc.log; synth_sec=0.224; abc_sec=0.111; eval_sec=0.462
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_extra_share_compress2rs_area,1,169,27,4563,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_extra_share_compress2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_extra_share.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_extra_share_compress2rs_area.abc.log; synth_sec=0.224; abc_sec=0.108; eval_sec=0.443
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw,1,174,28,4872,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_raw.abc.log; synth_sec=0.190; abc_sec=0.000; eval_sec=0.440
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_resyn2rs_area,1,173,26,4498,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_resyn2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_resyn2rs_area.abc.log; synth_sec=0.190; abc_sec=0.078; eval_sec=0.442
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_abc_g_aig_compress2rs_area,1,170,27,4590,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_compress2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_compress2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_abc_g_aig.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_abc_g_aig_compress2rs_area.abc.log; synth_sec=0.190; abc_sec=0.077; eval_sec=0.438
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_synth_preset_raw,1,190,28,5320,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_raw.abc.log; synth_sec=0.298; abc_sec=0.000; eval_sec=0.443
ex249,float_fp8,local-fp8-source-r35,ex249_ex249_inc_mux_delta_pred_synth_preset_resyn2rs_area,1,166,28,4648,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/verilog/ex249_inc_mux_delta_pred.v,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/aigs/ex249_ex249_inc_mux_delta_pred_synth_preset_resyn2rs_area.aig,student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_resyn2rs_area.evaluate.py.log,official evaluate.py OK; yosys_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_inc_mux_delta_pred_synth_preset.yosys.log; abc_log=student/work/ex245_ex249_frontend_source_round35_20260613_0800/local-fp8-source-r35/ex249/ex249_inc_mux_delta_pred/logs/ex249_ex249_inc_mux_delta_pred_synth_preset_resyn2rs_area.abc.log; synth_sec=0.298; abc_sec=0.076; eval_sec=0.456
