case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex255,ex255_umul_booth_radix4_default,unsigned low4_high4:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/verilog/ex255_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex255/aigs/ex255_umul_booth_radix4_default.aig,1,1,0,,,,836,,,,0.200,semantic_mul_exact,exact unsigned low4 * high4 over 256 inputs; source=booth_radix4; flow=default
ex256,ex256_umul_booth_radix4_abc_g_aig_d28,unsigned low5_high5:a*b,booth_radix4+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_abc_g_aig_d28.aig,1,1,1,176,25,4400,1911,2.302459,0,0,0.257,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex256,ex256_umul_booth_radix4_synth_preset_d20,unsigned low5_high5:a*b,booth_radix4+synth_preset_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_synth_preset_d20.aig,1,1,1,179,22,3938,1911,2.060701,0,0,0.335,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset_d20
ex256,ex256_umul_booth_radix4_synth_preset_d28,unsigned low5_high5:a*b,booth_radix4+synth_preset_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/verilog/ex256_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex256/aigs/ex256_umul_booth_radix4_synth_preset_d28.aig,1,1,1,179,22,3938,1911,2.060701,0,0,0.350,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=booth_radix4; flow=synth_preset_d28
ex257,ex257_umul_booth_radix4_default,unsigned low6_high6:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_default.aig,1,1,0,,,,3952,,,,0.270,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=default
ex257,ex257_umul_booth_radix4_abc_g_aig,unsigned low6_high6:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_abc_g_aig.aig,1,1,0,,,,3952,,,,0.267,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=abc_g_aig
ex257,ex257_umul_booth_radix4_synth_preset,unsigned low6_high6:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_synth_preset.aig,1,1,0,,,,3952,,,,0.333,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset
ex257,ex257_umul_booth_radix4_abc_g_aig_d20,unsigned low6_high6:a*b,booth_radix4+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_abc_g_aig_d20.aig,1,1,0,,,,3952,,,,0.270,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex257,ex257_umul_booth_radix4_abc_g_aig_d28,unsigned low6_high6:a*b,booth_radix4+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_abc_g_aig_d28.aig,1,1,0,,,,3952,,,,0.267,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex257,ex257_umul_booth_radix4_synth_preset_d20,unsigned low6_high6:a*b,booth_radix4+synth_preset_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_synth_preset_d20.aig,1,1,0,,,,3952,,,,0.342,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset_d20
ex257,ex257_umul_booth_radix4_synth_preset_d28,unsigned low6_high6:a*b,booth_radix4+synth_preset_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/verilog/ex257_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex257/aigs/ex257_umul_booth_radix4_synth_preset_d28.aig,1,1,0,,,,3952,,,,0.339,semantic_mul_exact,exact unsigned low6 * high6 over 4096 inputs; source=booth_radix4; flow=synth_preset_d28
ex258,ex258_umul_booth_radix4_default,unsigned low7_high7:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_default.aig,1,1,1,352,37,13024,6289,2.070917,0,0,0.533,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=default
ex258,ex258_umul_booth_radix4_abc_g_aig,unsigned low7_high7:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig.aig,1,1,1,346,37,12802,6289,2.035618,0,0,0.530,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig
ex258,ex258_umul_booth_radix4_synth_preset,unsigned low7_high7:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_synth_preset.aig,1,1,1,389,35,13615,6289,2.164891,0,0,0.579,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset
ex258,ex258_umul_booth_radix4_abc_g_aig_d20,unsigned low7_high7:a*b,booth_radix4+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig_d20.aig,1,1,1,346,37,12802,6289,2.035618,0,0,0.529,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex258,ex258_umul_booth_radix4_abc_g_aig_d28,unsigned low7_high7:a*b,booth_radix4+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_abc_g_aig_d28.aig,1,1,1,346,37,12802,6289,2.035618,0,0,0.529,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex258,ex258_umul_booth_radix4_synth_preset_d20,unsigned low7_high7:a*b,booth_radix4+synth_preset_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_synth_preset_d20.aig,1,1,1,389,35,13615,6289,2.164891,0,0,0.568,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset_d20
ex258,ex258_umul_booth_radix4_synth_preset_d28,unsigned low7_high7:a*b,booth_radix4+synth_preset_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/verilog/ex258_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex258/aigs/ex258_umul_booth_radix4_synth_preset_d28.aig,1,1,1,389,35,13615,6289,2.164891,0,0,0.586,semantic_mul_exact,exact unsigned low7 * high7 over 16384 inputs; source=booth_radix4; flow=synth_preset_d28
ex259,ex259_umul_booth_radix4_default,unsigned low8_high8:a*b,booth_radix4+default,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_default.aig,1,1,0,,,,10000,,,,1.849,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=default
ex259,ex259_umul_booth_radix4_abc_g_aig,unsigned low8_high8:a*b,booth_radix4+abc_g_aig,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig.aig,1,1,0,,,,10000,,,,1.885,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig
ex259,ex259_umul_booth_radix4_synth_preset,unsigned low8_high8:a*b,booth_radix4+synth_preset,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset.aig,1,1,0,,,,10000,,,,1.901,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset
ex259,ex259_umul_booth_radix4_abc_g_aig_d20,unsigned low8_high8:a*b,booth_radix4+abc_g_aig_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig_d20.aig,1,1,0,,,,10000,,,,1.866,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig_d20
ex259,ex259_umul_booth_radix4_abc_g_aig_d28,unsigned low8_high8:a*b,booth_radix4+abc_g_aig_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_abc_g_aig_d28.aig,1,1,0,,,,10000,,,,1.849,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=abc_g_aig_d28
ex259,ex259_umul_booth_radix4_synth_preset_d20,unsigned low8_high8:a*b,booth_radix4+synth_preset_d20,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset_d20.aig,1,1,0,,,,10000,,,,1.936,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset_d20
ex259,ex259_umul_booth_radix4_synth_preset_d28,unsigned low8_high8:a*b,booth_radix4+synth_preset_d28,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/verilog/ex259_umul_booth_radix4.v,student/work/ex255_ex259_frontend_umul_booth_20260609_0030/ex259/aigs/ex259_umul_booth_radix4_synth_preset_d28.aig,1,1,0,,,,10000,,,,1.917,semantic_mul_exact,exact unsigned low8 * high8 over 65536 inputs; source=booth_radix4; flow=synth_preset_d28
