case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_case_denominator_manual_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_denominator_manual_wreduce_abc_g_aig.aig,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/logs/ex266_udiv_case_denominator_manual_wreduce_abc_g_aig.yosys.log
ex266,ex266_udiv_case_denominator_manual_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_denominator_manual_synth_preset.aig,SynthError: Yosys failed exit=1; see student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/logs/ex266_udiv_case_denominator_manual_synth_preset.yosys.log
ex266,ex266_udiv_case_dividend_ranges_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_dividend_ranges_default.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=default
ex266,ex266_udiv_case_dividend_ranges_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_dividend_ranges_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_dividend_ranges_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=wreduce_abc_g_aig
ex266,ex266_udiv_case_dividend_ranges_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_case_dividend_ranges_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=case_dividend_ranges; flow=synth_preset
ex266,ex266_udiv_threshold_desc_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_default.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=default
ex266,ex266_udiv_threshold_desc_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex266,ex266_udiv_threshold_desc_guarded_default,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_guarded_default.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex266,ex266_udiv_threshold_desc_guarded_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_guarded_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex266,ex266_udiv_threshold_desc_guarded_synth_preset,0,,,,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_threshold_desc_guarded_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex266,ex266_udiv_small_divisor_fast_direct_default,1,94,28,2632,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_small_divisor_fast_direct_default.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex266,ex266_udiv_small_divisor_fast_direct_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_small_divisor_fast_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
ex266,ex266_udiv_small_divisor_fast_direct_synth_preset,1,88,28,2464,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex266/aigs/ex266_udiv_small_divisor_fast_direct_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=small_divisor_fast_direct; flow=synth_preset
