case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex265,ex265_udiv_threshold_desc_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_abc_g_aig.aig,1,1,0,,,,322,,,,0.274,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_wreduce_abc_g_aig.aig,1,1,0,,,,322,,,,0.275,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=wreduce_abc_g_aig
ex265,ex265_udiv_threshold_desc_synth_preset,unsigned low4_high4:a/b dbz=max,threshold_desc+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_synth_preset.aig,1,1,0,,,,322,,,,0.348,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc; flow=synth_preset
ex265,ex265_udiv_threshold_desc_guarded_default,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_guarded_default.aig,1,1,0,,,,322,,,,0.257,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=default
ex265,ex265_udiv_threshold_desc_guarded_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_guarded_abc_g_aig.aig,1,1,0,,,,322,,,,0.256,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_guarded_wreduce_abc_g_aig.aig,1,1,0,,,,322,,,,0.257,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=wreduce_abc_g_aig
ex265,ex265_udiv_threshold_desc_guarded_synth_preset,unsigned low4_high4:a/b dbz=max,threshold_desc_guarded+synth_preset,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_threshold_desc_guarded.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_threshold_desc_guarded_synth_preset.aig,1,1,0,,,,322,,,,0.305,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=threshold_desc_guarded; flow=synth_preset
ex265,ex265_udiv_small_divisor_fast_direct_default,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+default,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_small_divisor_fast_direct_default.aig,1,1,1,55,18,990,322,3.074534,0,0,0.270,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=default
ex265,ex265_udiv_small_divisor_fast_direct_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_small_divisor_fast_direct_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.269,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=abc_g_aig
ex265,ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig,unsigned low4_high4:a/b dbz=max,small_divisor_fast_direct+wreduce_abc_g_aig,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/verilog/ex265_udiv_small_divisor_fast_direct.v,student/work/ex265_ex269_frontend_udiv_struct_smoke_20260609_0735/ex265/aigs/ex265_udiv_small_divisor_fast_direct_wreduce_abc_g_aig.aig,1,1,1,52,18,936,322,2.906832,0,0,0.272,semantic_udiv_exact,unsigned low4_high4:a/b dbz=max exact; source=small_divisor_fast_direct; flow=wreduce_abc_g_aig
