case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes
ex280,ex280_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/verilog/ex280_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex280/aigs/ex280_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,772,33,25476,0.741,transform=prefix_parity; order_name=interleave; order=0:11:1:10:2:9:3:8:4:7:5:6; bdd_nodes=445; hash=405e4125db8e,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_prefix_parity_center,unknown_transformed_key_bdd,prefix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_prefix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_prefix_parity_center.aig,1,1,1,1154,49,56546,2.330,transform=prefix_parity; order_name=center; order=6:7:5:8:4:9:3:10:2:11:1:12:0:13; bdd_nodes=668; hash=9bfc44815254,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_interleave,unknown_transformed_key_bdd,suffix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_suffix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_suffix_parity_interleave.aig,1,1,1,2025,38,76950,2.734,transform=suffix_parity; order_name=interleave; order=0:13:1:12:2:11:3:10:4:9:5:8:6:7; bdd_nodes=1299; hash=de6c49132ddb,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_natural,unknown_transformed_key_bdd,suffix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_suffix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_suffix_parity_natural.aig,1,1,1,8535,30,256050,5.089,transform=suffix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13; bdd_nodes=4752; hash=922d70dd4d11,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_reverse,unknown_transformed_key_bdd,suffix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_suffix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_suffix_parity_reverse.aig,1,1,1,6983,48,335184,4.446,transform=suffix_parity; order_name=reverse; order=13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=3981; hash=f65851d89f57,unknown transformed-key shared-BDD Verilog seed
ex282,ex282_unknown_bdd_key_suffix_parity_center,unknown_transformed_key_bdd,suffix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/verilog/ex282_unknown_bdd_key_suffix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex282/aigs/ex282_unknown_bdd_key_suffix_parity_center.aig,1,1,1,4019,50,200950,3.425,transform=suffix_parity; order_name=center; order=6:7:5:8:4:9:3:10:2:11:1:12:0:13; bdd_nodes=2292; hash=237c7d6fe555,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,1270,45,57150,4.586,transform=prefix_parity; order_name=interleave; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=696; hash=6f11425e11fa,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_natural,unknown_transformed_key_bdd,prefix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_prefix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_prefix_parity_natural.aig,1,1,1,7910,50,395500,7.489,transform=prefix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=5438; hash=34161104e8bc,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_reverse,unknown_transformed_key_bdd,prefix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_prefix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_prefix_parity_reverse.aig,1,1,1,8300,32,265600,7.466,transform=prefix_parity; order_name=reverse; order=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=4834; hash=0b1b8cf1c129,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_prefix_parity_center,unknown_transformed_key_bdd,prefix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_prefix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_prefix_parity_center.aig,1,1,1,1423,54,76842,4.791,transform=prefix_parity; order_name=center; order=7:8:6:9:5:10:4:11:3:12:2:13:1:14:0; bdd_nodes=815; hash=b8672b75888a,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_interleave,unknown_transformed_key_bdd,suffix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_suffix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_suffix_parity_interleave.aig,1,1,1,2358,41,96678,5.265,transform=suffix_parity; order_name=interleave; order=0:14:1:13:2:12:3:11:4:10:5:9:6:8:7; bdd_nodes=1510; hash=77c3659ffbbc,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_natural,unknown_transformed_key_bdd,suffix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_suffix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_suffix_parity_natural.aig,1,1,1,12802,32,409664,9.805,transform=suffix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14; bdd_nodes=7251; hash=00e451587f31,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_reverse,unknown_transformed_key_bdd,suffix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_suffix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_suffix_parity_reverse.aig,1,1,1,10006,52,520312,8.679,transform=suffix_parity; order_name=reverse; order=14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=5898; hash=a3b7ffaf007f,unknown transformed-key shared-BDD Verilog seed
ex283,ex283_unknown_bdd_key_suffix_parity_center,unknown_transformed_key_bdd,suffix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/verilog/ex283_unknown_bdd_key_suffix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex283/aigs/ex283_unknown_bdd_key_suffix_parity_center.aig,1,1,1,3334,54,180036,5.819,transform=suffix_parity; order_name=center; order=7:8:6:9:5:10:4:11:3:12:2:13:1:14:0; bdd_nodes=1810; hash=91fca51c0a16,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_interleave,unknown_transformed_key_bdd,prefix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_prefix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_prefix_parity_interleave.aig,1,1,1,1455,45,65475,9.816,transform=prefix_parity; order_name=interleave; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8; bdd_nodes=781; hash=1bbecc7c89ea,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_natural,unknown_transformed_key_bdd,prefix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_prefix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_prefix_parity_natural.aig,1,1,1,12159,54,656586,15.358,transform=prefix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; bdd_nodes=7837; hash=e78eecd30298,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_reverse,unknown_transformed_key_bdd,prefix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_prefix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_prefix_parity_reverse.aig,1,1,1,11575,34,393550,15.034,transform=prefix_parity; order_name=reverse; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=7012; hash=6e6f80bd2074,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_prefix_parity_center,unknown_transformed_key_bdd,prefix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_prefix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_prefix_parity_center.aig,1,1,1,1556,57,88692,10.594,transform=prefix_parity; order_name=center; order=7:8:6:9:5:10:4:11:3:12:2:13:1:14:0:15; bdd_nodes=860; hash=b165299b7197,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_interleave,unknown_transformed_key_bdd,suffix_parity_interleave,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_suffix_parity_interleave.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_suffix_parity_interleave.aig,1,1,1,2715,44,119460,11.341,transform=suffix_parity; order_name=interleave; order=0:15:1:14:2:13:3:12:4:11:5:10:6:9:7:8; bdd_nodes=1752; hash=adc13a47a8d8,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_natural,unknown_transformed_key_bdd,suffix_parity_natural,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_suffix_parity_natural.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_suffix_parity_natural.aig,1,1,1,18398,34,625532,18.501,transform=suffix_parity; order_name=natural; order=0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15; bdd_nodes=10190; hash=7ef8065948d3,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_reverse,unknown_transformed_key_bdd,suffix_parity_reverse,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_suffix_parity_reverse.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_suffix_parity_reverse.aig,1,1,1,14700,56,823200,17.553,transform=suffix_parity; order_name=reverse; order=15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0; bdd_nodes=8363; hash=8a1bf59047e0,unknown transformed-key shared-BDD Verilog seed
ex284,ex284_unknown_bdd_key_suffix_parity_center,unknown_transformed_key_bdd,suffix_parity_center,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/verilog/ex284_unknown_bdd_key_suffix_parity_center.v,student/work/ex280_ex284_frontend_bdd_parity_key_20260608_1735/ex284/aigs/ex284_unknown_bdd_key_suffix_parity_center.aig,1,1,1,5454,58,316332,12.429,transform=suffix_parity; order_name=center; order=7:8:6:9:5:10:4:11:3:12:2:13:1:14:0:15; bdd_nodes=3160; hash=1cc1248296f7,unknown transformed-key shared-BDD Verilog seed
