case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex275,ex275_isqrt_radix4_prio_abc_g_aig,unsigned_floor_isqrt,radix4_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix4_prio_abc_g_aig.aig,1,1,1,52,13,676,204,3.313725,0,0,0.267,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix4_prio; flow=abc_g_aig
ex275,ex275_isqrt_radix16_prio_synth_preset,unsigned_floor_isqrt,radix16_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_radix16_prio_synth_preset.aig,1,1,1,47,10,470,204,2.303922,0,0,0.339,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=radix16_prio; flow=synth_preset
ex275,ex275_isqrt_bdd_swapmsb_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_abc_g_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.189,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=abc_g_aig
ex275,ex275_isqrt_bdd_swapmsb_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_wreduce_abc_g_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.201,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_swapmsb_arith_wreduce_aig,unsigned_floor_isqrt,bdd_swapmsb+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_arith_wreduce_aig.aig,1,1,1,50,9,450,204,2.205882,0,0,0.203,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_swapmsb_synth_preset,unsigned_floor_isqrt,bdd_swapmsb+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_swapmsb_synth_preset.aig,1,1,1,46,9,414,204,2.029412,0,0,0.250,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_swapmsb; flow=synth_preset
ex275,ex275_isqrt_bdd_reverse_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.193,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=abc_g_aig
ex275,ex275_isqrt_bdd_reverse_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_reverse+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_wreduce_abc_g_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.196,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_bdd_reverse_arith_wreduce_aig,unsigned_floor_isqrt,bdd_reverse+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_arith_wreduce_aig.aig,1,1,1,49,9,441,204,2.161765,0,0,0.198,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=arith_wreduce_aig
ex275,ex275_isqrt_bdd_reverse_synth_preset,unsigned_floor_isqrt,bdd_reverse+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_bdd_reverse.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_bdd_reverse_synth_preset.aig,1,1,1,45,9,405,204,1.985294,0,0,0.268,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=bdd_reverse; flow=synth_preset
ex275,ex275_isqrt_prefix3_range_abc_g_aig,unsigned_floor_isqrt,prefix3_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_abc_g_aig.aig,1,1,1,49,7,343,204,1.681373,0,0,0.224,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix3_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix3_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_wreduce_abc_g_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix3_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix3_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_arith_wreduce_aig.aig,1,1,1,47,8,376,204,1.843137,0,0,0.231,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix3_range_synth_preset,unsigned_floor_isqrt,prefix3_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix3_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix3_range_synth_preset.aig,1,1,1,48,8,384,204,1.882353,0,0,0.299,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix3_range; flow=synth_preset
ex275,ex275_isqrt_prefix5_range_abc_g_aig,unsigned_floor_isqrt,prefix5_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_abc_g_aig.aig,1,1,1,44,8,352,204,1.725490,0,0,0.236,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix5_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix5_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_wreduce_abc_g_aig.aig,1,1,1,62,8,496,204,2.431373,0,0,0.241,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix5_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix5_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_arith_wreduce_aig.aig,1,1,1,64,8,512,204,2.509804,0,0,0.245,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix5_range_synth_preset,unsigned_floor_isqrt,prefix5_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix5_range_synth_preset.aig,1,1,1,67,8,536,204,2.627451,0,0,0.315,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix5_range; flow=synth_preset
ex275,ex275_isqrt_prefix6_range_abc_g_aig,unsigned_floor_isqrt,prefix6_range+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_abc_g_aig.aig,1,1,1,76,8,608,204,2.980392,0,0,0.276,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=abc_g_aig
ex275,ex275_isqrt_prefix6_range_wreduce_abc_g_aig,unsigned_floor_isqrt,prefix6_range+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_wreduce_abc_g_aig.aig,1,1,1,75,8,600,204,2.941176,0,0,0.286,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=wreduce_abc_g_aig
ex275,ex275_isqrt_prefix6_range_arith_wreduce_aig,unsigned_floor_isqrt,prefix6_range+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_arith_wreduce_aig.aig,1,1,1,75,8,600,204,2.941176,0,0,1.981,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=arith_wreduce_aig
ex275,ex275_isqrt_prefix6_range_synth_preset,unsigned_floor_isqrt,prefix6_range+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/verilog/ex275_isqrt_prefix6_range.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex275/aigs/ex275_isqrt_prefix6_range_synth_preset.aig,1,1,1,82,9,738,204,3.617647,0,0,1.646,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 256 inputs; source=prefix6_range; flow=synth_preset
ex276,ex276_isqrt_radix4_prio_abc_g_aig,unsigned_floor_isqrt,radix4_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix4_prio_abc_g_aig.aig,1,1,1,95,17,1615,632,2.555380,0,0,0.320,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix4_prio; flow=abc_g_aig
ex276,ex276_isqrt_radix4_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix4_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix4_prio_wreduce_abc_g_aig.aig,1,1,1,94,17,1598,632,2.528481,0,0,0.577,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix4_prio; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_radix4_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix4_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix4_prio_arith_wreduce_aig.aig,1,1,1,94,17,1598,632,2.528481,0,0,0.339,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix4_prio; flow=arith_wreduce_aig
ex276,ex276_isqrt_radix4_prio_synth_preset,unsigned_floor_isqrt,radix4_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix4_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix4_prio_synth_preset.aig,1,1,1,89,18,1602,632,2.534810,0,0,0.383,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix4_prio; flow=synth_preset
ex276,ex276_isqrt_radix8_prio_abc_g_aig,unsigned_floor_isqrt,radix8_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix8_prio_abc_g_aig.aig,1,1,1,114,16,1824,632,2.886076,0,0,0.472,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix8_prio; flow=abc_g_aig
ex276,ex276_isqrt_radix8_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix8_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix8_prio_wreduce_abc_g_aig.aig,1,1,1,119,16,1904,632,3.012658,0,0,0.376,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix8_prio; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_radix8_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix8_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix8_prio_arith_wreduce_aig.aig,1,1,1,115,16,1840,632,2.911392,0,0,0.358,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix8_prio; flow=arith_wreduce_aig
ex276,ex276_isqrt_radix8_prio_synth_preset,unsigned_floor_isqrt,radix8_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix8_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix8_prio_synth_preset.aig,1,1,1,116,18,2088,632,3.303797,0,0,0.417,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix8_prio; flow=synth_preset
ex276,ex276_isqrt_radix16_prio_abc_g_aig,unsigned_floor_isqrt,radix16_prio+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix16_prio_abc_g_aig.aig,1,1,1,116,20,2320,632,3.670886,0,0,0.471,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix16_prio; flow=abc_g_aig
ex276,ex276_isqrt_radix16_prio_wreduce_abc_g_aig,unsigned_floor_isqrt,radix16_prio+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix16_prio_wreduce_abc_g_aig.aig,1,1,1,116,20,2320,632,3.670886,0,0,0.428,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix16_prio; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_radix16_prio_arith_wreduce_aig,unsigned_floor_isqrt,radix16_prio+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix16_prio_arith_wreduce_aig.aig,1,1,1,117,20,2340,632,3.702532,0,0,0.434,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix16_prio; flow=arith_wreduce_aig
ex276,ex276_isqrt_radix16_prio_synth_preset,unsigned_floor_isqrt,radix16_prio+synth_preset,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_radix16_prio.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_radix16_prio_synth_preset.aig,1,1,1,112,19,2128,632,3.367089,0,0,0.459,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=radix16_prio; flow=synth_preset
ex276,ex276_isqrt_bdd_swapmsb_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_bdd_swapmsb_abc_g_aig.aig,1,1,1,110,11,1210,632,1.914557,0,0,0.208,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_swapmsb; flow=abc_g_aig
ex276,ex276_isqrt_bdd_swapmsb_wreduce_abc_g_aig,unsigned_floor_isqrt,bdd_swapmsb+wreduce_abc_g_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_bdd_swapmsb_wreduce_abc_g_aig.aig,1,1,1,110,11,1210,632,1.914557,0,0,0.221,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_swapmsb; flow=wreduce_abc_g_aig
ex276,ex276_isqrt_bdd_swapmsb_arith_wreduce_aig,unsigned_floor_isqrt,bdd_swapmsb+arith_wreduce_aig,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/verilog/ex276_isqrt_bdd_swapmsb.v,student/work/ex275_ex279_frontend_isqrt_radix_prio_bdd_20260609_1551/ex276/aigs/ex276_isqrt_bdd_swapmsb_arith_wreduce_aig.aig,1,1,1,110,11,1210,632,1.914557,0,0,0.263,sqrt_specific_structural_rtl,exact unsigned floor isqrt over 1024 inputs; source=bdd_swapmsb; flow=arith_wreduce_aig
