case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_binary_search_product_abc_g_aig,1,122,38,4636,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex266/aigs/ex266_udiv_binary_search_product_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex267,ex267_udiv_binary_search_product_synth_preset,1,199,55,10945,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_product_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_product; flow=synth_preset
ex267,ex267_udiv_binary_search_shiftadd_abc_g_aig,1,221,54,11934,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_wreduce_abc_g_aig,1,225,60,13500,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=wreduce_abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_synth_preset,1,195,56,10920,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_abc_g_aig,1,225,58,13050,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig,1,219,59,12921,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset,1,197,55,10835,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex267/aigs/ex267_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
ex269,ex269_udiv_binary_search_product_abc_g_aig,1,461,103,47483,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_product_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_product; flow=abc_g_aig
ex269,ex269_udiv_binary_search_product_wreduce_abc_g_aig,1,497,104,51688,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_product_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_product; flow=wreduce_abc_g_aig
ex269,ex269_udiv_binary_search_product_synth_preset,1,469,100,46900,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_product_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_product; flow=synth_preset
ex269,ex269_udiv_binary_search_shiftadd_abc_g_aig,1,561,118,66198,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd; flow=abc_g_aig
ex269,ex269_udiv_binary_search_shiftadd_wreduce_abc_g_aig,1,565,117,66105,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd; flow=wreduce_abc_g_aig
ex269,ex269_udiv_binary_search_shiftadd_synth_preset,1,460,99,45540,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd; flow=synth_preset
ex269,ex269_udiv_binary_search_shiftadd_gt_guard_abc_g_aig,1,567,117,66339,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_gt_guard_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=abc_g_aig
ex269,ex269_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig,1,565,117,66105,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_gt_guard_wreduce_abc_g_aig.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=wreduce_abc_g_aig
ex269,ex269_udiv_binary_search_shiftadd_gt_guard_synth_preset,1,447,97,43359,student/work/ex266_ex267_ex269_frontend_udiv_binary_search_20260609_1240/ex269/aigs/ex269_udiv_binary_search_shiftadd_gt_guard_synth_preset.aig,unsigned low8_high8:a/b dbz=max exact; source=binary_search_shiftadd_gt_guard; flow=synth_preset
