round,run_id,agent_id,case,domain,candidate_id,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,area,delay,adp,reference_adp,current_adp,frontend_best_adp,notes,evaluate_status,status,output_dir,runtime_sec
,,sub-fp8-mid-r75,ex245,float_fp8,ex245_r75_zero_pair_shell,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/verilog/ex245_r75_zero_pair_shell.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/aigs/ex245_r75_zero_pair_shell.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/logs/ex245_r75_zero_pair_shell.evaluate.py.log,,1,734,35,25690,,,,official evaluate.py OK; synth_sec=1.119; eval_sec=0.765,,,,
,,sub-fp8-mid-r75,ex245,float_fp8,ex245_r75_po_clustered_gapclass,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/verilog/ex245_r75_po_clustered_gapclass.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/aigs/ex245_r75_po_clustered_gapclass.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-mid-r75/ex245/logs/ex245_r75_po_clustered_gapclass.evaluate.py.log,,1,751,34,25534,,,,official evaluate.py OK; synth_sec=1.089; eval_sec=0.765,,,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_div_low2_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/verilog/ex247_r75_div_low2_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/aigs/ex247_r75_div_low2_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_div_low2_graft.evaluate.py.log,,0,,,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_div_low2_graft.yosys.log; eval_sec=0.443; total_sec=1.317,,,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_div_hi5_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/verilog/ex247_r75_div_hi5_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/aigs/ex247_r75_div_hi5_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_div_hi5_graft.evaluate.py.log,,0,,,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_div_hi5_graft.yosys.log; eval_sec=0.429; total_sec=1.403,,,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_shell_low2_cluster,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/verilog/ex247_r75_shell_low2_cluster.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/aigs/ex247_r75_shell_low2_cluster.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_shell_low2_cluster.evaluate.py.log,,1,367,24,8808,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_shell_low2_cluster.yosys.log; eval_sec=0.463; total_sec=0.793,,,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_shell_hi5_cluster,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/verilog/ex247_r75_shell_hi5_cluster.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/aigs/ex247_r75_shell_hi5_cluster.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_shell_hi5_cluster.evaluate.py.log,,1,367,24,8808,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex247/logs/ex247_r75_shell_hi5_cluster.yosys.log; eval_sec=0.461; total_sec=0.758,,,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_product_mant2_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/verilog/ex246_r75_product_mant2_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/aigs/ex246_r75_product_mant2_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_product_mant2_graft.evaluate.py.log,,0,,,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_product_mant2_graft.yosys.log; eval_sec=0.425; total_sec=1.109,,,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_product_exp5_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/verilog/ex246_r75_product_exp5_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/aigs/ex246_r75_product_exp5_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_product_exp5_graft.evaluate.py.log,,0,,,,,,,official evaluate.py NOT_EQUIV; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_product_exp5_graft.yosys.log; eval_sec=0.431; total_sec=0.989,,,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_shell_mant2_cluster,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/verilog/ex246_r75_shell_mant2_cluster.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/aigs/ex246_r75_shell_mant2_cluster.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_shell_mant2_cluster.evaluate.py.log,,1,355,24,8520,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_shell_mant2_cluster.yosys.log; eval_sec=0.465; total_sec=1.010,,,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_shell_exp5_cluster,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/verilog/ex246_r75_shell_exp5_cluster.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/aigs/ex246_r75_shell_exp5_cluster.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_shell_exp5_cluster.evaluate.py.log,,1,355,24,8520,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex246/logs/ex246_r75_shell_exp5_cluster.yosys.log; eval_sec=0.472; total_sec=0.968,,,,
,,sub-fp8-worst-r75,ex244,float_fp8,ex244_r75_delta_low2_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/verilog/ex244_r75_delta_low2_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/aigs/ex244_r75_delta_low2_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/logs/ex244_r75_delta_low2_graft.evaluate.py.log,,1,326,37,12062,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/logs/ex244_r75_delta_low2_graft.yosys.log; eval_sec=0.539; total_sec=0.823,,,,
,,sub-fp8-worst-r75,ex244,float_fp8,ex244_r75_delta_high5_graft,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/verilog/ex244_r75_delta_high5_graft.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/aigs/ex244_r75_delta_high5_graft.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/logs/ex244_r75_delta_high5_graft.evaluate.py.log,,1,325,37,12025,,,,official evaluate.py OK; yosys_log=student/work/frontend_source_parallel_round75_20260613_1507/sub-fp8-worst-r75/ex244/logs/ex244_r75_delta_high5_graft.yosys.log; eval_sec=0.493; total_sec=0.789,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig.evaluate.py.log,,1,92,15,1380,,,,official evaluate.py OK 92/15/1380; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d13,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel2.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d13.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d13.evaluate.py.log,,1,91,14,1274,,,,official evaluate.py OK 91/14/1274; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig.evaluate.py.log,,1,90,16,1440,,,,official evaluate.py OK 90/16/1440; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel3.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13.evaluate.py.log,,1,91,14,1274,,,,official evaluate.py OK 91/14/1274; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig.evaluate.py.log,,1,94,13,1222,,,,official evaluate.py OK 94/13/1222; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d13,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_baugh_wooley_wallace_csel4.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d13.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d13.evaluate.py.log,,1,95,15,1425,,,,official evaluate.py OK 95/15/1425; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_booth_radix4_csa_cla_abc_g_aig.evaluate.py.log,,1,102,16,1632,,,,official evaluate.py OK 102/16/1632; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/verilog/ex260_smul_booth_radix4_csa_cla.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/aigs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex260/logs/ex260_smul_booth_radix4_csa_cla_synth_preset_d13.evaluate.py.log,,1,102,16,1632,,,,official evaluate.py OK 102/16/1632; current frontend 1144; current overall 1066; reference 657,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig.evaluate.py.log,,1,153,12,1836,,,,official evaluate.py OK 153/12/1836; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10.evaluate.py.log,,1,148,11,1628,,,,official evaluate.py OK 148/11/1628; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig.evaluate.py.log,,1,155,12,1860,,,,official evaluate.py OK 155/12/1860; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10.evaluate.py.log,,1,148,12,1776,,,,official evaluate.py OK 148/12/1776; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_radix4_top2_shift.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_radix4_top2_shift_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_radix4_top2_shift_abc_g_aig.evaluate.py.log,,1,136,23,3128,,,,official evaluate.py OK 136/23/3128; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_synth_preset_d10,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_radix4_top2_shift.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_radix4_top2_shift_synth_preset_d10.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_radix4_top2_shift_synth_preset_d10.evaluate.py.log,,1,140,23,3220,,,,official evaluate.py OK 140/23/3220; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_abc_g_aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_shift_subtract_narrow_abc_g_aig.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_shift_subtract_narrow_abc_g_aig.evaluate.py.log,,1,89,28,2492,,,,official evaluate.py OK 89/28/2492; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_synth_preset_d10,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/verilog/ex266_udiv_shift_subtract_narrow.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/aigs/ex266_udiv_shift_subtract_narrow_synth_preset_d10.aig,,student/work/frontend_source_parallel_round75_20260613_1507/sub-integer-r75/ex266/logs/ex266_udiv_shift_subtract_narrow_synth_preset_d10.evaluate.py.log,,1,88,28,2464,,,,official evaluate.py OK 88/28/2464; current frontend 1480; current overall 1296; reference 848,,,,
,,sub-unknown-r75,ex297,unknown,ex297_r75_pairsel_uncond_sel2_midcluster,ex297|cyclic_2bit_cross_initial_po_cluster|unconditional_sel2_midcluster_on_pairsel|pairsel_template_plus_sel2_cluster_roots_no_branch_mux|yosys_internal_abc_g_aig|official_evaluate|mid_cell_cluster,student/work/frontend_source_parallel_round75_20260613_1507/sub-unknown-r75/ex297/verilog/ex297_r75_pairsel_uncond_sel2_midcluster.v,student/work/frontend_source_parallel_round75_20260613_1507/sub-unknown-r75/ex297/aigs/ex297_r75_pairsel_uncond_sel2_midcluster.aig,student/work/frontend_source_parallel_round75_20260613_1507/sub-unknown-r75/ex297/logs/ex297_r75_pairsel_uncond_sel2_midcluster.yosys.log,student/work/frontend_source_parallel_round75_20260613_1507/sub-unknown-r75/ex297/logs/ex297_r75_pairsel_uncond_sel2_midcluster.evaluate.py.log,,1,26617,16,425872,,,,"Material change from r74: selected cluster is substituted unconditionally per PO bit, not adjacent selector-state gating or pairxor cell-local mixing.; synth_sec=47.347",OK,official_ok,student/work/frontend_source_parallel_round75_20260613_1507/sub-unknown-r75/ex297/official_eval/ex297_r75_pairsel_uncond_sel2_midcluster,0.854
