round,run_id,agent_id,case,domain,candidate_id,hypothesis,representation,sharing_strategy,shared_structure,notes,estimated_shared_terms,source_modules,output_grouping
,,sub-fp8-mid-r75,ex245,float_fp8,ex245_r75_zero_pair_shell,E5M2FN packed add high byte plus low byte,explicit zero-pair shell around small-gap class formula,,shared sorted E5M2 field decode and same/diff active-region class formulas,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-mid-r75,ex245,float_fp8,ex245_r75_po_clustered_gapclass,E5M2FN packed add high byte plus low byte,PO-clustered exponent/mantissa output over gap-class source,,shared small-gap same/diff residual with separated output clusters,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_div_low2_graft,E5M2FN packed division low byte over high byte,ex247_r75_div_low2_graft,,denominator-bound region shell with low two quotient bits grafted from an exact delta/sigpair cluster table,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_div_hi5_graft,E5M2FN packed division low byte over high byte,ex247_r75_div_hi5_graft,,denominator-bound region shell with high five quotient bits grafted from an exact delta/sigpair cluster table,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_shell_low2_cluster,E5M2FN packed division low byte over high byte,ex247_r75_shell_low2_cluster,,denominator-bound region shell with low two quotient bits isolated as an explicit local cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex247,float_fp8,ex247_r75_shell_hi5_cluster,E5M2FN packed division low byte over high byte,ex247_r75_shell_hi5_cluster,,denominator-bound region shell with high five quotient bits isolated as an explicit local cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_product_mant2_graft,E5M2FN packed multiply high byte times low byte,ex246_r75_product_mant2_graft,,seed12 product shell with mantissa bits grafted from an exact product-key output cluster table,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_product_exp5_graft,E5M2FN packed multiply high byte times low byte,ex246_r75_product_exp5_graft,,seed12 product shell with exponent bits grafted from an exact product-key output cluster table,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_shell_mant2_cluster,E5M2FN packed multiply high byte times low byte,ex246_r75_shell_mant2_cluster,,seed12 product shell with mantissa output isolated as an explicit local cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex246,float_fp8,ex246_r75_shell_exp5_cluster,E5M2FN packed multiply high byte times low byte,ex246_r75_shell_exp5_cluster,,seed12 product shell with exponent output isolated as an explicit local cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex244,float_fp8,ex244_r75_delta_low2_graft,"E4M3FN packed hypot abs(high),abs(low)",ex244_r75_delta_low2_graft,,known max-eff delta shell with low two output bits rebuilt by a bounded saturating-add cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-fp8-worst-r75,ex244,float_fp8,ex244_r75_delta_high5_graft,"E4M3FN packed hypot abs(high),abs(low)",ex244_r75_delta_high5_graft,,known max-eff delta shell with high five magnitude bits rebuilt by a bounded saturating-add cluster,"source-level output-cluster hybrid, not post-AIG crossover",,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel2_abc_g_aig,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group2,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel2_synth_preset_d13,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group2,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel3_abc_g_aig,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group3,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel3_synth_preset_d13,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group3,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_abc_g_aig,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group4,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_baugh_wooley_wallace_csel4_synth_preset_d13,signed low4_high4:a*b,Baugh-Wooley partial-product compressor with carry-select final merge group4,,shared complemented sign row/column partial products plus carry-select suffix,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_abc_g_aig,signed low4_high4:a*b,radix-4 Booth rows with CSA and CLA final merge,,shared Booth recoder and +/-a/+/-2a partial products,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex260,integer,ex260_smul_booth_radix4_csa_cla_synth_preset_d13,signed low4_high4:a*b,radix-4 Booth rows with CSA and CLA final merge,,shared Booth recoder and +/-a/+/-2a partial products,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,"{b[4:3],a[4]} cofactor quotient classifier with complemented local BDD wordmux",,shared magnitude cofactor selector and one quotient-word mux,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_comp_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,"{b[4:3],a[4]} cofactor quotient classifier with complemented local BDD wordmux",,shared magnitude cofactor selector and one quotient-word mux,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_abc_g_aig,unsigned low5_high5:a/b dbz=max,"{b[4:3],a[4]} cofactor quotient classifier with tree local BDD wordmux",,shared magnitude cofactor selector and one quotient-word mux,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_ex266_cof_bhi2_a4_tree_wordmux_synth_preset_d10,unsigned low5_high5:a/b dbz=max,"{b[4:3],a[4]} cofactor quotient classifier with tree local BDD wordmux",,shared magnitude cofactor selector and one quotient-word mux,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_abc_g_aig,unsigned low5_high5:a/b dbz=max,radix-4 top-two quotient digit shift/subtract recurrence,,shared shifted divisor trial subtract states,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_radix4_top2_shift_synth_preset_d10,unsigned low5_high5:a/b dbz=max,radix-4 top-two quotient digit shift/subtract recurrence,,shared shifted divisor trial subtract states,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_abc_g_aig,unsigned low5_high5:a/b dbz=max,narrow shift/subtract quotient recurrence,,shared serial remainder and trial subtract chain,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,sub-integer-r75,ex266,integer,ex266_udiv_shift_subtract_narrow_synth_preset_d10,unsigned low5_high5:a/b dbz=max,narrow shift/subtract quotient recurrence,,shared serial remainder and trial subtract chain,source-only candidate; no standalone ABC/remap from existing AIG,,,
,,,ex297,,ex297_r75_pairsel_uncond_sel2_midcluster,,,,r73 pairsel cell/bit descriptors plus r73 selector-2 cluster roots,"Material change from r74: selected cluster is substituted unconditionally per PO bit, not adjacent selector-state gating or pairxor cell-local mixing.; synth_sec=47.347",,unconditional selected PO cluster source substitution,mid_cell_cluster
,,,ex297,,ex297_r75_pairsel_uncond_sel2_dualcluster,,,,r73 pairsel descriptor with selector-cluster roots for bits 8..11,"Material change from r74: broadens output grouping by PO ownership, not selector 2/3 gating.; synth_sec=44.937",,unconditional dual PO cluster source substitution,dual_mid_cell_clusters
,,,ex299,,ex299_r75_sel2_uncond_pairsel_tailcluster,,,,r73 selector-cluster BDD plus pairsel tail roots,Material change from r74: unconditional PO-tail ownership instead of pairxor pairsel hybrid.; synth_sec=214.563,,sel2 source with pairsel tail cluster substitution,tail_cell_cluster
,,,ex299,,ex299_r75_sel2_uncond_pairsel_lowtail,,,,r73 selector-cluster BDD plus pairsel edge roots,"Material change from r74: edge PO ownership, no adjacent selector overlay and no pairxor predicate.; synth_sec=189.904",,sel2 source with pairsel edge-cluster substitution,edge_cell_clusters
,,,ex285,,ex285_r75_tree_symcof_edge_routebits,,,,decision-tree source plus swap-symmetry cofactor roots,"Material change from r74: not a popcount-3 overlay and not raw outerkey BDD; uses route-descriptor roots as unconditional PO roots.; synth_sec=7.992; alt_bits=0,3,8,11",,decision-tree base with selected symcof route edge roots,edge_route_bits
,,,ex285,,ex285_r75_tree_delta_lane_bits,,,,decision-tree source plus input-xor-delta shared BDD roots,"Second family for ex285: delta-coordinate roots rather than symcof edge roots.; synth_sec=8.425; alt_bits=1,5,6,10",,decision-tree base with selected delta-coordinate lane roots,lane_route_bits
,,,ex288,,ex288_r75_keybdd_delta_lane_bits,,,,key-BDD symcof source plus delta-coordinate shared BDD roots,"Material change from r74: no popcount-3 overlay; substitutes route-coordinate roots by PO class.; synth_sec=3.208; alt_bits=2,6,8,12",,key-BDD current base with selected delta-coordinate lane roots,lane_route_bits
,,,ex288,,ex288_r75_keybdd_symcof_edge_bits,,,,key-BDD selected-bit source plus multipair symcof roots,"Second family for ex288: multipair symcof roots rather than delta-coordinate roots.; synth_sec=4.108; alt_bits=0,4,10,14",,key-BDD current base with selected multipair symcof edge roots,edge_route_bits
