case,domain,agent_id,frontend_best_adp,frontend_best_area,frontend_best_delay,reference_adp,ratio_to_reference,frontend_best_run,candidate_id,method_signature
ex290,unknown,unknown-b-r6,61992,4428,14,42328,1.464562,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,ex290_rotate_high_split_default_abc_g_aig,ex290|frontend|frontend_current_synthflow
ex291,unknown,unknown-b-r6,97545,6503,15,66850,1.459162,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,ex291_rotate_high_split_default_synth_preset,ex291|frontend|frontend_current_synthflow
ex292,unknown,unknown-b-r6,142170,6770,21,84854,1.675466,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,ex292|frontend|frontend_bdd_synthflow
ex293,unknown,unknown-b-r6,144972,8054,18,112966,1.283324,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,ex293_rotate_low_split_default_synth_preset,ex293|frontend|frontend_current_synthflow
ex294,unknown,unknown-b-r6,246698,10726,23,133365,1.849796,ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset,ex294|frontend|frontend_bdd_synthflow
ex295,unknown,unknown-b-r6,138448,8653,16,68064,2.034086,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex295_low_split_default_abc_g_aig,ex295|frontend|frontend_current_synthflow
ex296,unknown,unknown-b-r6,143792,8987,16,104025,1.382283,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,ex296_high_split_default_abc_g_aig,ex296|frontend|frontend_current_synthflow
ex297,unknown,unknown-b-r6,583596,32422,18,225900,2.583426,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex297_low_split_default_abc_g_aig,ex297|frontend|frontend_current_synthflow
ex298,unknown,unknown-b-r6,645639,33981,19,442296,1.459744,ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320,ex298_rotate_high_split_default_synth_preset,ex298|frontend|frontend_current_synthflow
ex299,unknown,unknown-b-r6,2604734,118397,22,1013807,2.569260,ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350,ex299_high_split_default_abc_g_aig,ex299|frontend|frontend_current_synthflow
ex256,integer,integer-r6,2844,158,18,1911,1.488226,ex200_ex299_frontend_parallel_shared_20260612_1422,ex256_current_frontend_replay_post_dch,ex256|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|CSA_AND-row_CLA_replay_from_current_frontend_best|existing_shared_partial_products_and_CLA_final_carry|post_dch|unsigned_low5_high5_multiply|full_product_word
ex260,integer,integer-r6,1144,88,13,657,1.741248,ex260_ex263_frontend_smul_constfa_signbit_20260609_0638,ex260_smul_baugh_wooley_wallace_rev_hcla4_abc_g_aig,ex260|frontend|frontend_smul_constfa_signbit
ex261,integer,integer-r6,2952,164,18,2041,1.446350,ex260_ex261_ex264_frontend_smul_baugh_rows_smoke_20260609_0558,ex261_smul_baugh_wooley_wallace_hcla4_abc_g_aig,ex261|frontend|frontend_smul_baugh_rows_smoke
ex266,integer,integer-r6,1480,148,10,848,1.745283,ex266_frontend_udiv_best_wordmux_flow_20260609_1204,ex266_udiv_ex266_cof_bhi2_a4_bitbdd_wordmux_synth_preset_d18,ex266|frontend|frontend_udiv_best_wordmux_flow
ex270,integer,integer-r6,3230,190,17,2076,1.555877,ex200_ex299_frontend_parallel_shared_20260612_1422,ex270_current_frontend_replay_post_dch,ex270|current_best_frontend_source_may_need_a_fixed_post-synthesis_rewrite|triangular_square_Wallace_csel5_replay_from_current_frontend_best|existing_shared_cross_terms_and_square_compressor_rows|post_dch|unsigned_square_x*x|full_square_word
ex276,integer,integer-r6,1010,101,10,632,1.598101,ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656,ex276_isqrt_prefix4_ge_bitwise_synth_preset,ex276|frontend|frontend_isqrt_newbest_gateflow
ex277,integer,integer-r6,2844,237,12,1980,1.436364,ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618,ex277_isqrt_cofbdd4_reverse_synth_preset,ex277|frontend|frontend_isqrt_prefix_delta
ex200,bf16,bf16-r6,54405,3627,15,40052,1.358359,ex200_ex299_frontend_refgap_round2_20260612_1512,ex200_bf16_sparse_residual_hilo3_abc_g_aig,ex200|bf16_exp_sparse_residual_compression|sparse_signexp_hilo3_residual_defaults|shared_sign_exp_decode_per_hi_sparse_residual|yosys_abc_g_aig|abc_xf_official_evaluate|full_word_sparse_signexp_hilo
ex204,bf16,bf16-r6,25670,1510,17,15180,1.691041,ex200_ex299_frontend_parallel_shared_20260612_1422,ex204_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_gates,ex204|bf16_log2_arithbase_delta_correction|mantissa_hilo_grouped_lut|shared exponent/mantissa delta base plus selected output-bit correction|yosys_abc_g_gates|DAZ+log2+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides
ex205,bf16,bf16-r6,71104,4444,16,47128,1.508742,ex200_ex299_frontend_parallel_shared_20260612_1422,ex205_sep_fields_e3_m3_s0_bits_15_bh1_abc_g_aig,ex205|bf16_log10_field_decode|current_frontend_seed_copy|shared sign/exponent/mantissa field decode plus sign predicate|yosys_abc_g_aig|DAZ+log10+BF16_RNE+FTZ+canonical_NaN|grouped word output with selected-bit overrides
