case,output_bit,order_name,input_width,output_width,selected_features,key_width,mapped_keys,on_keys,off_keys,sampled_on_keys,best_cube_on_cover,best_cube_literals,best_cube_free_bits,avg_sample_cover,cube_count_lower_bound
ex288,3,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,70.543,16
ex288,4,lsb,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,256,216,6,10,33.922,32
ex288,4,msb,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,256,144,6,10,35.281,48
ex288,4,middle,15,15,raw13:raw10:xor6_7,16,13824,6823,7001,256,216,6,10,40.355,32
ex288,5,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,49.344,16
ex288,5,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,288,5,11,50.375,24
ex288,5,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,60.461,16
ex288,6,lsb,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,256,108,7,9,31.586,64
ex288,6,msb,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,256,216,6,10,37.043,32
ex288,6,middle,15,15,raw13:raw10:xor6_7,16,13824,6829,6995,256,216,6,10,42.887,32
ex288,7,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,576,4,12,180.820,12
ex288,7,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,576,4,12,169.453,12
ex288,7,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,576,4,12,197.344,12
ex288,8,lsb,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,256,216,6,10,41.520,33
ex288,8,msb,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,256,216,6,10,44.512,33
ex288,8,middle,15,15,raw13:raw10:xor6_7,16,13824,7013,6811,256,216,6,10,45.070,33
ex288,9,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,61.910,16
ex288,9,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,55.602,16
ex288,9,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,63.957,16
ex288,10,lsb,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,256,216,6,10,42.113,33
ex288,10,msb,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,256,216,6,10,43.539,33
ex288,10,middle,15,15,raw13:raw10:xor6_7,16,13824,7010,6814,256,216,6,10,46.812,33
ex288,11,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,63.293,16
ex288,11,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,52.922,16
ex288,11,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,75.199,16
ex288,12,lsb,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,256,216,6,10,45.535,33
ex288,12,msb,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,256,216,6,10,41.336,33
ex288,12,middle,15,15,raw13:raw10:xor6_7,16,13824,7001,6823,256,216,6,10,54.051,33
ex288,13,lsb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,53.137,16
ex288,13,msb,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,288,5,11,56.969,24
ex288,13,middle,15,15,raw13:raw10:xor6_7,16,13824,6912,6912,256,432,5,11,73.957,16
ex288,14,lsb,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,256,216,6,10,45.039,33
ex288,14,msb,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,256,216,6,10,42.270,33
ex288,14,middle,15,15,raw13:raw10:xor6_7,16,13824,6995,6829,256,216,6,10,52.027,33
