case,model,missing_policy,order_name,order_fields,input_width,output_width,field_count,bucket_count,selected_features,mapped_keys,domain_space,terminal_count,nonterm_nodes,total_nodes,max_width,width_profile,valid_exact,trace
ex287,word,reuse_first,entropy_asc,cnt4:cnt0:cnt2:cnt5:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12:cnt1:cnt3:cnt6,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2609,5403,8012,2673,1:5:20:60:108:130:198:192:672:1344:2673,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
ex287,bit_shared,reuse_first,entropy_asc,cnt4:cnt0:cnt2:cnt5:sel0_xor6_7:sel1_xor8_9:sel2_raw13:sel3_raw12:cnt1:cnt3:cnt6,14,14,11,7,xor6_7:xor8_9:raw13:raw12,6912,23040,2,6583,6585,1663,14:70:280:777:1442:1332:1663:855:136:12:2,1,base::5617:1440;add:xor6_7:7493:2304;add:xor8_9:9615:3456;add:raw13:12341:5184;add:raw12:16384:6912
ex288,word,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,15,15,12,9,raw13:raw10:xor6_7,13824,36864,6734,13006,19740,4418,1:2:6:12:48:96:384:1152:2302:2302:2283:4418,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex288,bit_shared,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8:sel0_raw13:sel1_raw10:sel2_xor6_7,15,15,12,9,raw13:raw10:xor6_7,13824,36864,2,11223,11225,4806,15:28:86:172:664:928:2672:4806:1730:108:12:2,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex288,word,reuse_first,selectors_then_counts,sel0_raw13:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8,15,15,12,9,raw13:raw10:xor6_7,13824,36864,6734,11090,17824,6115,1:2:4:8:16:48:96:192:384:1152:3072:6115,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex288,bit_shared,reuse_first,selectors_then_counts,sel0_raw13:sel1_raw10:sel2_xor6_7:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:cnt8,15,15,12,9,raw13:raw10:xor6_7,13824,36864,2,6006,6008,2033,15:30:60:120:224:688:1348:2033:1276:198:12:2,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex288,word,reuse_first,entropy_asc,cnt3:cnt5:cnt1:cnt6:cnt4:cnt0:sel1_raw10:cnt8:sel0_raw13:cnt2:cnt7:sel2_xor6_7,15,15,12,9,raw13:raw10:xor6_7,13824,36864,6734,13553,20287,4602,1:4:16:48:144:288:288:864:576:2304:4602:4418,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex288,bit_shared,reuse_first,entropy_asc,cnt3:cnt5:cnt1:cnt6:cnt4:cnt0:sel1_raw10:cnt8:sel0_raw13:cnt2:cnt7:sel2_xor6_7,15,15,12,9,raw13:raw10:xor6_7,13824,36864,2,14775,14777,3858,15:60:224:678:1890:2503:3040:3858:2317:176:12:2,1,base::12804:4608;add:raw13:18880:6912;add:raw10:24860:9216;add:xor6_7:32768:13824
ex289,word,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_xor10_11:sel1_xor6_7:sel2_raw15:sel3_raw14,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,7045,16195,23240,4860,1:2:4:20:60:300:896:1786:1882:2890:3494:4860,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
ex289,bit_shared,reuse_first,counts_then_selectors,cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7:sel0_xor10_11:sel1_xor6_7:sel2_raw15:sel3_raw14,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,2,17142,17144,6467,16:32:48:240:716:2805:6467:4700:1900:204:12:2,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
ex289,word,reuse_first,selectors_then_counts,sel0_xor10_11:sel1_xor6_7:sel2_raw15:sel3_raw14:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,7045,12675,19720,7004,1:2:4:8:16:32:64:192:512:1320:3520:7004,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
ex289,bit_shared,reuse_first,selectors_then_counts,sel0_xor10_11:sel1_xor6_7:sel2_raw15:sel3_raw14:cnt0:cnt1:cnt2:cnt3:cnt4:cnt5:cnt6:cnt7,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,2,5844,5846,2388,16:32:64:128:256:504:732:1512:2388:198:12:2,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
ex289,word,reuse_first,entropy_asc,cnt4:cnt2:cnt3:cnt5:sel0_xor10_11:sel1_xor6_7:cnt7:cnt1:sel2_raw15:cnt0:cnt6:sel3_raw14,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,7045,16275,23320,5608,1:5:25:75:135:207:513:1026:1012:2808:5608:4860,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
ex289,bit_shared,reuse_first,entropy_asc,cnt4:cnt2:cnt3:cnt5:sel0_xor10_11:sel1_xor6_7:cnt7:cnt1:sel2_raw15:cnt0:cnt6:sel3_raw14,16,16,12,8,xor10_11:xor6_7:raw15:raw14,20736,57600,2,19374,19376,5664,16:80:388:1096:2094:3110:4374:5664:2316:222:12:2,1,base::19210:3600;add:xor10_11:26110:5760;add:xor6_7:36032:9216;add:raw15:45394:13824;add:raw14:65536:20736
