case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex265,ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig,1,70,9,630,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d12,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d12.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d12
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,71,8,568,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,1,63,8,504,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d8,1,63,8,504,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10,1,63,8,504,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex265,ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d12,1,63,8,504,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex265/aigs/ex265_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low4_high4:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig,1,332,16,5312,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,332,16,5312,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset,1,332,17,5644,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8,1,332,17,5644,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10,1,332,17,5644,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12,1,332,17,5644,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi1_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi1_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig,1,338,14,4732,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,338,14,4732,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset,1,328,14,4592,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8,1,328,14,4592,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10,1,328,14,4592,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d12,1,328,14,4592,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi1_bitbdd_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig,1,348,14,4872,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_wreduce_abc_g_aig,1,348,14,4872,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset,1,333,14,4662,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d8,1,333,14,4662,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d8.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d8
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d10,1,333,14,4662,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d12,1,333,14,4662,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi2_ahi2_bitbdd_wordmux_synth_preset_d12.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi2_ahi2_bitbdd_wordmux; flow=synth_preset_d12
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig,1,347,14,4858,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=abc_g_aig
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig,1,347,14,4858,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=wreduce_abc_g_aig
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset,1,326,14,4564,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d8,1,326,14,4564,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d8.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d8
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10,1,326,14,4564,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d10.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d10
ex267,ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d12,1,326,14,4564,student/work/ex265_ex267_frontend_udiv_cofactor_transfer_20260609_1222/ex267/aigs/ex267_udiv_cof_bhi3_ahi1_bitbdd_wordmux_synth_preset_d12.aig,unsigned low6_high6:a/b dbz=max exact; source=cof_bhi3_ahi1_bitbdd_wordmux; flow=synth_preset_d12
