case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex273,ex273_square_hybrid_bdd_mid4_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid4+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_mid4_abc_g_aig.aig,1,1,1,1842,35,64470,15078,4.275766,0,0,1.094,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_mid4; flow=abc_g_aig
ex273,ex273_square_hybrid_bdd_top4_mid2_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/verilog/ex273_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex273/aigs/ex273_square_hybrid_bdd_top4_mid2_synth_preset.aig,1,1,1,1621,31,50251,15078,3.332736,0,0,1.309,square_specific_structural_rtl,exact unsigned 14-bit square x*x over 16384 inputs; source=square_hybrid_bdd_top4_mid2; flow=synth_preset
ex274,ex274_square_hybrid_bdd_mid4_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid4+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid4_abc_g_aig.aig,1,1,1,2360,42,99120,21630,4.582524,0,0,3.892,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid4; flow=abc_g_aig
ex274,ex274_square_hybrid_bdd_mid4_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid4_wreduce_abc_g_aig.aig,1,1,1,2360,42,99120,21630,4.582524,0,0,3.951,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid4; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bdd_mid4_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_mid4+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid4.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid4_synth_preset.aig,1,1,1,2282,42,95844,21630,4.431068,0,0,4.287,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid4; flow=synth_preset
ex274,ex274_square_hybrid_bdd_mid6_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid6+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid6_abc_g_aig.aig,1,1,1,4930,39,192270,21630,8.889043,0,0,4.789,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid6; flow=abc_g_aig
ex274,ex274_square_hybrid_bdd_mid6_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_mid6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid6_wreduce_abc_g_aig.aig,1,1,1,4936,38,187568,21630,8.671660,0,0,4.840,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid6; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bdd_mid6_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_mid6+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_mid6.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_mid6_synth_preset.aig,1,1,1,4787,37,177119,21630,8.188581,0,0,5.663,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_mid6; flow=synth_preset
ex274,ex274_square_hybrid_bdd_top2_mid2_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top2_mid2_abc_g_aig.aig,1,1,1,2145,42,90090,21630,4.165049,0,0,3.821,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top2_mid2; flow=abc_g_aig
ex274,ex274_square_hybrid_bdd_top2_mid2_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top2_mid2_wreduce_abc_g_aig.aig,1,1,1,2147,43,92321,21630,4.268192,0,0,3.849,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top2_mid2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bdd_top2_mid2_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_top2_mid2+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top2_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top2_mid2_synth_preset.aig,1,1,1,2097,42,88074,21630,4.071845,0,0,4.241,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top2_mid2; flow=synth_preset
ex274,ex274_square_hybrid_bdd_top4_mid2_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top4_mid2_abc_g_aig.aig,1,1,1,2169,40,86760,21630,4.011096,0,0,3.805,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top4_mid2; flow=abc_g_aig
ex274,ex274_square_hybrid_bdd_top4_mid2_wreduce_abc_g_aig,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top4_mid2_wreduce_abc_g_aig.aig,1,1,1,2154,40,86160,21630,3.983356,0,0,3.844,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top4_mid2; flow=wreduce_abc_g_aig
ex274,ex274_square_hybrid_bdd_top4_mid2_synth_preset,unsigned_square_x_times_x,square_hybrid_bdd_top4_mid2+synth_preset,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/verilog/ex274_square_hybrid_bdd_top4_mid2.v,student/work/ex273_ex274_frontend_square_midbdd_20260609_1758/ex274/aigs/ex274_square_hybrid_bdd_top4_mid2_synth_preset.aig,1,1,1,2117,40,84680,21630,3.914933,0,0,4.213,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=square_hybrid_bdd_top4_mid2; flow=synth_preset
