case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx3+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx3_abc_g_aig.aig,1,1,1,93,14,1302,657,1.981735,0,0,0.210,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx3; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_pfx5+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx5_synth_preset_d18.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.309,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.256,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.247,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.269,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_pfx6+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx6_synth_preset_d18.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.302,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_pfx8_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx8+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_abc_g_aig.aig,1,1,1,91,15,1365,657,2.077626,0,0,0.231,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_pfx8+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig.aig,1,1,1,91,15,1365,657,2.077626,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_pfx8+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d13.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.265,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_pfx8+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_pfx8_synth_preset_d18.aig,1,1,1,89,16,1424,657,2.167428,0,0,0.272,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_pfx8; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,1,1,1,92,13,1196,657,1.820396,0,0,0.258,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.231,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.291,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace_hcla4+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/verilog/ex260_smul_baugh_wooley_wallace_hcla4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex260/aigs/ex260_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,1,1,1,92,14,1288,657,1.960426,0,0,0.279,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx3_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx3+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx3_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.263,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx3; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx3+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx3_wreduce_abc_g_aig.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.279,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx3; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx3_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx3+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx3_synth_preset_d13.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.306,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx3_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_pfx3+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx3.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx3_synth_preset_d18.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.327,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx3; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_abc_g_aig.aig,1,1,1,161,19,3059,2041,1.498775,1,0,0.264,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_wreduce_abc_g_aig.aig,1,1,1,163,19,3097,2041,1.517393,0,0,0.275,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d13.aig,1,1,1,163,19,3097,2041,1.517393,0,0,0.301,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_pfx4+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx4.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx4_synth_preset_d18.aig,1,1,1,163,19,3097,2041,1.517393,0,0,0.353,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx4; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx5_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx5+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx5_abc_g_aig.aig,1,1,1,161,19,3059,2041,1.498775,1,0,0.282,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx5; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx5+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx5_wreduce_abc_g_aig.aig,1,1,1,163,20,3260,2041,1.597256,0,0,0.285,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx5; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx5_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx5+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx5_synth_preset_d13.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.369,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx5_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_pfx5+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx5.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx5_synth_preset_d18.aig,1,1,1,161,20,3220,2041,1.577658,0,0,0.351,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx5; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.256,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.252,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=wreduce_abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+synth_preset_d13,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d13.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.303,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d13
ex261,ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d18,signed low5_high5:a*b,baugh_wooley_wallace_pfx6+synth_preset_d18,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx6.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx6_synth_preset_d18.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.305,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx6; flow=synth_preset_d18
ex261,ex261_smul_baugh_wooley_wallace_pfx8_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx8+abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx8_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.269,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx8; flow=abc_g_aig
ex261,ex261_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig,signed low5_high5:a*b,baugh_wooley_wallace_pfx8+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/verilog/ex261_smul_baugh_wooley_wallace_pfx8.v,student/work/ex260_ex264_frontend_smul_prefix_merge_20260609_0552/ex261/aigs/ex261_smul_baugh_wooley_wallace_pfx8_wreduce_abc_g_aig.aig,1,1,1,156,21,3276,2041,1.605096,0,0,0.248,semantic_signed_mul_exact,exact signed low5 * signed high5 over 1024 inputs; source=baugh_wooley_wallace_pfx8; flow=wreduce_abc_g_aig
