case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex225,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",196560,10920,18,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,215764,ex223_ex299_frontend_parallel_deep_20260614_0943,196560,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,116676,79884,1.684665,frontend_high,rethink high-level description and shared-structure RTL
ex226,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",607536,33752,18,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,733832,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,607536,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,587790,19746,1.033594,backend_close,case is close; prefer backend micro-optimization
ex227,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",729144,40508,18,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,893838,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,729144,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,721639,7505,1.010400,backend_close,case is close; prefer backend micro-optimization
ex228,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",108868,6404,17,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,132540,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,108868,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,101205,7663,1.075718,backend_close,case is close; prefer backend micro-optimization
ex229,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",50070,3338,15,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,63312,ex204_ex299_frontend_continuation_20260614_1216,50070,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,57968,-7898,0.863752,already_beat_or_low_priority,do not spend frontend time unless polishing
ex230,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",118133,6949,17,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,139380,ex230_ex231_ex234_frontend_fp16_oldrows_abcg_20260607_1853,118133,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,108320,9813,1.090593,backend_more_first,case is close enough for targeted backend
ex231,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",13325,1025,13,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,16282,ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027,13325,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,14066,-741,0.947320,already_beat_or_low_priority,do not spend frontend time unless polishing
ex232,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",14222,1094,13,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,16120,ex232_frontend_fp16_square_deep_attr_20260607_1940,14222,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,13392,830,1.061977,backend_close,case is close; prefer backend micro-optimization
ex233,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",18410,1315,14,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,22950,ex231_ex233_ex234_frontend_fp16_power_nested_synthflow_20260607_2027,18410,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,20174,-1764,0.912561,already_beat_or_low_priority,do not spend frontend time unless polishing
ex234,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",15408,1284,12,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,17892,ex204_ex299_frontend_continuation_20260614_1216,15408,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,15561,-153,0.990168,already_beat_or_low_priority,do not spend frontend time unless polishing
ex235,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",19922,1423,14,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,22792,ex235_ex237_ex239_frontend_fp16_direct_special_20260608_0924,19922,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,20800,-878,0.957788,already_beat_or_low_priority,do not spend frontend time unless polishing
ex236,fp16,"FP16 unary ops: same 20 operations as BF16, IEEE 754 half precision with DAZ+FTZ.",16471,1267,13,backend,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,21480,ex236_ex238_frontend_fp16_core_clamp_20260608_0953,16471,ex220_ex239_backend_portfolio_v3-ga_20260614_2316,17290,-819,0.952632,already_beat_or_low_priority,do not spend frontend time unless polishing
