case,domain,run_id,stage,method_hint,method_signature,case_scope,summary_csv,best_adp,source_root,path,notes
ex200,bf16,ex200_backend_portfolio_v1_abc_smoke_20260610_1706,backend,backend_portfolio_v1_abc_smoke,ex200|backend|backend_portfolio_v1_abc_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1706,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_abc_smoke_20260610_1712,backend,backend_portfolio_v1_abc_smoke,ex200|backend|backend_portfolio_v1_abc_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v1_abc_smoke_20260610_1712,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1658,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1658,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1702,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1702,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v1_seed_smoke_20260610_1710,backend,backend_portfolio_v1_seed_smoke,ex200|backend|backend_portfolio_v1_seed_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v1_seed_smoke_20260610_1710,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917,backend,backend_portfolio_v2_all_tools_smoke,ex200|backend|backend_portfolio_v2_all_tools_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v2_all_tools_smoke_20260610_1917,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142,backend,backend_portfolio_v2_final_deepsyn_skip_smoke,ex200|backend|backend_portfolio_v2_final_deepsyn_skip_smoke,ex200,,,student/work,student/work/ex200_backend_portfolio_v2_final_deepsyn_skip_smoke_20260610_2142,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_v3b_smoke_20260613_1430,backend,backend_v3b_smoke,ex200|backend|backend_v3b_smoke,ex200,,,student/work,student/work/ex200_backend_v3b_smoke_20260613_1430,auto-indexed from existing artifacts
ex200,bf16,ex200_backend_v3b_smoke_fix_20260613_1430,backend,backend_v3b_smoke_fix,ex200|backend|backend_v3b_smoke_fix,ex200,,,student/work,student/work/ex200_backend_v3b_smoke_fix_20260613_1430,auto-indexed from existing artifacts
ex200,bf16,ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917,backend,backend_portfolio_v2_seed_resume_smoke,ex200|backend|backend_portfolio_v2_seed_resume_smoke,"ex200,ex201,ex202",,,student/work,student/work/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v1_full_20260610_1738,backend,backend_portfolio_v1_full,ex200|backend|backend_portfolio_v1_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_portfolio_v1_full_20260610_1738,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,backend,backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,ex200|backend|backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753_curr,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v2_full_20260610_1950,backend,backend_portfolio_v2_full,ex200|backend|backend_portfolio_v2_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_portfolio_v2_full_20260610_1950,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_portfolio_v2_full_20260610_2152,backend,backend_portfolio_v2_full,ex200|backend|backend_portfolio_v2_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_portfolio_v2_full_20260610_2152,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3_ga_20260613_0956,backend,backend_v3_ga,ex200|backend|backend_v3_ga,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_v3_ga_20260613_0956,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,backend,backend_v3_ga_commandfix,ex200|backend|backend_v3_ga_commandfix,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_v3_ga_commandfix_20260613_1404,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3b_bounded_20260613_2237,backend,backend_v3b_bounded,ex200|backend|backend_v3b_bounded,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_v3b_bounded_20260613_2237,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3b_postpareto_20260613_1706,backend,backend_v3b_postpareto,ex200|backend|backend_v3b_postpareto,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_v3b_postpareto_20260613_1706,auto-indexed from existing artifacts
ex200,bf16,ex200_ex219_backend_v3b_postrefine_20260614_0116,backend,backend_v3b_postrefine,ex200|backend|backend_v3b_postrefine,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",,,student/work,student/work/ex200_ex219_backend_v3b_postrefine_20260614_0116,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_parallel_shared_20260612_1422,frontend,frontend_parallel_shared,ex200|frontend|frontend_parallel_shared,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_parallel_shared_20260612_1422,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round10_20260612_1911,frontend,frontend_refgap_round10,ex200|frontend|frontend_refgap_round10,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round10_20260612_1911,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round11_20260612_1944,frontend,frontend_refgap_round11,ex200|frontend|frontend_refgap_round11,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round11_20260612_1944,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round12_20260612_2015,frontend,frontend_refgap_round12,ex200|frontend|frontend_refgap_round12,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round12_20260612_2015,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round13_20260612_2045,frontend,frontend_refgap_round13,ex200|frontend|frontend_refgap_round13,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round13_20260612_2045,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round14_20260612_2150,frontend,frontend_refgap_round14,ex200|frontend|frontend_refgap_round14,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round14_20260612_2150,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round15_20260612_2211,frontend,frontend_refgap_round15,ex200|frontend|frontend_refgap_round15,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round15_20260612_2211,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round16_20260612_2233,frontend,frontend_refgap_round16,ex200|frontend|frontend_refgap_round16,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round16_20260612_2233,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round17_20260612_2300,frontend,frontend_refgap_round17,ex200|frontend|frontend_refgap_round17,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round17_20260612_2300,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round18_20260612_2321,frontend,frontend_refgap_round18,ex200|frontend|frontend_refgap_round18,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round18_20260612_2321,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round19_20260612_2346,frontend,frontend_refgap_round19,ex200|frontend|frontend_refgap_round19,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round19_20260612_2346,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round20_20260613_0015,frontend,frontend_refgap_round20,ex200|frontend|frontend_refgap_round20,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round20_20260613_0015,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round21_20260613_0040,frontend,frontend_refgap_round21,ex200|frontend|frontend_refgap_round21,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round21_20260613_0040,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round22_20260613_0218,frontend,frontend_refgap_round22,ex200|frontend|frontend_refgap_round22,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round22_20260613_0218,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round23_20260613_0317,frontend,frontend_refgap_round23,ex200|frontend|frontend_refgap_round23,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round23_20260613_0317,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round24_20260613_0435,frontend,frontend_refgap_round24,ex200|frontend|frontend_refgap_round24,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round24_20260613_0435,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round25_20260613_0506,frontend,frontend_refgap_round25,ex200|frontend|frontend_refgap_round25,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round25_20260613_0506_coordinator_bf16,frontend,frontend_refgap_round25_20260613_0506_coordinator_bf16,ex200|frontend|frontend_refgap_round25_20260613_0506_coordinator_bf16,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506_coordinator_bf16,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round26_20260613_0539,frontend,frontend_refgap_round26,ex200|frontend|frontend_refgap_round26,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round26_20260613_0539,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round27_20260613_0613,frontend,frontend_refgap_round27,ex200|frontend|frontend_refgap_round27,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round27_20260613_0613,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round2_20260612_1512,frontend,frontend_refgap_round2,ex200|frontend|frontend_refgap_round2,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round2_20260612_1512,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round3_20260612_1554,frontend,frontend_refgap_round3,ex200|frontend|frontend_refgap_round3,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round3_20260612_1554,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round4_20260612_1705,frontend,frontend_refgap_round4,ex200|frontend|frontend_refgap_round4,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round4_20260612_1705,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round5_20260612_1743,frontend,frontend_refgap_round5,ex200|frontend|frontend_refgap_round5,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round5_20260612_1743,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round6_20260612_1807,frontend,frontend_refgap_round6,ex200|frontend|frontend_refgap_round6,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round6_20260612_1807,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round8_20260612_1826,frontend,frontend_refgap_round8,ex200|frontend|frontend_refgap_round8,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round8_20260612_1826,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round9_20260612_1851,frontend,frontend_refgap_round9,ex200|frontend|frontend_refgap_round9,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round9_20260612_1851,auto-indexed from existing artifacts
ex200,bf16,ex200_ex299_frontend_refgap_round9_20260612_1855,frontend,frontend_refgap_round9,ex200|frontend|frontend_refgap_round9,"ex200,ex299",,,student/work,student/work/ex200_ex299_frontend_refgap_round9_20260612_1855,auto-indexed from existing artifacts
ex200,bf16,ex200_frontend_bf16_semantic_20260605_0748,frontend,frontend_bf16_semantic,ex200|frontend|frontend_bf16_semantic,ex200,,,student/work,student/work/ex200_frontend_bf16_semantic_20260605_0748,auto-indexed from existing artifacts
ex200,bf16,v3_ga_smoke_ex200_20260613_0845,backend,v3_ga_smoke_ex200,ex200|backend|v3_ga_smoke_ex200,ex200,,,student/work,student/work/v3_ga_smoke_ex200_20260613_0845,auto-indexed from existing artifacts
ex201,bf16,ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917,backend,backend_portfolio_v2_seed_resume_smoke,ex201|backend|backend_portfolio_v2_seed_resume_smoke,"ex200,ex201,ex202",student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv,21084,student/runs,student/runs/bf16/ex200_ex202_backend_portfolio_v2_seed_resume_smoke_20260610_1917/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_backend_portfolio_v1_full_20260610_1738,backend,backend_portfolio_v1_full,ex201|backend|backend_portfolio_v1_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv,21084,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v1_full_20260610_1738/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753,backend,backend_portfolio_v2_cycles3_jobs16,ex201|backend|backend_portfolio_v2_cycles3_jobs16,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,20410,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v2_cycles3_jobs16_20260611_0753/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_backend_portfolio_v2_full_20260610_2152,backend,backend_portfolio_v2_full,ex201|backend|backend_portfolio_v2_full,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv,19786,student/runs,student/runs/bf16/ex200_ex219_backend_portfolio_v2_full_20260610_2152/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_backend_v3_ga_20260613_0956,backend,backend_v3_ga,ex201|backend|backend_v3_ga,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv,19513,student/runs,student/runs/bf16/ex200_ex219_backend_v3_ga_20260613_0956/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_backend_v3_ga_commandfix_20260613_1404,backend,backend_v3_ga_commandfix,ex201|backend|backend_v3_ga_commandfix,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv,19617,student/runs,student/runs/bf16/ex200_ex219_backend_v3_ga_commandfix_20260613_1404/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex200_ex219_current,frontend,current,ex201|frontend|current,"ex200,ex201,ex202,ex203,ex204,ex205,ex206,ex207,ex208,ex209,ex210,ex211,ex212,ex213,ex214,ex215,ex216,ex217,ex218,ex219",student/runs/bf16/ex200_ex219_current/results/summary.csv,23058,student/runs,student/runs/bf16/ex200_ex219_current/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex201_ex204_frontend_aggressive_semantic_20260605_1139,frontend,frontend_aggressive_semantic,ex201|frontend|frontend_aggressive_semantic,"ex201,ex202,ex203,ex204",student/runs/bf16/ex201_ex204_frontend_aggressive_semantic_20260605_1139/results/summary.csv,23985,student/runs,student/runs/bf16/ex201_ex204_frontend_aggressive_semantic_20260605_1139/results/summary.csv,auto-indexed from existing artifacts
ex201,bf16,ex201_ex204_frontend_bf16_semantic_20260605_0924,frontend,frontend_bf16_semantic,ex201|frontend|frontend_bf16_semantic,"ex201,ex202,ex203,ex204",student/runs/bf16/ex201_ex204_frontend_bf16_semantic_20260605_0924/results/summary.csv,23985,student/runs,student/runs/bf16/ex201_ex204_frontend_bf16_semantic_20260605_0924/results/summary.csv,auto-indexed from existing artifacts
