case,domain,frontend_best_adp,frontend_best_area,frontend_best_delay,frontend_best_run,candidate_id,method_signature,hypothesis,representation,shared_structure,verilog_path,aig_path,equivalent,simulation_pass,evaluate_log,source_type,source_campaign,source_path,reference_adp,gap_to_reference,ratio_to_reference,last_update,notes
ex220,fp16,236588,10754,22,ex220_ex224_frontend_fp16_semantic_20260606_2050,ex220_fp16_exp_exp_mant_pair_case,ex220|frontend|frontend_fp16_semantic,,exp_mant_pair_case,,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/verilog/ex220_fp16_exp_exp_mant_pair_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex220/aigs/ex220_fp16_exp_exp_mant_pair_case.aig,1,,,official_frontend_run,,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/summary.csv,180404,56184,1.311434,auto,auto-indexed from student/runs frontend summary
ex221,fp16,122598,6811,18,ex204_ex299_frontend_continuation_20260614_1216,ex221_varying_signexp_nested_low10_hi5_abc_g_aig,ex221|fp16_exp2_field_shell|active_signexp_nested_low10_hi5|shared sign-exp decode plus high output run trees and low10 nested LUT|yosys_abc_g_aig|abc_xf_official_evaluate|active_signexp_low10_hi5,,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/verilog/ex221_varying_signexp_nested_low10_hi5.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/aigs/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.aig,1,,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex221/official_eval/ex221_varying_signexp_nested_low10_hi5_abc_g_aig/ex221_varying_signexp_nested_low10_hi5_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_continuation_20260614_1216,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/results/best_improvements.csv,105655,16943,1.160362,auto,"truth-derived active sign-exp nested low table; active_groups=31; special_const_groups=33; special_full_groups=0; special_items=33; low_width=10; nested_hi=5; nested_lo=5; low_items=20336; const_buckets=368; b15:runs=31,max=1,const_groups=31; b14:runs=32,max=2,const_groups=30; b13:runs=34,max=2,const_groups=28; b12:runs=38,max=3,const_groups=25; b11:runs=46,max=5,const_groups=23; b10:runs=58,max=8,const_groups=22; truth-derived source exact by construction; official_status=OK"
ex222,fp16,233530,10615,22,ex220_ex224_frontend_fp16_semantic_20260606_2050,ex222_fp16_exp10_positive_default_exp_mant_case,ex222|frontend|frontend_fp16_semantic,,positive_default_exp_mant_case,,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/verilog/ex222_fp16_exp10_positive_default_exp_mant_case.v,student/work/ex220_ex224_frontend_fp16_semantic_20260606_2050/ex222/aigs/ex222_fp16_exp10_positive_default_exp_mant_case.aig,1,,,official_frontend_run,,student/runs/fp16/ex220_ex224_frontend_fp16_semantic_20260606_2050/results/summary.csv,173621,59909,1.345056,auto,auto-indexed from student/runs frontend summary
ex223,fp16,200716,10564,19,ex223_ex299_frontend_parallel_deep_20260614_0943,ex223_catalog_source_d18_synth_preset_aig_d18,ex223|fp16_log|current_catalog_source_copied_into_shard_with_alternate_frontend_synthesis_flow|preserve_existing_shared_special_decode_and_mantissa_table/residual_predicates|synth_preset_aig_d18|abc_xf_official_evaluate|full_word,fp16_log,current catalog source copied into shard with alternate frontend synthesis flow,,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/verilog/ex223_catalog_source_d18.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/aigs/ex223_catalog_source_d18_synth_preset_aig_d18.aig,1,,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex223/official_eval/ex223_catalog_source_d18_synth_preset_aig_d18/ex223_catalog_source_d18_synth_preset_aig_d18.evaluate.py.log,new_seeds_current_frontend,ex223_ex299_frontend_parallel_deep_20260614_0943,student/frontend_campaigns/frontend_best_registry.csv,120549,80167,1.665016,auto,current best imported from verified student/new_seeds catalog
ex224,fp16,93072,5817,16,ex223_ex299_frontend_parallel_deep_20260614_0943,ex224_expbase_xor_low12_hi6_synth_preset_aig,ex224|fp16_log2|expbase_xor_nested_recut|expbase_xor_low12_hi6|shared_sign-exp_base_high_word_plus_exact_XOR_corrections_and_nested_low_LUT|synth_preset_aig|abc_xf_official_evaluate,fp16_log2,,shared sign-exp base high word plus exact XOR corrections and nested low LUT,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/verilog/ex224_r2_expbase_xor_low12_hi6.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/aigs/ex224_expbase_xor_low12_hi6_synth_preset_aig.aig,1,,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-r2-agent/ex224/official_eval/ex224_expbase_xor_low12_hi6_synth_preset_aig/ex224_expbase_xor_low12_hi6_synth_preset_aig.evaluate.py.log,campaign_best_improvement,ex223_ex299_frontend_parallel_deep_20260614_0943,student/frontend_campaigns/campaigns/ex223_ex299_frontend_parallel_deep_20260614_0943/results/best_improvements.csv,64708,28364,1.438338,auto,"shared exponent base high bits XOR exact mantissa corrections plus nested low LUT; special_const_groups=33; special_full_groups=1; special_items=1057; low_width=12; nested_hi=6; nested_lo=4; low_items=30720; b15:xor_runs=30,max=1,const=30; b14:xor_runs=31,max=2,const=29; b13:xor_runs=33,max=2,const=27; b12:xor_runs=36,max=4,const=27"
ex225,fp16,215764,11356,19,ex223_ex299_frontend_parallel_deep_20260614_0943,ex225_catalog_source_d18_synth_preset_aig_d18,ex225|fp16_log10|current_catalog_source_copied_into_shard_with_alternate_frontend_synthesis_flow|preserve_existing_shared_special_decode_and_mantissa_table/residual_predicates|synth_preset_aig_d18|abc_xf_official_evaluate|full_word,fp16_log10,current catalog source copied into shard with alternate frontend synthesis flow,,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/verilog/ex225_catalog_source_d18.v,student/work/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/aigs/ex225_catalog_source_d18_synth_preset_aig_d18.aig,1,,student/runs/fp16/ex223_ex299_frontend_parallel_deep_20260614_0943/fp16-agent/ex225/official_eval/ex225_catalog_source_d18_synth_preset_aig_d18/ex225_catalog_source_d18_synth_preset_aig_d18.evaluate.py.log,new_seeds_current_frontend,ex223_ex299_frontend_parallel_deep_20260614_0943,student/frontend_campaigns/frontend_best_registry.csv,116676,99088,1.849258,auto,current best imported from verified student/new_seeds catalog
ex226,fp16,733832,33356,22,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,ex226_positive_default_exp_mant_case_abc_g_aig,fp16_sin,fp16_sin,abc_g_aig,,student/work/reverse_fp16_semantic_20260604_1522/ex226/verilog/ex226_fp16_sin_positive_default_exp_mant_case.v,student/work/ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228/ex226/aigs/ex226_positive_default_exp_mant_case_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,student/frontend_campaigns/frontend_best_registry.csv,587790,146042,1.248459,auto,current best imported from verified student/new_seeds catalog
ex227,fp16,893838,40629,22,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,ex227_positive_default_exp_mant_case_abc_g_aig,fp16_tan,fp16_tan,abc_g_aig,,student/work/reverse_fp16_semantic_20260604_1522/ex227/verilog/ex227_fp16_tan_positive_default_exp_mant_case.v,student/work/ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228/ex227/aigs/ex227_positive_default_exp_mant_case_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,student/frontend_campaigns/frontend_best_registry.csv,721639,172199,1.238622,auto,current best imported from verified student/new_seeds catalog
ex228,fp16,132540,6627,20,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,ex228_semantic_sign_exp_field_defaults_abc_g_aig,fp16_sinh,fp16_sinh,abc_g_aig,,student/work/reverse_fp16_semantic_20260604_1522/ex228/verilog/ex228_fp16_sinh_semantic_sign_exp_field_defaults.v,student/work/ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228/ex228/aigs/ex228_semantic_sign_exp_field_defaults_abc_g_aig.aig,1,,,new_seeds_current_frontend,ex226_ex228_frontend_fp16_current_synthflow_fix_20260607_1228,student/frontend_campaigns/frontend_best_registry.csv,101205,31335,1.309619,auto,current best imported from verified student/new_seeds catalog
ex229,fp16,63312,3957,16,ex204_ex299_frontend_continuation_20260614_1216,ex229_odd_nested_low9_hi6_abc_g_aig,"ex229|fp16_tanh_odd_transition_shell|positive_exp_nested_low9_hi6|shared positive exp decode, high output run trees, and sign xor symmetry|yosys_abc_g_aig|abc_xf_official_evaluate|odd_positive_low9_hi6",,,,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/verilog/ex229_odd_nested_low9_hi6.v,student/work/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/aigs/ex229_odd_nested_low9_hi6_abc_g_aig.aig,1,,student/runs/fp16/ex204_ex299_frontend_continuation_20260614_1216/fp16-extra-r2/ex229/official_eval/ex229_odd_nested_low9_hi6_abc_g_aig/ex229_odd_nested_low9_hi6_abc_g_aig.evaluate.py.log,campaign_best_improvement,ex204_ex299_frontend_continuation_20260614_1216,student/frontend_campaigns/campaigns/ex204_ex299_frontend_continuation_20260614_1216/results/best_improvements.csv,57968,5344,1.092189,auto,odd tanh positive-domain nested active exps 1..17; pos_special_const_exp=14; pos_special_full_exp=1; pos_special_items=1038; pos_low_width=9; nested_hi=6; pos_low_items=16088; pos_b15_runs=17; pos_b14_runs=17; pos_b13_runs=17; pos_b12_runs=18; pos_b11_runs=20; pos_b10_runs=23; pos_b9_runs=37; python model exact; official_status=OK
