case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex266,ex266_udiv_denom_split_direct_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_split_direct+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_abc_g_aig.aig,1,1,1,97,26,2522,848,2.974057,0,0,0.342,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_smallcase_synth_preset,unsigned low5_high5:a/b dbz=max,denom_lz_range_smallcase+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_smallcase_synth_preset.aig,1,1,1,139,28,3892,848,4.589623,0,0,0.409,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex266,ex266_udiv_denom_lz_range_lowrestoring_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_lowrestoring+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,1,1,1,148,28,4144,848,4.886792,0,0,0.362,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,unsigned low5_high5:a/b dbz=max,denom_lz_range_lowrestoring+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,1,1,1,147,29,4263,848,5.027123,0,0,0.373,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex266,ex266_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low5_high5:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/verilog/ex266_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_synth_preset.aig,1,1,1,139,28,3892,848,4.589623,0,0,0.414,semantic_udiv_exact,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex267,ex267_udiv_denom_split_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_direct+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_abc_g_aig.aig,1,1,1,163,41,6683,2651,2.520935,0,0,0.400,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_split_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_direct+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_wreduce_abc_g_aig.aig,1,1,1,163,41,6683,2651,2.520935,0,0,0.403,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_direct_synth_preset,unsigned low6_high6:a/b dbz=max,denom_split_direct+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_synth_preset.aig,1,1,1,142,40,5680,2651,2.142588,0,0,0.378,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex267,ex267_udiv_denom_split_direct_gt_guard_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_direct_gt_guard+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,1,1,1,151,37,5587,2651,2.107507,0,0,0.406,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_split_direct_gt_guard+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,1,1,1,151,37,5587,2651,2.107507,0,0,0.410,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_direct_gt_guard_synth_preset,unsigned low6_high6:a/b dbz=max,denom_split_direct_gt_guard+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_split_direct_gt_guard.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_synth_preset.aig,1,1,1,138,41,5658,2651,2.134289,0,0,0.384,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_direct_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_direct+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_abc_g_aig.aig,1,1,1,144,39,5616,2651,2.118446,0,0,0.435,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_direct_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_direct+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,1,1,1,144,39,5616,2651,2.118446,0,0,0.434,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_direct_synth_preset,unsigned low6_high6:a/b dbz=max,denom_lz_range_direct+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_direct.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_synth_preset.aig,1,1,1,135,43,5805,2651,2.189740,0,0,0.392,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_smallcase_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_smallcase+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_abc_g_aig.aig,1,1,1,299,44,13156,2651,4.962656,0,0,0.634,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_smallcase+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,1,1,1,299,44,13156,2651,4.962656,0,0,0.643,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_smallcase_synth_preset,unsigned low6_high6:a/b dbz=max,denom_lz_range_smallcase+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_smallcase.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_synth_preset.aig,1,1,1,231,43,9933,2651,3.746888,0,0,0.484,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_lowrestoring_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_lowrestoring+abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,1,1,1,249,41,10209,2651,3.851000,0,0,0.428,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,unsigned low6_high6:a/b dbz=max,denom_lz_range_lowrestoring+wreduce_abc_g_aig,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,1,1,1,252,42,10584,2651,3.992456,0,0,0.442,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_lowrestoring_synth_preset,unsigned low6_high6:a/b dbz=max,denom_lz_range_lowrestoring+synth_preset,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/verilog/ex267_udiv_denom_lz_range_lowrestoring.v,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_synth_preset.aig,1,1,1,238,44,10472,2651,3.950207,0,0,0.491,semantic_udiv_exact,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
