case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex266,ex266_udiv_denom_split_direct_abc_g_aig,1,97,26,2522,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_split_direct_abc_g_aig.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex266,ex266_udiv_denom_lz_range_lowrestoring_synth_preset,1,139,28,3892,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex266/aigs/ex266_udiv_denom_lz_range_lowrestoring_synth_preset.aig,unsigned low5_high5:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
ex267,ex267_udiv_denom_split_direct_abc_g_aig,1,163,41,6683,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_split_direct_wreduce_abc_g_aig,1,163,41,6683,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_direct_synth_preset,1,142,40,5680,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct; flow=synth_preset
ex267,ex267_udiv_denom_split_direct_gt_guard_abc_g_aig,1,151,37,5587,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=abc_g_aig
ex267,ex267_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig,1,151,37,5587,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_split_direct_gt_guard_synth_preset,1,138,41,5658,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_split_direct_gt_guard_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_split_direct_gt_guard; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_direct_abc_g_aig,1,144,39,5616,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_direct_wreduce_abc_g_aig,1,144,39,5616,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_direct_synth_preset,1,135,43,5805,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_direct_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_direct; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_smallcase_abc_g_aig,1,299,44,13156,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig,1,299,44,13156,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_smallcase_synth_preset,1,231,43,9933,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_smallcase_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_smallcase; flow=synth_preset
ex267,ex267_udiv_denom_lz_range_lowrestoring_abc_g_aig,1,249,41,10209,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=abc_g_aig
ex267,ex267_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig,1,252,42,10584,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_wreduce_abc_g_aig.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=wreduce_abc_g_aig
ex267,ex267_udiv_denom_lz_range_lowrestoring_synth_preset,1,238,44,10472,student/work/ex266_ex267_frontend_udiv_lz_range_transfer_20260609_1020/ex267/aigs/ex267_udiv_denom_lz_range_lowrestoring_synth_preset.aig,unsigned low6_high6:a/b dbz=max exact; source=denom_lz_range_lowrestoring; flow=synth_preset
