case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex256,ex256_umul_direct_context_abc_g_aig_d18,unsigned low5_high5:a*b,direct_context+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_direct_context.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_direct_context_abc_g_aig_d18.aig,1,1,1,158,25,3950,1911,2.066981,0,0,0.207,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=direct_context; flow=abc_g_aig_d18
ex256,ex256_umul_balanced_rows_abc_g_aig_d28,unsigned low5_high5:a*b,balanced_rows+abc_g_aig_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_abc_g_aig_d28.aig,1,1,1,151,25,3775,1911,1.975406,0,0,0.248,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=abc_g_aig_d28
ex256,ex256_umul_balanced_rows_synth_preset_d18,unsigned low5_high5:a*b,balanced_rows+synth_preset_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d18.aig,1,1,1,152,23,3496,1911,1.829409,0,0,0.272,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d18
ex256,ex256_umul_balanced_rows_synth_preset_d20,unsigned low5_high5:a*b,balanced_rows+synth_preset_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d20.aig,1,1,1,152,23,3496,1911,1.829409,0,0,0.273,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d20
ex256,ex256_umul_balanced_rows_synth_preset_d24,unsigned low5_high5:a*b,balanced_rows+synth_preset_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d24.aig,1,1,1,152,23,3496,1911,1.829409,0,0,0.272,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d24
ex256,ex256_umul_balanced_rows_synth_preset_d28,unsigned low5_high5:a*b,balanced_rows+synth_preset_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_balanced_rows.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_balanced_rows_synth_preset_d28.aig,1,1,1,152,23,3496,1911,1.829409,0,0,0.275,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=balanced_rows; flow=synth_preset_d28
ex256,ex256_umul_csa_androws_abc_g_aig_d18,unsigned low5_high5:a*b,csa_androws+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d18.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.213,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d18
ex256,ex256_umul_csa_androws_abc_g_aig_d20,unsigned low5_high5:a*b,csa_androws+abc_g_aig_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d20.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.212,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d20
ex256,ex256_umul_csa_androws_abc_g_aig_d24,unsigned low5_high5:a*b,csa_androws+abc_g_aig_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d24.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.214,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d24
ex256,ex256_umul_csa_androws_abc_g_aig_d28,unsigned low5_high5:a*b,csa_androws+abc_g_aig_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_abc_g_aig_d28.aig,1,1,1,155,21,3255,1911,1.703297,0,0,0.209,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=abc_g_aig_d28
ex256,ex256_umul_csa_androws_synth_preset_d18,unsigned low5_high5:a*b,csa_androws+synth_preset_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d18.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.279,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d18
ex256,ex256_umul_csa_androws_synth_preset_d20,unsigned low5_high5:a*b,csa_androws+synth_preset_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d20.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.278,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d20
ex256,ex256_umul_csa_androws_synth_preset_d24,unsigned low5_high5:a*b,csa_androws+synth_preset_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d24.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.282,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d24
ex256,ex256_umul_csa_androws_synth_preset_d28,unsigned low5_high5:a*b,csa_androws+synth_preset_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_csa_androws.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_csa_androws_synth_preset_d28.aig,1,1,1,150,21,3150,1911,1.648352,0,0,0.279,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=csa_androws; flow=synth_preset_d28
ex256,ex256_umul_wallace_bits_abc_g_aig_d18,unsigned low5_high5:a*b,wallace_bits+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d18.aig,1,1,1,158,20,3160,1911,1.653585,0,0,0.257,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d18
ex256,ex256_umul_wallace_bits_abc_g_aig_d20,unsigned low5_high5:a*b,wallace_bits+abc_g_aig_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d20.aig,1,1,1,158,20,3160,1911,1.653585,0,0,0.249,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d20
ex256,ex256_umul_wallace_bits_abc_g_aig_d24,unsigned low5_high5:a*b,wallace_bits+abc_g_aig_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d24.aig,1,1,1,158,20,3160,1911,1.653585,0,0,0.252,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d24
ex256,ex256_umul_wallace_bits_abc_g_aig_d28,unsigned low5_high5:a*b,wallace_bits+abc_g_aig_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_abc_g_aig_d28.aig,1,1,1,158,20,3160,1911,1.653585,0,0,0.248,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=abc_g_aig_d28
ex256,ex256_umul_wallace_bits_synth_preset_d18,unsigned low5_high5:a*b,wallace_bits+synth_preset_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d18.aig,1,1,1,162,22,3564,1911,1.864992,0,0,0.305,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=synth_preset_d18
ex256,ex256_umul_wallace_bits_synth_preset_d20,unsigned low5_high5:a*b,wallace_bits+synth_preset_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d20.aig,1,1,1,162,22,3564,1911,1.864992,0,0,0.290,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=synth_preset_d20
ex256,ex256_umul_wallace_bits_synth_preset_d24,unsigned low5_high5:a*b,wallace_bits+synth_preset_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d24.aig,1,1,1,162,22,3564,1911,1.864992,0,0,0.289,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=synth_preset_d24
ex256,ex256_umul_wallace_bits_synth_preset_d28,unsigned low5_high5:a*b,wallace_bits+synth_preset_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_synth_preset_d28.aig,1,1,1,162,22,3564,1911,1.864992,0,0,0.288,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits; flow=synth_preset_d28
ex256,ex256_umul_wallace_bits_prefix_abc_g_aig_d18,unsigned low5_high5:a*b,wallace_bits_prefix+abc_g_aig_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_abc_g_aig_d18.aig,1,1,1,160,20,3200,1911,1.674516,0,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d18
ex256,ex256_umul_wallace_bits_prefix_abc_g_aig_d20,unsigned low5_high5:a*b,wallace_bits_prefix+abc_g_aig_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_abc_g_aig_d20.aig,1,1,1,160,20,3200,1911,1.674516,0,0,0.234,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d20
ex256,ex256_umul_wallace_bits_prefix_abc_g_aig_d24,unsigned low5_high5:a*b,wallace_bits_prefix+abc_g_aig_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_abc_g_aig_d24.aig,1,1,1,160,20,3200,1911,1.674516,0,0,0.235,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d24
ex256,ex256_umul_wallace_bits_prefix_abc_g_aig_d28,unsigned low5_high5:a*b,wallace_bits_prefix+abc_g_aig_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_abc_g_aig_d28.aig,1,1,1,160,20,3200,1911,1.674516,0,0,0.241,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=abc_g_aig_d28
ex256,ex256_umul_wallace_bits_prefix_synth_preset_d18,unsigned low5_high5:a*b,wallace_bits_prefix+synth_preset_d18,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_synth_preset_d18.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.330,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=synth_preset_d18
ex256,ex256_umul_wallace_bits_prefix_synth_preset_d20,unsigned low5_high5:a*b,wallace_bits_prefix+synth_preset_d20,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_synth_preset_d20.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.352,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=synth_preset_d20
ex256,ex256_umul_wallace_bits_prefix_synth_preset_d24,unsigned low5_high5:a*b,wallace_bits_prefix+synth_preset_d24,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_synth_preset_d24.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.327,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=synth_preset_d24
ex256,ex256_umul_wallace_bits_prefix_synth_preset_d28,unsigned low5_high5:a*b,wallace_bits_prefix+synth_preset_d28,student/work/ex256_direct_flow_probe_20260609_0114/ex256/verilog/ex256_umul_wallace_bits_prefix.v,student/work/ex256_direct_flow_probe_20260609_0114/ex256/aigs/ex256_umul_wallace_bits_prefix_synth_preset_d28.aig,1,1,1,159,21,3339,1911,1.747253,0,0,0.308,semantic_mul_exact,exact unsigned low5 * high5 over 1024 inputs; source=wallace_bits_prefix; flow=synth_preset_d28
