case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex290,ex290_unknown_12x12_rotate_high_split_default,unknown_12x12,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/best/unknown_current/ex290.aig,1,1,1,4484,16,71744,3.512,rotate=9; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3786,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex291,ex291_unknown_13x13_rotate_high_split_default,unknown_13x13,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex291/verilog/ex291_unknown_13x13_rotate_high_split_default.v,student/work/best/unknown_current/ex291.aig,1,1,1,6624,16,105984,5.952,rotate=10; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7533,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex292,ex292_unknown_14x14_rotate_high_split_default,unknown_14x14,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex292/verilog/ex292_unknown_14x14_rotate_high_split_default.v,student/work/best/unknown_current/ex292.aig,1,1,1,9350,18,168300,12.026,rotate=11; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15547,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex293,ex293_unknown_15x15_rotate_low_split_default,unknown_15x15,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex293/verilog/ex293_unknown_15x15_rotate_low_split_default.v,student/work/best/unknown_current/ex293.aig,1,1,1,8158,18,146844,18.367,rotate=3; outer=low; outer_bits=7; inner_bits=8; full_default_groups=0; exceptions=31465,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex294,ex294_unknown_16x16_rotate_high_split_default,unknown_16x16,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex294/verilog/ex294_unknown_16x16_rotate_high_split_default.v,student/work/best/unknown_current/ex294.aig,1,1,1,18382,19,349258,43.448,rotate=13; outer=high; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=63253,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex295,ex295_unknown_12x12_low_split_default,unknown_12x12,low_split_default,student/work/reverse_unknown_20260603_1812/ex295/verilog/ex295_unknown_12x12_low_split_default.v,student/work/best/unknown_current/ex295.aig,1,1,1,8692,18,156456,3.786,rotate=0; outer=low; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3877,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex296,ex296_unknown_13x13_high_split_default,unknown_13x13,high_split_default,student/work/reverse_unknown_20260603_1812/ex296/verilog/ex296_unknown_13x13_high_split_default.v,student/work/best/unknown_current/ex296.aig,1,1,1,9032,17,153544,5.515,rotate=0; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7549,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex297,ex297_unknown_14x14_low_split_default,unknown_14x14,low_split_default,student/work/reverse_unknown_20260603_1812/ex297/verilog/ex297_unknown_14x14_low_split_default.v,student/work/best/unknown_current/ex297.aig,1,1,1,32553,21,683613,18.655,rotate=0; outer=low; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15812,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex298,ex298_unknown_15x15_rotate_high_split_default,unknown_15x15,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex298/verilog/ex298_unknown_15x15_rotate_high_split_default.v,student/work/best/unknown_current/ex298.aig,1,1,1,34185,20,683700,29.634,rotate=1; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30930,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex299,ex299_unknown_16x16_high_split_default,unknown_16x16,high_split_default,student/work/reverse_unknown_20260603_1812/ex299/verilog/ex299_unknown_16x16_high_split_default.v,student/work/best/unknown_current/ex299.aig,1,1,1,118808,24,2851392,84.081,rotate=0; outer=high; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=64363,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
