case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,runtime_sec,items,notes,pool_source,source_csv
ex281,ex281_unknown_13x13_high_split_default,unknown_13x13,high_split_default,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_high_split_default.aig,1,1,1,4843,19,92017,4.802,rotate=0; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7482,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_expr_default_exception,unknown_13x13,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_expr_default_exception.aig,1,1,1,5213,23,119899,4.575,expr=ones; matches=76; exceptions=8116,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_value_case,unknown_13x13,value_case,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_value_case.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_value_case.aig,1,1,1,5213,23,119899,4.216,8192,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex281,ex281_unknown_13x13_decision_tree_greedy,unknown_13x13,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex281/verilog/ex281_unknown_13x13_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex281/aigs/ex281_unknown_13x13_decision_tree_greedy.aig,1,1,1,9867,22,217074,16.520,nodes=6528; leaves=6529,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_rotate_high_split_default,unknown_14x14,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_rotate_high_split_default.aig,1,1,1,3299,18,59382,9.552,rotate=4; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15041,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_rotate_low_split_default,unknown_14x14,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_rotate_low_split_default.aig,1,1,1,3299,18,59382,10.047,rotate=11; outer=low; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15041,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_low_split_default,unknown_14x14,low_split_default,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_low_split_default.aig,1,1,1,5288,21,111048,10.027,rotate=0; outer=low; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15287,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_high_split_default,unknown_14x14,high_split_default,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_high_split_default.aig,1,1,1,6961,21,146181,9.327,rotate=0; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15400,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_expr_default_exception,unknown_14x14,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_expr_default_exception.aig,1,1,1,7220,25,180500,8.632,expr=ones; matches=108; exceptions=16276,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_value_case,unknown_14x14,value_case,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_value_case.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_value_case.aig,1,1,1,7220,25,180500,8.434,16384,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex282,ex282_unknown_14x14_decision_tree_greedy,unknown_14x14,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex282/verilog/ex282_unknown_14x14_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex282/aigs/ex282_unknown_14x14_decision_tree_greedy.aig,1,1,1,14699,24,352776,38.848,nodes=13092; leaves=13093,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_rotate_high_split_default,unknown_15x15,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_rotate_high_split_default.aig,1,1,1,4982,20,99640,20.259,rotate=4; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30080,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_rotate_low_split_default,unknown_15x15,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_rotate_low_split_default.aig,1,1,1,5576,20,111520,18.677,rotate=12; outer=low; outer_bits=7; inner_bits=8; full_default_groups=0; exceptions=30886,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_low_split_default,unknown_15x15,low_split_default,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_low_split_default.aig,1,1,1,5932,22,130504,18.273,rotate=0; outer=low; outer_bits=7; inner_bits=8; full_default_groups=0; exceptions=31150,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_high_split_default,unknown_15x15,high_split_default,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_high_split_default.aig,1,1,1,10523,22,231506,20.230,rotate=0; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30870,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_expr_default_exception,unknown_15x15,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_expr_default_exception.aig,1,1,1,11255,27,303885,18.701,expr=ones; matches=176; exceptions=32592,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_value_case,unknown_15x15,value_case,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_value_case.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_value_case.aig,1,1,1,11255,27,303885,18.102,32768,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex283,ex283_unknown_15x15_decision_tree_greedy,unknown_15x15,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex283/verilog/ex283_unknown_15x15_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex283/aigs/ex283_unknown_15x15_decision_tree_greedy.aig,1,1,1,25409,25,635225,88.332,nodes=26263; leaves=26264,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_rotate_high_split_default,unknown_16x16,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_rotate_high_split_default.aig,1,1,1,4831,20,96620,34.490,rotate=4; outer=high; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=61947,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_rotate_low_split_default,unknown_16x16,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_rotate_low_split_default.aig,1,1,1,4831,20,96620,35.414,rotate=12; outer=low; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=61947,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_low_split_default,unknown_16x16,low_split_default,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_low_split_default.aig,1,1,1,11004,23,253092,38.763,rotate=0; outer=low; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=62643,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_high_split_default,unknown_16x16,high_split_default,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_high_split_default.aig,1,1,1,14944,24,358656,37.951,rotate=0; outer=high; outer_bits=8; inner_bits=8; full_default_groups=0; exceptions=62944,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_expr_default_exception,unknown_16x16,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_expr_default_exception.aig,1,1,1,15698,29,455242,34.109,expr=ones; matches=204; exceptions=65332,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_value_case,unknown_16x16,value_case,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_value_case.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_value_case.aig,1,1,1,15698,29,455242,33.521,65536,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex284,ex284_unknown_16x16_decision_tree_greedy,unknown_16x16,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex284/verilog/ex284_unknown_16x16_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex284/aigs/ex284_unknown_16x16_decision_tree_greedy.aig,1,1,1,44645,28,1250060,172.067,nodes=52628; leaves=52629,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_decision_tree_greedy,unknown_12x12,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_decision_tree_greedy.aig,1,1,1,818,17,13906,6.683,nodes=4095; leaves=4096,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_rotate_high_split_default,unknown_12x12,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_rotate_high_split_default.aig,1,1,1,1352,13,17576,1.621,rotate=10; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3760,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_rotate_low_split_default,unknown_12x12,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_rotate_low_split_default.aig,1,1,1,1352,13,17576,1.629,rotate=4; outer=low; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3760,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_low_split_default,unknown_12x12,low_split_default,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_low_split_default.aig,1,1,1,2302,15,34530,1.737,rotate=0; outer=low; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3898,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_high_split_default,unknown_12x12,high_split_default,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_high_split_default.aig,1,1,1,3332,17,56644,1.996,rotate=0; outer=high; outer_bits=6; inner_bits=6; full_default_groups=0; exceptions=3936,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_value_case,unknown_12x12,value_case,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_value_case.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_value_case.aig,1,1,1,2988,19,56772,1.606,4096,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex285,ex285_unknown_12x12_expr_default_exception,unknown_12x12,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex285/aigs/ex285_unknown_12x12_expr_default_exception.aig,1,1,1,6549,21,137529,8.281,expr=input; matches=75; exceptions=4021,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_rotate_low_split_default,unknown_13x13,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_rotate_low_split_default.aig,1,1,1,1865,14,26110,3.517,rotate=2; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7840,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_rotate_high_split_default,unknown_13x13,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_rotate_high_split_default.aig,1,1,1,2561,16,40976,3.549,rotate=11; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7592,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_decision_tree_greedy,unknown_13x13,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_decision_tree_greedy.aig,1,1,1,2166,19,41154,17.420,nodes=8191; leaves=8192,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_low_split_default,unknown_13x13,low_split_default,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_low_split_default.aig,1,1,1,3218,16,51488,3.898,rotate=0; outer=low; outer_bits=6; inner_bits=7; full_default_groups=0; exceptions=7979,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_high_split_default,unknown_13x13,high_split_default,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_high_split_default.aig,1,1,1,6566,17,111622,5.003,rotate=0; outer=high; outer_bits=7; inner_bits=6; full_default_groups=0; exceptions=7884,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_value_case,unknown_13x13,value_case,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_value_case.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_value_case.aig,1,1,1,5867,20,117340,3.936,8192,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex286,ex286_unknown_13x13_expr_default_exception,unknown_13x13,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex286/verilog/ex286_unknown_13x13_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex286/aigs/ex286_unknown_13x13_expr_default_exception.aig,1,1,1,15073,22,331606,21.723,expr=input; matches=82; exceptions=8110,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_decision_tree_greedy,unknown_14x14,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_decision_tree_greedy.aig,1,1,1,1833,19,34827,33.725,nodes=16383; leaves=16384,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_rotate_high_split_default,unknown_14x14,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_rotate_high_split_default.aig,1,1,1,2386,15,35790,6.012,rotate=11; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15352,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_rotate_low_split_default,unknown_14x14,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_rotate_low_split_default.aig,1,1,1,2386,15,35790,5.966,rotate=4; outer=low; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15352,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_low_split_default,unknown_14x14,low_split_default,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_low_split_default.aig,1,1,1,6162,17,104754,7.570,rotate=0; outer=low; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15981,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_value_case,unknown_14x14,value_case,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_value_case.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_value_case.aig,1,1,1,9557,22,210254,7.189,16384,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_high_split_default,unknown_14x14,high_split_default,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_high_split_default.aig,1,1,1,11334,20,226680,8.951,rotate=0; outer=high; outer_bits=7; inner_bits=7; full_default_groups=0; exceptions=15947,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex287,ex287_unknown_14x14_expr_default_exception,unknown_14x14,expr_default_exception,student/work/reverse_unknown_20260603_1812/ex287/verilog/ex287_unknown_14x14_expr_default_exception.v,student/work/reverse_unknown_20260603_1812/ex287/aigs/ex287_unknown_14x14_expr_default_exception.aig,1,1,1,20627,23,474421,41.109,expr=input; matches=107; exceptions=16277,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex288,ex288_unknown_15x15_rotate_high_split_default,unknown_15x15,rotate_high_split_default,student/work/reverse_unknown_20260603_1812/ex288/verilog/ex288_unknown_15x15_rotate_high_split_default.v,student/work/reverse_unknown_20260603_1812/ex288/aigs/ex288_unknown_15x15_rotate_high_split_default.aig,1,1,1,4356,16,69696,12.769,rotate=12; outer=high; outer_bits=8; inner_bits=7; full_default_groups=0; exceptions=30712,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex288,ex288_unknown_15x15_rotate_low_split_default,unknown_15x15,rotate_low_split_default,student/work/reverse_unknown_20260603_1812/ex288/verilog/ex288_unknown_15x15_rotate_low_split_default.v,student/work/reverse_unknown_20260603_1812/ex288/aigs/ex288_unknown_15x15_rotate_low_split_default.aig,1,1,1,4030,18,72540,12.509,rotate=5; outer=low; outer_bits=7; inner_bits=8; full_default_groups=0; exceptions=31624,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
ex288,ex288_unknown_15x15_decision_tree_greedy,unknown_15x15,decision_tree_greedy,student/work/reverse_unknown_20260603_1812/ex288/verilog/ex288_unknown_15x15_decision_tree_greedy.v,student/work/reverse_unknown_20260603_1812/ex288/aigs/ex288_unknown_15x15_decision_tree_greedy.aig,1,1,1,3836,20,76720,93.438,nodes=32767; leaves=32768,unknown function structural Verilog seed,unknown_verilog_20260603_1812,unknown_verilog_20260603_1812.csv
