case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex264,ex264_smul_karatsuba_split_signed_abc_g_aig,1,698,51,35598,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=abc_g_aig
ex264,ex264_smul_karatsuba_split_signed_wreduce_abc_g_aig,1,693,52,36036,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=wreduce_abc_g_aig
ex264,ex264_smul_karatsuba_split_signed_synth_preset_d13,1,717,53,38001,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=synth_preset_d13
ex264,ex264_smul_karatsuba_split_signed_synth_preset_d18,1,717,53,38001,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_karatsuba_split_signed_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=karatsuba_split_signed; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig,1,488,28,13664,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig,1,489,28,13692,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13,1,489,27,13203,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18,1,489,27,13203,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_hcla4_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_hcla4; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_plus_abc_g_aig,1,465,34,15810,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig,1,465,34,15810,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_wreduce_abc_g_aig.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13,1,465,34,15810,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d13.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18,1,465,34,15810,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_plus_synth_preset_d18.aig,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_plus; flow=synth_preset_d18
