case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex264,ex264_smul_baugh_wooley_wallace_csel2_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel2+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel2.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_abc_g_aig.aig,1,1,1,470,33,15510,9724,1.595023,0,0,2.109,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel2+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel2.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_wreduce_abc_g_aig.aig,1,1,1,474,31,14694,9724,1.511107,0,0,1.934,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_csel2+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel2.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d13.aig,1,1,1,470,34,15980,9724,1.643357,0,0,2.073,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_csel2+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel2.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel2_synth_preset_d18.aig,1,1,1,470,34,15980,9724,1.643357,0,0,2.070,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel2; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_csel3_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel3+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel3.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_abc_g_aig.aig,1,1,1,477,30,14310,9724,1.471617,1,0,1.910,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel3+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel3.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_wreduce_abc_g_aig.aig,1,1,1,477,30,14310,9724,1.471617,1,0,1.928,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=wreduce_abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d13,signed low8_high8:a*b,baugh_wooley_wallace_csel3+synth_preset_d13,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel3.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d13.aig,1,1,1,477,30,14310,9724,1.471617,1,0,2.052,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d13
ex264,ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d18,signed low8_high8:a*b,baugh_wooley_wallace_csel3+synth_preset_d18,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel3.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel3_synth_preset_d18.aig,1,1,1,477,30,14310,9724,1.471617,1,0,2.056,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel3; flow=synth_preset_d18
ex264,ex264_smul_baugh_wooley_wallace_csel4_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel4+abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_abc_g_aig.aig,1,1,1,484,31,15004,9724,1.542986,0,0,1.920,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=abc_g_aig
ex264,ex264_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig,signed low8_high8:a*b,baugh_wooley_wallace_csel4+wreduce_abc_g_aig,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/verilog/ex264_smul_baugh_wooley_wallace_csel4.v,student/work/ex261_ex264_frontend_smul_csel_karatsuba_smoke_20260609_0550/ex264/aigs/ex264_smul_baugh_wooley_wallace_csel4_wreduce_abc_g_aig.aig,1,1,1,481,31,14911,9724,1.533422,0,0,1.927,semantic_signed_mul_exact,exact signed low8 * signed high8 over 65536 inputs; source=baugh_wooley_wallace_csel4; flow=wreduce_abc_g_aig
