case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex274,ex274_square_block4_decomp_csel4_wreduce_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel4+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel4.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel4_wreduce_abc_g_aig.aig,1,1,1,1128,59,66552,21630,3.076838,0,0,3.562,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel4; flow=wreduce_abc_g_aig
ex274,ex274_square_block4_decomp_csel4_synth_preset,unsigned_square_x_times_x,block4_decomp_csel4+synth_preset,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel4.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel4_synth_preset.aig,1,1,1,1112,58,64496,21630,2.981785,0,0,3.640,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel4; flow=synth_preset
ex274,ex274_square_block4_decomp_csel4_synth_preset_d20,unsigned_square_x_times_x,block4_decomp_csel4+synth_preset_d20,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel4.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel4_synth_preset_d20.aig,1,1,1,1112,58,64496,21630,2.981785,0,0,3.671,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel4; flow=synth_preset_d20
ex274,ex274_square_block4_decomp_csel6_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel6_abc_g_aig.aig,1,1,1,1132,58,65656,21630,3.035414,0,0,3.579,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=abc_g_aig
ex274,ex274_square_block4_decomp_csel6_wreduce_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel6+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel6_wreduce_abc_g_aig.aig,1,1,1,1152,54,62208,21630,2.876006,0,0,3.521,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=wreduce_abc_g_aig
ex274,ex274_square_block4_decomp_csel6_synth_preset,unsigned_square_x_times_x,block4_decomp_csel6+synth_preset,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel6_synth_preset.aig,1,1,1,1125,58,65250,21630,3.016644,0,0,3.763,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=synth_preset
ex274,ex274_square_block4_decomp_csel6_synth_preset_d20,unsigned_square_x_times_x,block4_decomp_csel6+synth_preset_d20,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel6.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel6_synth_preset_d20.aig,1,1,1,1125,58,65250,21630,3.016644,0,0,3.729,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel6; flow=synth_preset_d20
ex274,ex274_square_block4_decomp_csel8_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel8+abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel8_abc_g_aig.aig,1,1,1,1135,58,65830,21630,3.043458,0,0,4.270,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel8; flow=abc_g_aig
ex274,ex274_square_block4_decomp_csel8_wreduce_abc_g_aig,unsigned_square_x_times_x,block4_decomp_csel8+wreduce_abc_g_aig,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel8_wreduce_abc_g_aig.aig,1,1,1,1127,58,65366,21630,3.022006,0,0,3.583,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel8; flow=wreduce_abc_g_aig
ex274,ex274_square_block4_decomp_csel8_synth_preset,unsigned_square_x_times_x,block4_decomp_csel8+synth_preset,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/verilog/ex274_square_block4_decomp_csel8.v,student/work/ex273_ex274_frontend_square_block4_decomp_20260609_1240/ex274/aigs/ex274_square_block4_decomp_csel8_synth_preset.aig,1,1,1,1128,58,65424,21630,3.024688,0,0,3.778,square_specific_structural_rtl,exact unsigned 16-bit square x*x over 65536 inputs; source=block4_decomp_csel8; flow=synth_preset
