case,output_bit,input_width,bucket_count,selected_features,key_width,mapped_keys,primitive_count,best_single,best_single_inverted,best_single_match,total_rows,best_single_exact,tree_depth,tree_exact,tree_leaves,key_anf_terms,key_anf_max_degree,key_anf_degree_hist
ex288,5,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,19034,14,1:1;2:16;3:114;4:472;5:1273;6:2396;7:3499;8:3870;9:3397;10:2251;11:1189;12:450;13:101;14:5
ex288,6,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23597,32768,0,4,0,16,20676,16,2:7;3:68;4:310;5:909;6:1937;7:3194;8:4076;9:4082;10:3117;11:1819;12:815;13:263;14:67;15:11;16:1
ex288,7,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,5420,13,2:5;3:55;4:232;5:540;6:863;7:1103;8:1054;9:828;10:472;11:212;12:54;13:2
ex288,8,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23619,32768,0,4,0,16,23730,16,1:1;2:12;3:90;4:439;5:1331;6:2590;7:3844;8:4716;9:4408;10:3273;11:1817;12:856;13:276;14:65;15:11;16:1
ex288,9,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,18810,14,1:1;2:22;3:155;4:591;5:1447;6:2535;7:3465;8:3679;9:3164;10:2109;11:1116;12:424;13:96;14:6
ex288,10,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23619,32768,0,4,0,16,20924,15,2:4;3:57;4:338;5:1089;6:2179;7:3334;8:4131;9:4052;10:3022;11:1718;12:719;13:221;14:53;15:7
ex288,11,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,17668,15,1:1;2:17;3:136;4:569;5:1445;6:2533;7:3390;8:3533;9:2831;10:1847;11:923;12:352;13:79;14:11;15:1
ex288,12,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23475,32768,0,4,0,16,22716,16,2:9;3:92;4:415;5:1145;6:2269;7:3547;8:4481;9:4388;10:3315;11:1869;12:839;13:275;14:61;15:10;16:1
ex288,13,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,0,24576,32768,0,4,0,16,18512,14,1:1;2:19;3:118;4:462;5:1246;6:2319;7:3309;8:3776;9:3318;10:2221;11:1169;12:448;13:101;14:5
ex288,14,15,9,raw13:raw10:xor6_7,16,13824,118,cnt2==cnt8,1,23507,32768,0,4,0,16,20816,16,1:1;2:10;3:67;4:322;5:989;6:2041;7:3229;8:4043;9:4085;10:3080;11:1789;12:812;13:269;14:67;15:11;16:1
