case,selected_count,best_candidate_id,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,candidate_ids
ex230,4,ex230_positive_default_exp_mant_case_abc_g_aig,6979,20,139580,108320,1.288589,ex230_positive_default_exp_mant_case_abc_g_aig;ex230_semantic_sign_exp_field_defaults_abc_g_aig;ex230_fp16_sigmoid_sign_exp_mant_case;ex230_fp16_sigmoid_positive_default_exp_mant_delta
ex231,4,ex231_abc_g_aig_abc_g_aig,1163,14,16282,14066,1.157543,ex231_abc_g_aig_abc_g_aig;ex231_abc_g_aig_default_recheck;ex231_semantic_sign_exp_field_defaults_abc_g_aig;ex231_fp16_reciprocal_positive_default_exp_mant_delta
ex232,4,ex232_attr_abc_g_aig,1240,13,16120,13392,1.203704,ex232_attr_abc_g_aig;ex232_abc_g_aig_default_recheck;ex232_exp_formula_hi9_8_low8_abc_g_aig;ex232_bitrun_bit9_t32_abc_g_aig
ex233,4,ex233_abc_g_aig_abc_g_aig,1530,15,22950,20174,1.137603,ex233_abc_g_aig_abc_g_aig;ex233_abc_g_aig_default_recheck;ex233_bitrun_bit11_t8_abc_g_aig;ex233_fp16_sqrt_bitvec_bits12_9_t32
ex234,4,ex234_abc_g_aig_abc_g_aig,1351,17,22967,15561,1.475933,ex234_abc_g_aig_abc_g_aig;ex234_fp16_reciprocal_square_sign_pair_case;ex234_abc_g_aig_default_recheck;ex234_semantic_sign_exp_field_defaults_abc_g_aig
ex235,4,ex235_direct_special_low8_hi6_abc_g_aig,1679,14,23506,20800,1.130096,ex235_direct_special_low8_hi6_abc_g_aig;ex235_open_low8_hi6_abc_g_aig;ex235_open_low8_hi6_abc_g_aig_d18;ex235_open_low8_hi6_default_recheck
ex236,4,ex236_core_clamp_hi6_abc_g_aig_d18,1432,15,21480,17290,1.242337,ex236_core_clamp_hi6_abc_g_aig_d18;ex236_core_boundary_low14_hi6_abc_g_aig;ex236_sign_only_synth_preset;ex236_positive_default_exp_mant_delta_abc_g_aig
ex237,4,ex237_open_low10_hi6_abc_g_aig,1934,16,30944,25440,1.216352,ex237_open_low10_hi6_abc_g_aig;ex237_vec_high_low10_hi6_abc_g_aig;ex237_open_low10_hi6_default_recheck;ex237_fp16_cbrt_exp_mant_pair_case
ex238,4,ex238_core_boundary_low15_hi5_synth_preset,1462,16,23392,16549,1.413499,ex238_core_boundary_low15_hi5_synth_preset;ex238_core_clamp_hi5_abc_g_aig;ex238_b10_9_formula_expr_abc_g_aig;ex238_mag_b10_9_t16_abc_g_aig
ex239,4,ex239_direct_special_low8_hi6_abc_g_aig,2032,16,32512,25965,1.252147,ex239_direct_special_low8_hi6_abc_g_aig;ex239_semantic_shell_abc_g_aig;ex239_open_low8_hi6_abc_g_aig;ex239_positive_default_exp_mant_case_abc_g_aig
