case,degree,relation_index,term_count,relation,notes
ex286,3,4,0,,relation evaluates to zero on every unique output image value
ex286,3,5,0,,relation evaluates to zero on every unique output image value
ex286,3,6,0,,relation evaluates to zero on every unique output image value
ex286,3,7,0,,relation evaluates to zero on every unique output image value
ex286,3,8,0,,relation evaluates to zero on every unique output image value
ex286,3,9,0,,relation evaluates to zero on every unique output image value
ex286,3,10,0,,relation evaluates to zero on every unique output image value
ex286,3,11,0,,relation evaluates to zero on every unique output image value
ex286,3,12,0,,relation evaluates to zero on every unique output image value
ex286,3,13,0,,relation evaluates to zero on every unique output image value
ex286,3,14,0,,relation evaluates to zero on every unique output image value
ex286,3,15,0,,relation evaluates to zero on every unique output image value
ex286,3,16,0,,relation evaluates to zero on every unique output image value
ex286,3,17,0,,relation evaluates to zero on every unique output image value
ex286,3,18,0,,relation evaluates to zero on every unique output image value
ex286,3,19,0,,relation evaluates to zero on every unique output image value
ex287,1,0,0,,relation evaluates to zero on every unique output image value
ex287,1,1,0,,relation evaluates to zero on every unique output image value
ex287,1,2,0,,relation evaluates to zero on every unique output image value
ex287,1,3,0,,relation evaluates to zero on every unique output image value
ex287,1,4,0,,relation evaluates to zero on every unique output image value
ex287,1,5,0,,relation evaluates to zero on every unique output image value
ex287,1,6,0,,relation evaluates to zero on every unique output image value
ex287,1,7,0,,relation evaluates to zero on every unique output image value
ex287,1,8,0,,relation evaluates to zero on every unique output image value
ex287,1,9,0,,relation evaluates to zero on every unique output image value
ex287,1,10,0,,relation evaluates to zero on every unique output image value
ex287,1,11,0,,relation evaluates to zero on every unique output image value
ex287,1,12,0,,relation evaluates to zero on every unique output image value
ex287,1,13,0,,relation evaluates to zero on every unique output image value
ex287,1,14,0,,relation evaluates to zero on every unique output image value
ex287,2,0,0,,relation evaluates to zero on every unique output image value
ex287,2,1,0,,relation evaluates to zero on every unique output image value
ex287,2,2,0,,relation evaluates to zero on every unique output image value
ex287,2,3,0,,relation evaluates to zero on every unique output image value
ex287,2,4,0,,relation evaluates to zero on every unique output image value
ex287,2,5,0,,relation evaluates to zero on every unique output image value
ex287,2,6,0,,relation evaluates to zero on every unique output image value
ex287,2,7,0,,relation evaluates to zero on every unique output image value
ex287,2,8,0,,relation evaluates to zero on every unique output image value
ex287,2,9,0,,relation evaluates to zero on every unique output image value
ex287,2,10,0,,relation evaluates to zero on every unique output image value
ex287,2,11,0,,relation evaluates to zero on every unique output image value
ex287,2,12,0,,relation evaluates to zero on every unique output image value
ex287,2,13,0,,relation evaluates to zero on every unique output image value
ex287,2,14,0,,relation evaluates to zero on every unique output image value
ex287,2,15,0,,relation evaluates to zero on every unique output image value
ex287,2,16,0,,relation evaluates to zero on every unique output image value
ex287,2,17,0,,relation evaluates to zero on every unique output image value
ex287,2,18,0,,relation evaluates to zero on every unique output image value
ex287,2,19,0,,relation evaluates to zero on every unique output image value
ex287,3,0,0,,relation evaluates to zero on every unique output image value
ex287,3,1,0,,relation evaluates to zero on every unique output image value
ex287,3,2,0,,relation evaluates to zero on every unique output image value
ex287,3,3,0,,relation evaluates to zero on every unique output image value
ex287,3,4,0,,relation evaluates to zero on every unique output image value
ex287,3,5,0,,relation evaluates to zero on every unique output image value
ex287,3,6,0,,relation evaluates to zero on every unique output image value
ex287,3,7,0,,relation evaluates to zero on every unique output image value
ex287,3,8,0,,relation evaluates to zero on every unique output image value
ex287,3,9,0,,relation evaluates to zero on every unique output image value
ex287,3,10,0,,relation evaluates to zero on every unique output image value
ex287,3,11,0,,relation evaluates to zero on every unique output image value
ex287,3,12,0,,relation evaluates to zero on every unique output image value
ex287,3,13,0,,relation evaluates to zero on every unique output image value
ex287,3,14,0,,relation evaluates to zero on every unique output image value
ex287,3,15,0,,relation evaluates to zero on every unique output image value
ex287,3,16,0,,relation evaluates to zero on every unique output image value
ex287,3,17,0,,relation evaluates to zero on every unique output image value
ex287,3,18,0,,relation evaluates to zero on every unique output image value
ex287,3,19,0,,relation evaluates to zero on every unique output image value
ex288,1,0,0,,relation evaluates to zero on every unique output image value
ex288,1,1,0,,relation evaluates to zero on every unique output image value
ex288,1,2,0,,relation evaluates to zero on every unique output image value
ex288,1,3,0,,relation evaluates to zero on every unique output image value
ex288,1,4,0,,relation evaluates to zero on every unique output image value
ex288,1,5,0,,relation evaluates to zero on every unique output image value
ex288,1,6,0,,relation evaluates to zero on every unique output image value
ex288,1,7,0,,relation evaluates to zero on every unique output image value
ex288,1,8,0,,relation evaluates to zero on every unique output image value
ex288,1,9,0,,relation evaluates to zero on every unique output image value
ex288,1,10,0,,relation evaluates to zero on every unique output image value
ex288,1,11,0,,relation evaluates to zero on every unique output image value
ex288,1,12,0,,relation evaluates to zero on every unique output image value
ex288,1,13,0,,relation evaluates to zero on every unique output image value
ex288,1,14,0,,relation evaluates to zero on every unique output image value
ex288,1,15,0,,relation evaluates to zero on every unique output image value
ex288,2,0,0,,relation evaluates to zero on every unique output image value
ex288,2,1,0,,relation evaluates to zero on every unique output image value
ex288,2,2,0,,relation evaluates to zero on every unique output image value
ex288,2,3,0,,relation evaluates to zero on every unique output image value
ex288,2,4,0,,relation evaluates to zero on every unique output image value
ex288,2,5,0,,relation evaluates to zero on every unique output image value
ex288,2,6,0,,relation evaluates to zero on every unique output image value
ex288,2,7,0,,relation evaluates to zero on every unique output image value
ex288,2,8,0,,relation evaluates to zero on every unique output image value
ex288,2,9,0,,relation evaluates to zero on every unique output image value
ex288,2,10,0,,relation evaluates to zero on every unique output image value
ex288,2,11,0,,relation evaluates to zero on every unique output image value
ex288,2,12,0,,relation evaluates to zero on every unique output image value
ex288,2,13,0,,relation evaluates to zero on every unique output image value
ex288,2,14,0,,relation evaluates to zero on every unique output image value
ex288,2,15,0,,relation evaluates to zero on every unique output image value
ex288,2,16,0,,relation evaluates to zero on every unique output image value
ex288,2,17,0,,relation evaluates to zero on every unique output image value
ex288,2,18,0,,relation evaluates to zero on every unique output image value
ex288,2,19,0,,relation evaluates to zero on every unique output image value
ex288,3,0,0,,relation evaluates to zero on every unique output image value
ex288,3,1,0,,relation evaluates to zero on every unique output image value
ex288,3,2,0,,relation evaluates to zero on every unique output image value
ex288,3,3,0,,relation evaluates to zero on every unique output image value
ex288,3,4,0,,relation evaluates to zero on every unique output image value
ex288,3,5,0,,relation evaluates to zero on every unique output image value
ex288,3,6,0,,relation evaluates to zero on every unique output image value
ex288,3,7,0,,relation evaluates to zero on every unique output image value
ex288,3,8,0,,relation evaluates to zero on every unique output image value
ex288,3,9,0,,relation evaluates to zero on every unique output image value
ex288,3,10,0,,relation evaluates to zero on every unique output image value
ex288,3,11,0,,relation evaluates to zero on every unique output image value
ex288,3,12,0,,relation evaluates to zero on every unique output image value
ex288,3,13,0,,relation evaluates to zero on every unique output image value
ex288,3,14,0,,relation evaluates to zero on every unique output image value
ex288,3,15,0,,relation evaluates to zero on every unique output image value
ex288,3,16,0,,relation evaluates to zero on every unique output image value
ex288,3,17,0,,relation evaluates to zero on every unique output image value
ex288,3,18,0,,relation evaluates to zero on every unique output image value
ex288,3,19,0,,relation evaluates to zero on every unique output image value
ex289,1,0,0,,relation evaluates to zero on every unique output image value
ex289,1,1,0,,relation evaluates to zero on every unique output image value
ex289,1,2,0,,relation evaluates to zero on every unique output image value
ex289,1,3,0,,relation evaluates to zero on every unique output image value
ex289,1,4,0,,relation evaluates to zero on every unique output image value
ex289,1,5,0,,relation evaluates to zero on every unique output image value
ex289,1,6,0,,relation evaluates to zero on every unique output image value
ex289,1,7,0,,relation evaluates to zero on every unique output image value
ex289,1,8,0,,relation evaluates to zero on every unique output image value
ex289,1,9,0,,relation evaluates to zero on every unique output image value
ex289,1,10,0,,relation evaluates to zero on every unique output image value
ex289,1,11,0,,relation evaluates to zero on every unique output image value
ex289,1,12,0,,relation evaluates to zero on every unique output image value
ex289,1,13,0,,relation evaluates to zero on every unique output image value
ex289,1,14,0,,relation evaluates to zero on every unique output image value
ex289,1,15,0,,relation evaluates to zero on every unique output image value
ex289,1,16,0,,relation evaluates to zero on every unique output image value
ex289,2,0,0,,relation evaluates to zero on every unique output image value
ex289,2,1,0,,relation evaluates to zero on every unique output image value
ex289,2,2,0,,relation evaluates to zero on every unique output image value
ex289,2,3,0,,relation evaluates to zero on every unique output image value
ex289,2,4,0,,relation evaluates to zero on every unique output image value
ex289,2,5,0,,relation evaluates to zero on every unique output image value
ex289,2,6,0,,relation evaluates to zero on every unique output image value
ex289,2,7,0,,relation evaluates to zero on every unique output image value
ex289,2,8,0,,relation evaluates to zero on every unique output image value
ex289,2,9,0,,relation evaluates to zero on every unique output image value
ex289,2,10,0,,relation evaluates to zero on every unique output image value
ex289,2,11,0,,relation evaluates to zero on every unique output image value
ex289,2,12,0,,relation evaluates to zero on every unique output image value
ex289,2,13,0,,relation evaluates to zero on every unique output image value
ex289,2,14,0,,relation evaluates to zero on every unique output image value
ex289,2,15,0,,relation evaluates to zero on every unique output image value
ex289,2,16,0,,relation evaluates to zero on every unique output image value
ex289,2,17,0,,relation evaluates to zero on every unique output image value
ex289,2,18,0,,relation evaluates to zero on every unique output image value
ex289,2,19,0,,relation evaluates to zero on every unique output image value
ex289,3,0,0,,relation evaluates to zero on every unique output image value
ex289,3,1,0,,relation evaluates to zero on every unique output image value
ex289,3,2,0,,relation evaluates to zero on every unique output image value
ex289,3,3,0,,relation evaluates to zero on every unique output image value
ex289,3,4,0,,relation evaluates to zero on every unique output image value
ex289,3,5,0,,relation evaluates to zero on every unique output image value
ex289,3,6,0,,relation evaluates to zero on every unique output image value
ex289,3,7,0,,relation evaluates to zero on every unique output image value
ex289,3,8,0,,relation evaluates to zero on every unique output image value
ex289,3,9,0,,relation evaluates to zero on every unique output image value
ex289,3,10,0,,relation evaluates to zero on every unique output image value
ex289,3,11,0,,relation evaluates to zero on every unique output image value
ex289,3,12,0,,relation evaluates to zero on every unique output image value
ex289,3,13,0,,relation evaluates to zero on every unique output image value
ex289,3,14,0,,relation evaluates to zero on every unique output image value
ex289,3,15,0,,relation evaluates to zero on every unique output image value
ex289,3,16,0,,relation evaluates to zero on every unique output image value
ex289,3,17,0,,relation evaluates to zero on every unique output image value
ex289,3,18,0,,relation evaluates to zero on every unique output image value
ex289,3,19,0,,relation evaluates to zero on every unique output image value
